# VoltDump_UseCases_0perc_6.csv run at 2000-07-10 22:00:00 MDT on 33760 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
feeder_2_R3-12-47-1_cap_1,5978.665592,-3410.222399,-5940.989639,-3474.770143,-36.591254,6877.971123
feeder_2_R3-12-47-1_load_1,232.130260,-133.328320,-231.490069,-134.440064,-0.619856,267.566038
feeder_2_R3-12-47-1_load_2,232.032839,-133.364057,-231.472340,-134.337822,-0.540153,267.499511
feeder_2_R3-12-47-1_load_3,231.492719,-133.538696,-231.353698,-133.782711,-0.118618,267.118922
feeder_2_R3-12-47-1_load_4,231.484821,-133.533044,-231.344855,-133.778694,-0.119564,267.109250
feeder_2_R3-12-47-1_load_5,231.487081,-133.534361,-231.347125,-133.779994,-0.119554,267.111867
feeder_2_R3-12-47-1_load_6,231.340685,-132.513967,-230.380038,-134.177058,-0.934516,266.446300
feeder_2_R3-12-47-1_load_7,228.342157,-130.478053,-227.116673,-132.590519,-1.190569,262.795142
feeder_2_R3-12-47-1_load_8,228.245214,-130.509787,-227.095719,-132.490687,-1.114554,262.727008
feeder_2_R3-12-47-1_load_9,228.046831,-130.582467,-227.059544,-132.282525,-0.952290,262.591454
feeder_2_R3-12-47-1_load_10,225.796236,-128.079200,-223.696004,-131.597065,-2.004445,259.238338
feeder_2_R3-12-47-1_load_11,0.000000,0.000000,-223.244421,-129.528284,-0.437145,257.810516
feeder_2_R3-12-47-1_load_12,227.295739,-131.643844,0.000000,0.000000,0.339665,262.438618
feeder_2_R3-12-47-1_load_13,229.268930,-130.980770,-227.959183,-133.157173,-1.220836,263.812295
feeder_2_R3-12-47-1_load_14,228.720263,-131.158080,-227.838674,-132.593198,-0.792543,263.425483
feeder_2_R3-12-47-1_load_15,229.165675,-130.942640,-227.865845,-133.081521,-1.200226,263.697754
feeder_2_R3-12-47-1_load_16,228.980729,-130.991437,-227.815718,-132.896891,-1.065364,263.561872
feeder_2_R3-12-47-1_load_17,229.150334,-130.931678,-227.848682,-133.073709,-1.202052,263.678970
feeder_2_R3-12-47-1_load_18,228.996464,-131.010615,-227.848086,-132.910266,-1.060741,263.596179
feeder_2_R3-12-47-1_load_19,229.193487,-130.936645,-227.882433,-133.117933,-1.223464,263.729922
feeder_2_R3-12-47-1_load_20,228.473236,-131.054124,-227.628746,-132.433694,-0.761665,263.158855
feeder_2_R3-12-47-1_load_21,226.926178,-131.476649,-227.220158,-130.881116,0.000000,0.000000
feeder_2_R3-12-47-1_load_22,221.223747,-133.106056,-227.713431,-133.090052,4.644880,257.900067
feeder_2_R3-12-47-1_load_23,228.391327,-131.015794,-227.553835,-132.381747,-0.754364,263.066801
feeder_2_R3-12-47-1_load_24,225.652688,-131.859723,-226.904399,-129.581952,1.350300,261.103237
feeder_2_R3-12-47-1_load_25,229.091792,-130.803740,-227.529382,-132.293217,-0.683922,263.003449
feeder_2_R3-12-47-1_load_26,237.896243,-138.918937,-239.256484,-136.573203,1.361213,275.485007
feeder_2_R3-12-47-1_load_27,226.629718,-131.339247,0.000000,0.000000,0.408254,261.704689
feeder_2_R3-12-47-1_load_28,228.103922,-130.881478,-227.295254,-132.199875,-0.726309,262.753295
feeder_2_R3-12-47-1_load_29,228.611041,-130.705786,-227.396402,-132.727036,-1.132411,263.104902
feeder_2_R3-12-47-1_load_30,228.416713,-130.749304,-227.336768,-132.536172,-0.996425,262.961255
feeder_2_R3-12-47-1_load_31,228.079656,-130.864316,-227.267972,-132.186560,-0.727889,262.727137
feeder_2_R3-12-47-1_load_32,228.418306,-130.750391,-227.338505,-132.537009,-0.996280,262.963179
feeder_2_R3-12-47-1_load_33,226.602946,-131.320385,-226.925410,-130.679025,0.000000,0.000000
feeder_2_R3-12-47-1_load_34,227.976734,-130.799386,-227.158414,-132.130154,-0.733886,262.599536
feeder_2_R3-12-47-1_load_35,227.979286,-130.801127,-227.161198,-132.131495,-0.733654,262.602620
feeder_2_R3-12-47-1_load_36,228.076495,-130.710579,-227.130676,-132.260818,-0.860651,262.640996
