# file...... feeder_3_power.csv
# date...... Sat Sep 26 23:35:38 2009
# user...... glduser
# host...... (null)
# target.... regulator 4891
# trigger... (none)
# interval.. 300
# limit..... 312
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,tap_A,tap_B,tap_C
2000-07-10 22:05:00 MDT,+3.79276e+006,+2.03029e+006,+3.73341e+006,+2.0215e+006,+3.83288e+006,+2.05651e+006,0,0,0
2000-07-10 22:10:00 MDT,+3.70639e+006,+1.65954e+006,+3.66006e+006,+1.65055e+006,+3.76756e+006,+1.68722e+006,0,0,0
2000-07-10 22:15:00 MDT,+3.67995e+006,+1.64274e+006,+3.64721e+006,+1.63535e+006,+3.72899e+006,+1.67013e+006,1,1,1
2000-07-10 22:20:00 MDT,+3.70829e+006,+1.61556e+006,+3.6673e+006,+1.60722e+006,+3.76497e+006,+1.64282e+006,1,1,1
2000-07-10 22:25:00 MDT,+3.64022e+006,+1.59802e+006,+3.60692e+006,+1.59047e+006,+3.69251e+006,+1.62501e+006,2,2,2
2000-07-10 22:30:00 MDT,+3.59849e+006,+1.59705e+006,+3.54576e+006,+1.58839e+006,+3.64871e+006,+1.62364e+006,2,2,2
2000-07-10 22:35:00 MDT,+3.52726e+006,+1.55145e+006,+3.48997e+006,+1.54378e+006,+3.57963e+006,+1.57796e+006,3,3,3
2000-07-10 22:40:00 MDT,+3.65865e+006,+1.55724e+006,+3.55277e+006,+1.5454e+006,+3.62734e+006,+1.57764e+006,3,3,3
2000-07-10 22:45:00 MDT,+3.54179e+006,+1.53704e+006,+3.49089e+006,+1.52843e+006,+3.59612e+006,+1.5634e+006,4,4,4
2000-07-10 22:50:00 MDT,+3.42738e+006,+1.50539e+006,+3.39557e+006,+1.49801e+006,+3.50402e+006,+1.53274e+006,4,4,4
2000-07-10 22:55:00 MDT,+3.41692e+006,+1.49042e+006,+3.35658e+006,+1.48162e+006,+3.48426e+006,+1.51723e+006,5,5,5
