# file...... line_trans_node_5_to_trans_node_4_at_inter_power.csv
# date...... Sat Sep 26 23:35:38 2009
# user...... glduser
# host...... (null)
# target.... overhead_line 33954
# trigger... (none)
# interval.. 60
# limit..... 2880
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag
2000-07-10 22:01:00 MDT,+6.03476e+006,+3.231e+006,+6.05193e+006,+3.19687e+006,+6.07383e+006,+3.22785e+006,+6.03353e+006,+3.22697e+006,+6.05112e+006,+3.19259e+006,+6.07215e+006,+3.22354e+006
2000-07-10 22:02:00 MDT,+6.09347e+006,+3.23615e+006,+6.11353e+006,+3.19394e+006,+6.14098e+006,+3.23126e+006,+6.09221e+006,+3.23207e+006,+6.11271e+006,+3.1896e+006,+6.13927e+006,+3.22687e+006
2000-07-10 22:03:00 MDT,+6.05166e+006,+3.22964e+006,+6.07786e+006,+3.1947e+006,+6.09603e+006,+3.23381e+006,+6.05042e+006,+3.2256e+006,+6.07705e+006,+3.1904e+006,+6.09434e+006,+3.22947e+006
2000-07-10 22:04:00 MDT,+5.99415e+006,+3.22135e+006,+6.03761e+006,+3.1903e+006,+6.04371e+006,+3.24233e+006,+5.99293e+006,+3.21738e+006,+6.03681e+006,+3.18605e+006,+6.04205e+006,+3.23804e+006
2000-07-10 22:05:00 MDT,+5.96171e+006,+3.22481e+006,+5.98386e+006,+3.19655e+006,+5.99815e+006,+3.22891e+006,+5.9605e+006,+3.22086e+006,+5.98307e+006,+3.19235e+006,+5.99651e+006,+3.22468e+006
2000-07-10 22:06:00 MDT,+5.88503e+006,+3.22323e+006,+5.91513e+006,+3.18967e+006,+5.92982e+006,+3.23173e+006,+5.88385e+006,+3.21936e+006,+5.91435e+006,+3.18555e+006,+5.9282e+006,+3.22757e+006
2000-07-10 22:07:00 MDT,+5.82753e+006,+2.63085e+006,+5.85768e+006,+2.61916e+006,+5.85322e+006,+2.65049e+006,+5.82645e+006,+2.62735e+006,+5.85697e+006,+2.61541e+006,+5.85176e+006,+2.64673e+006
2000-07-10 22:08:00 MDT,+5.80163e+006,+2.6447e+006,+5.82657e+006,+2.60701e+006,+5.84721e+006,+2.64679e+006,+5.80057e+006,+2.64122e+006,+5.82587e+006,+2.6033e+006,+5.84575e+006,+2.64304e+006
2000-07-10 22:09:00 MDT,+5.80462e+006,+2.64339e+006,+5.83153e+006,+2.60738e+006,+5.84981e+006,+2.64802e+006,+5.80355e+006,+2.6399e+006,+5.83083e+006,+2.60366e+006,+5.84835e+006,+2.64426e+006
2000-07-10 22:10:00 MDT,+5.81722e+006,+2.64232e+006,+5.8363e+006,+2.61336e+006,+5.85253e+006,+2.64365e+006,+5.81614e+006,+2.63882e+006,+5.8356e+006,+2.60964e+006,+5.85107e+006,+2.6399e+006
