# file...... line_trans_node_6_to_trans_node_5_at_from_power.csv
# date...... Sat Sep 26 23:35:38 2009
# user...... glduser
# host...... (null)
# target.... overhead_line 33943
# trigger... (none)
# interval.. 60
# limit..... 2880
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag
2000-07-10 22:01:00 MDT,+9.34458e+006,+5.00939e+006,+9.35801e+006,+4.98141e+006,+9.3757e+006,+5.00661e+006,+9.33897e+006,+4.99499e+006,+9.35384e+006,+4.96785e+006,+9.37296e+006,+4.99215e+006
2000-07-10 22:02:00 MDT,+9.4681e+006,+5.01985e+006,+9.4969e+006,+4.97267e+006,+9.52358e+006,+5.02064e+006,+9.46237e+006,+5.00513e+006,+9.49264e+006,+4.95881e+006,+9.52077e+006,+5.00579e+006
2000-07-10 22:03:00 MDT,+9.4212e+006,+5.01925e+006,+9.43598e+006,+4.97717e+006,+9.46533e+006,+5.01055e+006,+9.41552e+006,+5.00465e+006,+9.43176e+006,+4.96344e+006,+9.46254e+006,+4.99586e+006
2000-07-10 22:04:00 MDT,+9.32131e+006,+5.01001e+006,+9.34906e+006,+4.97249e+006,+9.36801e+006,+5.01466e+006,+9.31572e+006,+4.99567e+006,+9.34491e+006,+4.95897e+006,+9.36527e+006,+5.0002e+006
2000-07-10 22:05:00 MDT,+9.22648e+006,+5.00321e+006,+9.24546e+006,+4.97747e+006,+9.25845e+006,+5.00632e+006,+9.22098e+006,+4.9891e+006,+9.24137e+006,+4.96417e+006,+9.25576e+006,+4.99213e+006
2000-07-10 22:06:00 MDT,+9.09844e+006,+4.98869e+006,+9.13401e+006,+4.97405e+006,+9.12892e+006,+5.01191e+006,+9.09307e+006,+4.9749e+006,+9.13e+006,+4.961e+006,+9.12629e+006,+4.99802e+006
2000-07-10 22:07:00 MDT,+8.98369e+006,+4.07971e+006,+9.02978e+006,+4.07102e+006,+9.01419e+006,+4.1151e+006,+8.97884e+006,+4.06726e+006,+9.02615e+006,+4.0592e+006,+9.01182e+006,+4.10255e+006
2000-07-10 22:08:00 MDT,+8.94094e+006,+4.08049e+006,+8.99288e+006,+4.06409e+006,+8.98104e+006,+4.11712e+006,+8.93612e+006,+4.06813e+006,+8.98928e+006,+4.05235e+006,+8.97867e+006,+4.10464e+006
2000-07-10 22:09:00 MDT,+8.9397e+006,+4.07887e+006,+8.98166e+006,+4.07084e+006,+8.96764e+006,+4.11098e+006,+8.93489e+006,+4.06652e+006,+8.97806e+006,+4.05912e+006,+8.96528e+006,+4.09854e+006
2000-07-10 22:10:00 MDT,+8.97357e+006,+4.08334e+006,+9.00184e+006,+4.07636e+006,+8.99386e+006,+4.10403e+006,+8.96872e+006,+4.0709e+006,+8.99823e+006,+4.0646e+006,+8.9915e+006,+4.09153e+006
