# file...... line_trans_node_6_to_trans_node_5_at_to_power.csv
# date...... Sat Sep 26 23:35:38 2009
# user...... glduser
# host...... (null)
# target.... overhead_line 33949
# trigger... (none)
# interval.. 60
# limit..... 2880
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag
2000-07-10 22:01:00 MDT,+9.33481e+006,+4.98143e+006,+9.35113e+006,+4.95345e+006,+9.36733e+006,+4.97768e+006,+1.3728e+007,+7.3045e+006,+1.37393e+007,+7.25605e+006,+1.37758e+007,+7.2892e+006
2000-07-10 22:02:00 MDT,+9.45812e+006,+4.99128e+006,+9.48986e+006,+4.94409e+006,+9.51499e+006,+4.99095e+006,+1.38845e+007,+7.3206e+006,+1.39159e+007,+7.2392e+006,+1.39708e+007,+7.3058e+006
2000-07-10 22:03:00 MDT,+9.4113e+006,+4.9909e+006,+9.42901e+006,+4.94886e+006,+9.45683e+006,+4.98117e+006,+1.38306e+007,+7.32171e+006,+1.38457e+007,+7.24391e+006,+1.39059e+007,+7.29475e+006
2000-07-10 22:04:00 MDT,+9.31158e+006,+4.98216e+006,+9.34219e+006,+4.9446e+006,+9.35965e+006,+4.98574e+006,+1.37137e+007,+7.3104e+006,+1.37429e+007,+7.24125e+006,+1.37885e+007,+7.29971e+006
2000-07-10 22:05:00 MDT,+9.2169e+006,+4.97581e+006,+9.23871e+006,+4.95005e+006,+9.25024e+006,+4.97795e+006,+1.35608e+007,+7.29443e+006,+1.35885e+007,+7.24968e+006,+1.36136e+007,+7.29503e+006
2000-07-10 22:06:00 MDT,+9.08908e+006,+4.96191e+006,+9.12738e+006,+4.94715e+006,+9.12089e+006,+4.98413e+006,+1.33646e+007,+7.27126e+006,+1.34168e+007,+7.24859e+006,+1.34101e+007,+7.30449e+006
2000-07-10 22:07:00 MDT,+8.97523e+006,+4.05553e+006,+9.02377e+006,+4.04664e+006,+9.00693e+006,+4.08998e+006,+1.31919e+007,+5.94479e+006,+1.32549e+007,+5.92241e+006,+1.32423e+007,+5.98772e+006
2000-07-10 22:08:00 MDT,+8.93255e+006,+4.05649e+006,+8.98692e+006,+4.03988e+006,+8.97382e+006,+4.09214e+006,+1.31148e+007,+5.94714e+006,+1.3174e+007,+5.91764e+006,+1.31693e+007,+5.98326e+006
2000-07-10 22:09:00 MDT,+8.93131e+006,+4.05488e+006,+8.97571e+006,+4.04668e+006,+8.96044e+006,+4.08608e+006,+1.31152e+007,+5.94586e+006,+1.31623e+007,+5.92548e+006,+1.3156e+007,+5.97605e+006
2000-07-10 22:10:00 MDT,+8.96513e+006,+4.05919e+006,+8.99587e+006,+4.0521e+006,+8.98663e+006,+4.07902e+006,+1.31708e+007,+5.95291e+006,+1.31954e+007,+5.93412e+006,+1.31993e+007,+5.96422e+006
2000-07-10 22:11:00 MDT,+8.9779e+006,+4.05156e+006,+9.00293e+006,+4.03583e+006,+9.00407e+006,+4.06202e+006,+1.31909e+007,+5.9299e+006,+1.32211e+007,+5.91402e+006,+1.32197e+007,+5.94745e+006
2000-07-10 22:12:00 MDT,+8.999e+006,+4.04293e+006,+9.02667e+006,+4.04377e+006,+9.01205e+006,+4.0641e+006,+1.32212e+007,+5.92741e+006,+1.3253e+007,+5.91676e+006,+1.32462e+007,+5.94914e+006
2000-07-10 22:13:00 MDT,+8.97925e+006,+4.04489e+006,+9.03789e+006,+4.02407e+006,+9.02628e+006,+4.08186e+006,+1.31985e+007,+5.92693e+006,+1.32704e+007,+5.89453e+006,+1.32619e+007,+5.97223e+006
2000-07-10 22:14:00 MDT,+8.97778e+006,+4.03424e+006,+9.03441e+006,+4.03524e+006,+9.00481e+006,+4.08061e+006,+1.3188e+007,+5.91373e+006,+1.32638e+007,+5.90451e+006,+1.32331e+007,+5.97431e+006
2000-07-10 22:15:00 MDT,+8.98531e+006,+4.05225e+006,+9.00033e+006,+4.0407e+006,+9.00288e+006,+4.05621e+006,+1.31976e+007,+5.93805e+006,+1.32165e+007,+5.91232e+006,+1.32294e+007,+5.94092e+006
2000-07-10 22:16:00 MDT,+8.86121e+006,+3.97529e+006,+8.90879e+006,+3.95209e+006,+8.90492e+006,+4.0017e+006,+1.30188e+007,+5.82758e+006,+1.30744e+007,+5.78671e+006,+1.30816e+007,+5.85463e+006
2000-07-10 22:17:00 MDT,+8.8927e+006,+3.98039e+006,+8.92475e+006,+3.95749e+006,+8.92841e+006,+3.9935e+006,+1.30527e+007,+5.82648e+006,+1.31015e+007,+5.79352e+006,+1.31053e+007,+5.85165e+006
2000-07-10 22:18:00 MDT,+8.96289e+006,+3.99107e+006,+8.98204e+006,+3.95899e+006,+9.00035e+006,+3.98833e+006,+1.31579e+007,+5.8386e+006,+1.31777e+007,+5.8041e+006,+1.31978e+007,+5.83777e+006
2000-07-10 22:19:00 MDT,+9.0337e+006,+3.99286e+006,+9.03673e+006,+3.97062e+006,+9.05467e+006,+3.98116e+006,+1.32663e+007,+5.84728e+006,+1.3261e+007,+5.81572e+006,+1.32913e+007,+5.82638e+006
2000-07-10 22:20:00 MDT,+9.05256e+006,+3.9799e+006,+9.07063e+006,+3.97636e+006,+9.06471e+006,+3.99057e+006,+1.33031e+007,+5.83782e+006,+1.33116e+007,+5.81983e+006,+1.3323e+007,+5.83577e+006
2000-07-10 22:21:00 MDT,+9.06632e+006,+3.97862e+006,+9.08031e+006,+3.95324e+006,+9.09531e+006,+3.97461e+006,+1.33183e+007,+5.8314e+006,+1.33299e+007,+5.78494e+006,+1.33643e+007,+5.81737e+006
2000-07-10 22:22:00 MDT,+9.0694e+006,+3.98018e+006,+9.09709e+006,+3.94437e+006,+9.11411e+006,+3.98269e+006,+1.33281e+007,+5.83403e+006,+1.33593e+007,+5.77217e+006,+1.3397e+007,+5.82901e+006
2000-07-10 22:23:00 MDT,+9.07386e+006,+3.96927e+006,+9.09304e+006,+3.95954e+006,+9.09175e+006,+3.97758e+006,+1.3332e+007,+5.8167e+006,+1.33662e+007,+5.78699e+006,+1.33746e+007,+5.83071e+006
2000-07-10 22:24:00 MDT,+9.01021e+006,+3.96732e+006,+9.05407e+006,+3.94397e+006,+9.05226e+006,+3.99027e+006,+1.32548e+007,+5.81149e+006,+1.33029e+007,+5.77994e+006,+1.33059e+007,+5.83657e+006
2000-07-10 22:25:00 MDT,+8.96795e+006,+3.97527e+006,+9.00051e+006,+3.93939e+006,+9.01526e+006,+3.98218e+006,+1.31899e+007,+5.81871e+006,+1.3221e+007,+5.77803e+006,+1.32405e+007,+5.82444e+006
2000-07-10 22:26:00 MDT,+8.93629e+006,+3.97125e+006,+8.9612e+006,+3.94522e+006,+8.97132e+006,+3.97667e+006,+1.31315e+007,+5.80989e+006,+1.31694e+007,+5.77914e+006,+1.31771e+007,+5.82684e+006
2000-07-10 22:27:00 MDT,+8.90533e+006,+3.96374e+006,+8.93919e+006,+3.94547e+006,+8.93804e+006,+3.98074e+006,+1.30896e+007,+5.81179e+006,+1.31193e+007,+5.77909e+006,+1.31326e+007,+5.82052e+006
2000-07-10 22:28:00 MDT,+8.87636e+006,+3.95387e+006,+8.90662e+006,+3.95484e+006,+8.89057e+006,+3.97752e+006,+1.30413e+007,+5.79803e+006,+1.30816e+007,+5.78343e+006,+1.30739e+007,+5.82522e+006
2000-07-10 22:29:00 MDT,+8.84031e+006,+3.9558e+006,+8.8785e+006,+3.94632e+006,+8.86731e+006,+3.981e+006,+1.29836e+007,+5.79373e+006,+1.30372e+007,+5.77699e+006,+1.30243e+007,+5.83127e+006
2000-07-10 22:30:00 MDT,+8.82903e+006,+3.95201e+006,+8.85887e+006,+3.95366e+006,+8.84241e+006,+3.97563e+006,+1.29676e+007,+5.79479e+006,+1.29948e+007,+5.78923e+006,+1.29857e+007,+5.81515e+006
2000-07-10 22:31:00 MDT,+8.68895e+006,+3.87385e+006,+8.73868e+006,+3.8445e+006,+8.73905e+006,+3.89904e+006,+1.27586e+007,+5.67275e+006,+1.28186e+007,+5.63472e+006,+1.28211e+007,+5.70484e+006
