# file...... transformer_losses.csv
# date...... Sat Sep 26 23:35:37 2009
# user...... glduser
# host...... (null)
# group..... class=transformer
# trigger... (none)
# interval.. 300
# limit..... 312
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2000-07-10 22:05:00 MDT,-2.74879e+006,-58357.7,2.22984e+006,421179,3.28679e+006,389318
2000-07-10 22:10:00 MDT,-2.25028e+006,-96508.2,1.89092e+006,436403,2.72444e+006,399029
2000-07-10 22:15:00 MDT,-2.05639e+006,26665,2.12982e+006,547931,3.04343e+006,481111
2000-07-10 22:20:00 MDT,-2.44927e+006,31757.4,2.36128e+006,549743,3.46744e+006,488975
2000-07-10 22:25:00 MDT,-2.10917e+006,147776,2.63118e+006,608631,3.55849e+006,597634
2000-07-10 22:30:00 MDT,-1.82833e+006,112975,2.37387e+006,637746,3.17903e+006,604332
2000-07-10 22:35:00 MDT,-1.62712e+006,248175,2.64687e+006,718104,3.44717e+006,675686
2000-07-10 22:40:00 MDT,-1.91759e+006,250723,2.75215e+006,746576,3.90291e+006,654973
2000-07-10 22:45:00 MDT,-1.64835e+006,348329,3.03826e+006,811391,3.97785e+006,771466
2000-07-10 22:50:00 MDT,-1.34673e+006,379128,2.74259e+006,792137,3.57919e+006,742095
2000-07-10 22:55:00 MDT,-1.18582e+006,434179,2.99265e+006,914754,3.91365e+006,858315
2000-07-10 23:00:00 MDT,-1.40625e+006,450788,3.16833e+006,919113,4.2521e+006,839226
2000-07-10 23:05:00 MDT,-1.19956e+006,566281,3.42346e+006,973611,4.36712e+006,919942
2000-07-10 23:10:00 MDT,-960985,553398,3.1606e+006,981934,4.05777e+006,914659
2000-07-10 23:15:00 MDT,-930087,585985,3.2969e+006,1.01633e+006,4.24576e+006,933683
2000-07-10 23:20:00 MDT,-1.08239e+006,591781,3.39307e+006,1.00208e+006,4.41824e+006,925984
2000-07-10 23:25:00 MDT,-1.03693e+006,618850,3.46008e+006,962603,4.36767e+006,954171
2000-07-10 23:30:00 MDT,-951000,579127,3.31829e+006,1.01731e+006,4.20002e+006,920344
2000-07-10 23:35:00 MDT,-992673,606701,3.19658e+006,982987,4.24358e+006,905548
2000-07-10 23:40:00 MDT,-1.05293e+006,563909,3.34773e+006,989317,4.38235e+006,931314
2000-07-10 23:45:00 MDT,-1.10668e+006,617890,3.38153e+006,934209,4.3604e+006,937522
2000-07-10 23:50:00 MDT,-1.03109e+006,583738,3.34201e+006,992305,4.19889e+006,912917
2000-07-10 23:55:00 MDT,-936913,628609,3.23529e+006,934881,4.21327e+006,920310
2000-07-11 00:00:00 MDT,-1.09365e+006,617609,3.381e+006,954599,4.31597e+006,913593
2000-07-11 00:05:00 MDT,-747514,552371,3.36691e+006,1.03466e+006,4.15949e+006,1.02267e+006
2000-07-11 00:10:00 MDT,-1.0206e+006,612337,3.39949e+006,1.01183e+006,4.38971e+006,983502
2000-07-11 00:15:00 MDT,-784792,601104,3.40731e+006,1.04984e+006,4.33951e+006,1.01473e+006
2000-07-11 00:20:00 MDT,-871419,582089,3.40649e+006,1.06033e+006,4.34515e+006,1.00592e+006
2000-07-11 00:25:00 MDT,-799935,577427,3.49223e+006,1.00987e+006,4.24458e+006,1.05871e+006
