# file...... underground_line_losses.csv
# date...... Sat Sep 26 23:35:38 2009
# user...... glduser
# host...... (null)
# group..... class=underground_line
# trigger... (none)
# interval.. 300
# limit..... 312
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2000-07-10 22:05:00 MDT,345753,192252,344977,191506,348269,193275
2000-07-10 22:10:00 MDT,340592,189109,340272,188744,342594,189929
2000-07-10 22:15:00 MDT,336127,186743,335592,186150,338530,187672
2000-07-10 22:20:00 MDT,328993,182962,329266,182827,331344,183972
2000-07-10 22:25:00 MDT,322947,179710,322816,179070,327130,181488
2000-07-10 22:30:00 MDT,320405,178008,320854,177942,323222,179257
2000-07-10 22:35:00 MDT,306989,170656,306818,170216,309819,171778
2000-07-10 22:40:00 MDT,310041,172393,309450,171947,311182,172760
2000-07-10 22:45:00 MDT,304102,169194,304743,169039,308135,171002
2000-07-10 22:50:00 MDT,292956,162809,292231,162145,294778,163462
2000-07-10 22:55:00 MDT,288801,160530,289383,160596,291293,161658
2000-07-10 23:00:00 MDT,291253,162002,291425,161858,293162,162815
2000-07-10 23:05:00 MDT,277408,154421,277478,154021,280830,155842
2000-07-10 23:10:00 MDT,275037,152895,275416,152819,277649,154057
2000-07-10 23:15:00 MDT,274208,152497,274458,152335,276234,153344
2000-07-10 23:20:00 MDT,268952,149623,269713,149719,271460,150746
2000-07-10 23:25:00 MDT,268986,149656,269805,149768,271701,150926
2000-07-10 23:30:00 MDT,268172,149105,268288,148901,270029,149840
2000-07-10 23:35:00 MDT,261845,145569,262115,145572,263324,146240
2000-07-10 23:40:00 MDT,262150,145961,263682,146307,265626,147548
2000-07-10 23:45:00 MDT,262047,145807,262104,145508,265002,147128
2000-07-10 23:50:00 MDT,257966,143477,258913,143704,260169,144470
2000-07-10 23:55:00 MDT,258235,143715,257601,143029,260582,144597
2000-07-11 00:00:00 MDT,259051,144101,259264,143956,261058,145003
2000-07-11 00:05:00 MDT,294183,163472,295674,163976,296876,164791
2000-07-11 00:10:00 MDT,295174,164058,295236,163847,297289,164919
2000-07-11 00:15:00 MDT,293903,163396,293822,163023,296469,164467
2000-07-11 00:20:00 MDT,290585,161501,290742,161342,292781,162477
2000-07-11 00:25:00 MDT,289550,161018,290326,160976,293404,162774
2000-07-11 00:30:00 MDT,289889,161241,289554,160632,292983,162469
2000-07-11 00:35:00 MDT,286692,159353,286303,158899,288794,160217
2000-07-11 00:40:00 MDT,286641,159294,287146,159380,288412,160028
2000-07-11 00:45:00 MDT,285792,158813,285930,158610,288313,159953
2000-07-11 00:50:00 MDT,281952,156823,282265,156599,285320,158279
2000-07-11 00:55:00 MDT,282824,157267,282768,156848,285748,158526
2000-07-11 01:00:00 MDT,281978,156741,282245,156601,284914,158056
2000-07-11 01:05:00 MDT,278518,154824,278708,154679,280639,155746
2000-07-11 01:10:00 MDT,278400,154732,278624,154582,280717,155732
2000-07-11 01:15:00 MDT,278116,154598,278643,154539,280752,155813
2000-07-11 01:20:00 MDT,277008,153893,276189,153318,278624,154500
2000-07-11 01:25:00 MDT,276382,153635,276160,153258,278486,154508
2000-07-11 01:30:00 MDT,276718,153825,276904,153641,279234,154886
2000-07-11 01:35:00 MDT,274892,152770,274774,152427,277226,153763
2000-07-11 01:40:00 MDT,275154,152924,275422,152810,277356,153888
2000-07-11 01:45:00 MDT,274573,152694,274813,152449,277582,153983
2000-07-11 01:50:00 MDT,273620,152106,273080,151566,275377,152755
2000-07-11 01:55:00 MDT,272529,151436,273344,151559,275171,152653
2000-07-11 02:00:00 MDT,272778,151712,272612,151250,275957,153050
2000-07-11 02:05:00 MDT,271444,150851,271986,150911,273756,151884
2000-07-11 02:10:00 MDT,271700,151053,271404,150590,274130,152042
2000-07-11 02:15:00 MDT,271329,150775,271306,150490,273691,151768
2000-07-11 02:20:00 MDT,271616,150920,271976,150889,273888,151961
2000-07-11 02:25:00 MDT,272045,151158,271309,150599,273500,151673
2000-07-11 02:30:00 MDT,271227,150817,271432,150607,273776,151913
2000-07-11 02:35:00 MDT,271470,150712,272031,150907,272740,151352
2000-07-11 02:40:00 MDT,270966,150642,271684,150678,273904,151939
2000-07-11 02:45:00 MDT,271956,151137,270985,150420,273618,151704
2000-07-11 02:50:00 MDT,270922,150575,271698,150659,273478,151739
2000-07-11 02:55:00 MDT,271320,150697,272016,150866,273361,151703
2000-07-11 03:00:00 MDT,270794,150494,272044,150844,273777,151899
2000-07-11 03:05:00 MDT,271938,151207,271852,150858,274163,152139
2000-07-11 03:10:00 MDT,272466,151492,273322,151662,274787,152571
2000-07-11 03:15:00 MDT,271198,150651,271948,150832,272933,151478
2000-07-11 03:20:00 MDT,272537,151520,273360,151570,276006,153138
2000-07-11 03:25:00 MDT,273706,152137,273118,151629,275581,152891
2000-07-11 03:30:00 MDT,273463,152045,273678,151840,275607,152958
2000-07-11 03:35:00 MDT,274685,152686,275770,152963,277248,153847
2000-07-11 03:40:00 MDT,275364,153033,274750,152460,277478,153919
2000-07-11 03:45:00 MDT,276004,153584,275551,152868,279021,154746
2000-07-11 03:50:00 MDT,277362,154268,278438,154460,280489,155716
2000-07-11 03:55:00 MDT,277483,154358,279270,154930,281331,156224
2000-07-11 04:00:00 MDT,278265,154800,278236,154450,281060,155987
2000-07-11 04:05:00 MDT,280097,155828,280176,155537,282786,156969
2000-07-11 04:10:00 MDT,279818,155706,280379,155602,282914,157089
2000-07-11 04:15:00 MDT,278750,155092,280312,155495,282851,157038
2000-07-11 04:20:00 MDT,286021,159172,286352,159045,288522,160270
2000-07-11 04:25:00 MDT,284344,158140,284856,158059,286928,159282
2000-07-11 04:30:00 MDT,282125,156772,283028,156965,284650,157943
2000-07-11 04:35:00 MDT,287876,159971,288310,159998,290064,160936
2000-07-11 04:40:00 MDT,292150,162614,292323,162501,294021,163474
2000-07-11 04:45:00 MDT,289760,161264,291037,161541,292682,162627
2000-07-11 04:50:00 MDT,293267,162987,294045,163166,295430,164017
2000-07-11 04:55:00 MDT,294685,163966,296662,164699,297946,165597
2000-07-11 05:00:00 MDT,296779,165146,295873,164469,298228,165699
2000-07-11 05:05:00 MDT,301526,167960,302434,168054,304639,169394
2000-07-11 05:10:00 MDT,302075,168216,303242,168536,304277,169275
2000-07-11 05:15:00 MDT,300918,167607,303433,168599,303789,169096
2000-07-11 05:20:00 MDT,290065,161587,291415,161954,292462,162716
2000-07-11 05:25:00 MDT,286565,159534,287468,159536,289445,160776
2000-07-11 05:30:00 MDT,284604,158295,287034,159186,288070,160048
2000-07-11 05:35:00 MDT,273924,152429,275321,152708,277552,154123
2000-07-11 05:40:00 MDT,275709,153421,277336,153937,278588,154841
2000-07-11 05:45:00 MDT,276109,153692,277767,154189,278720,154929
2000-07-11 05:50:00 MDT,270531,150503,272480,151209,273513,152014
2000-07-11 05:55:00 MDT,270634,150576,272111,150986,273523,151995
2000-07-11 06:00:00 MDT,272336,151582,273236,151794,274715,152689
2000-07-11 06:05:00 MDT,283960,158320,285475,158813,286015,159307
2000-07-11 06:10:00 MDT,284859,158869,287100,159734,287376,160259
2000-07-11 06:15:00 MDT,284126,158503,286196,159177,287244,160089
2000-07-11 06:20:00 MDT,294119,163977,295949,164775,296120,165030
2000-07-11 06:25:00 MDT,294387,164202,296658,165014,297111,165676
2000-07-11 06:30:00 MDT,294432,164183,296106,164835,295884,164974
2000-07-11 06:35:00 MDT,303410,169263,304434,169489,305900,170432
2000-07-11 06:40:00 MDT,306373,171055,306162,170670,308416,171913
2000-07-11 06:45:00 MDT,306083,170838,306532,170865,307598,171531
2000-07-11 06:50:00 MDT,313867,175406,314808,175399,317796,177186
2000-07-11 06:55:00 MDT,315438,176107,315735,175980,317145,176902
2000-07-11 07:00:00 MDT,314516,175637,315892,176033,317058,176867
2000-07-11 07:05:00 MDT,322276,180013,324966,180895,326917,182300
2000-07-11 07:10:00 MDT,323396,180573,324883,181039,325977,181825
2000-07-11 07:15:00 MDT,322397,179992,325012,181057,325203,181464
