#sample weather CSV file,,
$state_name=California,,
$city_name=Berkeley,,
temperature,humidity,
#month:day:hour:minute:second,,
07:01:00:00:00,50,0.05
07:01:01:00:00,62,0.16
07:01:02:00:00,78,0.12
07:01:03:00:00,70,0.1
07:01:04:00:00,51.2,0.06
07:01:05:00:00,63,0.15
07:01:06:00:00,36,0.3
07:01:07:00:00,34,0.3
07:01:08:00:00,31,0.5
07:01:09:00:00,36,0.6
07:01:10:00:00,45,0.8
07:01:11:00:00,26,0.9
07:01:12:00:00,25,0.23
07:01:13:00:00,87,0.01
07:01:14:00:00,65,0.02
07:01:15:00:00,39,0.54
07:01:16:00:00,41,0.68
07:01:17:00:00,78,0.32
07:01:18:00:00,98,0.25
07:01:19:00:00,21,0.45
07:01:20:00:00,54,0.36
07:01:21:00:00,58,0.06
07:01:22:00:00,76,0.09
07:01:23:00:00,23,0.1
