$state_name=Virginia
$city_name=Charlottesville
$lat_deg=38.090
$long_deg=-78.460
$elevation=148
$timezone_offset=-75.0
temperature,humidity,solar_direct,solar_diffuse,pressure,wind_speed
1:1:0:0:0,46.040,95.988,0.000,0.000,1004.000,1.118
1:1:1:0:0,46.940,94.703,0.000,0.000,1003.000,1.118
1:1:2:0:0,47.480,96.013,0.000,0.000,1001.000,0.895
1:1:3:0:0,48.020,96.022,0.000,0.000,1000.000,1.118
1:1:4:0:0,49.100,93.479,0.000,0.000,999.000,1.342
1:1:5:0:0,51.440,91.680,0.000,0.000,997.000,1.566
1:1:6:0:0,53.420,94.221,0.000,0.000,996.000,1.342
1:1:7:0:0,54.500,94.872,0.000,0.000,994.000,1.118
1:1:8:0:0,55.580,95.521,0.000,0.000,993.000,0.895
1:1:9:0:0,56.120,98.705,0.000,0.000,993.000,0.671
1:1:10:0:0,55.220,100.000,0.000,0.000,994.000,0.447
1:1:11:0:0,53.780,100.000,0.000,0.000,994.000,0.447
1:1:12:0:0,53.600,100.000,0.000,0.000,994.000,0.447
1:1:13:0:0,54.680,95.503,0.000,3.345,994.000,0.671
1:1:14:0:0,55.940,94.903,0.000,4.274,995.000,0.895
1:1:15:0:0,57.020,91.872,0.000,8.826,994.000,0.895
1:1:16:0:0,57.920,86.639,0.000,6.968,993.000,1.118
1:1:17:0:0,59.180,79.081,9.941,19.974,991.000,1.118
1:1:18:0:0,60.080,75.079,0.743,14.679,991.000,1.118
1:1:19:0:0,59.540,76.537,26.292,13.378,991.000,1.118
1:1:20:0:0,56.300,88.286,22.483,8.361,991.000,0.671
1:1:21:0:0,51.800,98.680,38.183,2.508,992.000,0.671
1:1:22:0:0,49.820,94.132,0.000,0.000,993.000,0.895
1:1:23:0:0,49.640,87.365,0.000,0.000,994.000,1.118
1:2:0:0:0,46.040,87.175,0.000,0.000,996.000,1.342
1:2:1:0:0,43.880,82.313,0.000,0.000,997.000,1.566
1:2:2:0:0,41.540,79.839,0.000,0.000,998.000,1.566
1:2:3:0:0,39.560,76.304,0.000,0.000,999.000,1.342
1:2:4:0:0,38.120,75.068,0.000,0.000,999.000,1.118
1:2:5:0:0,37.040,77.752,0.000,0.000,1000.000,1.118
1:2:6:0:0,36.140,80.562,0.000,0.000,1001.000,0.895
1:2:7:0:0,35.600,82.905,0.000,0.000,1002.000,0.895
1:2:8:0:0,35.060,85.320,0.000,0.000,1002.000,0.895
1:2:9:0:0,34.520,87.173,0.000,0.000,1003.000,0.895
1:2:10:0:0,33.800,89.062,0.000,0.000,1005.000,0.895
1:2:11:0:0,33.440,89.045,0.000,0.000,1006.000,0.671
1:2:12:0:0,35.240,81.677,0.000,0.000,1007.000,0.895
1:2:13:0:0,39.020,73.535,57.042,3.623,1008.000,1.118
1:2:14:0:0,42.440,64.413,74.880,5.110,1009.000,1.342
1:2:15:0:0,45.320,56.046,83.241,5.481,1009.000,1.342
1:2:16:0:0,47.840,49.858,87.050,5.667,1009.000,1.118
