Simulation Step Size (s),Time Penalty per Step (s)
30,0.001834612
120,0.002557201
210,0.003377208
300,0.003764576
390,0.004003796
480,0.005615411
570,0.005269903
660,0.006885141
750,0.011002159
840,0.009756161
15,0.0016932191827860243
165,0.002555897052890338
315,0.0033460574019896832
465,0.004086555823206544
615,0.004795950471767306
765,0.005693647217770027
915,0.006539776869863869
1065,0.006557216073965018
1215,0.008686856770203493
1365,0.008916454328065902
10,0.0013865032102871832
110,0.0020480124619883704
210,0.0028492482557875465
310,0.003611293967280538
