module,object,in_docs,where,standalone,keep,notes
assert,complex_assert,yes,Developing Reference/Testing and Debugging,Assert module page,yes,
assert,double_assert,yes,Developing Reference/Testing and Debugging,Assert module page,yes,
assert,enum_assert,yes,Developing Reference/Testing and Debugging,Assert module page,yes,
assert,gld_assert,no,,,,
assert,init,no,,,,
assert,int_assert,no,,,,
assert,main,no,,,,
climate,climate,yes,Modules/Climate/Climate Module,yes,yes,
climate,csv_reader,yes,Modules/Climate/csv_reader,yes,,
climate,init,no,,,,
climate,main,no,,,,
climate,solar_angles,no,,,,
climate,test,no,,,,
climate,weather,no,properties documented in climate module,,,
climate,weather_reader,no,,,likely junk -- remove?,
commercial,hvac,unimplemented,Unimplemented/commercial module or commercial user guide,,unimplemented,
commercial,init,unimplemented,Unimplemented/commercial module or commercial user guide,,unimplemented,
commercial,main,unimplemented,Unimplemented/commercial module or commercial user guide,,unimplemented,
commercial,multizone,unimplemented,Unimplemented/commercial module or commercial user guide,,unimplemented,
commercial,office,unimplemented,Unimplemented/commercial module or commercial user guide,,unimplemented,
commercial,solvers,unimplemented,Unimplemented/commercial module or commercial user guide,,unimplemented,
connection,cache,unimplemented,,,unimplemented,
connection,client,unimplemented,,,unimplemented,
connection,connection,yes,,yes,unimplemented,
connection,fncs_msg,unimplemented,,yes,unimplemented,
connection,helics_msg,unimplemented,,yes,unimplemented,
connection,init,unimplemented,,,unimplemented,
connection,json,unimplemented,,yes,unimplemented,
connection,main,unimplemented,,,unimplemented,
connection,message,unimplemented,,,unimplemented,
connection,native,unimplemented,,,unimplemented,
connection,server,unimplemented,,,unimplemented,
connection,socket,unimplemented,,,unimplemented,
connection,tcp,unimplemented,,,unimplemented,
connection,transport,unimplemented,,,unimplemented,
connection,udp,unimplemented,,,unimplemented,
connection,varmap,unimplemented,,,unimplemented,
connection,xml,unimplemented,,yes,unimplemented,
eigen_solver,solver_EIGEN,no,,,,
generators,battery,yes,Modules/Generators/Battery Energy Storage,energy storage + battery,,
generators,cblock,no,,,,
generators,central_dg_control,no,,,,
generators,controller_dg,no,,,,
generators,diesel_dg,yes,Modules/Generators/Diesel dg,yes,,
generators,energy_storage,yes,Modules/Generators/Battery Energy Storage,energy storage + battery,,
generators,generators,,,,,
generators,init,,,,,
generators,inverter,yes,Modules/Generators/Inverters/Inverter,yes,,
generators,inverter_dyn,yes,Modules/Generators/Inverters/Inverter_dyn,yes,,
generators,main,,,,,
generators,rectifier,no,,,,
generators,sec_control,yes,Modules/Generators/Inverters/sec control,yes,,
generators,solar,yes,Modules/Generators/Solar,yes,,
generators,sync_ctrl,yes,Modules/Generators/Inverters/sync ctrl,yes,,
generators,windturb_dg,yes,Modules/Generators/Wind Turbine,yes,,
glsolvers,etp,,,,,
glsolvers,main,,,,,
glsolvers,modified_euler,,,,,
glxengine,engine,,,,,
glxengine,udpconnection,,,,,
gridlabd,aggregate,,,,,
gridlabd,class,,,,,
gridlabd,cmdarg,,,,,
gridlabd,cmex,,,,,
