# file...... Gen_1_Speed.csv
# date...... Thu Jul 19 18:31:22 2018
# user...... thek306
# host...... (null)
# target.... diesel_dg 306
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech,torque_mech,torque_elec
2001-08-01 13:00:00 PDT,+376.991118431,+0.290456902987,+0.972075007651,-0.275972409863,+0.252974709041+1.00861951987j,+0.25826418023+0.990960426717j,+0+0i,+0+0i,+0+0i,+0.122632591337+0.11498850411j,+727204.036239,+423019.433441,+728103.631977,+1931.35486854,+1931.35486854
2001-08-01 13:00:08 PDT,+376.991118431,+0.290456902987,+0.972075007651,-0.275972409863,+0.252974709041+1.00861951987j,+0.25826418023+0.990960426717j,+0+0i,+0+0i,+0+0i,+0.122632591337+0.11498850411j,+759262.244361,+464554.121781,+728103.631977,+1931.35486854,+1931.35486854
2001-08-01 13:00:08.000000 PDT,+376.991118431,+0.297103848631,+0.968634635721,-0.283004758544,+0.259421028668+1.00847229066j,+0.264845286539+0.989221880218j,+2455.65478968+87.2323510527j,-1152.2819628-2170.27560632j,-1303.37282688+2083.04325526j,+0.133683405991+0.117918649141j,+759262.318743,+464554.158006,+734664.733605,+1948.75873114,+2016.6679174
2001-08-01 13:00:08.010000 PDT,+376.958725808,+0.296768267315,+0.968643037448,-0.282993841996,+0.259418654809+1.00847269463j,+0.264840947862+0.989226148876j,+2455.69067537+86.4212249548j,-1153.00236145-2169.90112118j,-1302.68831392+2083.47989623j,+0.133453994282+0.11724815336j,+758184.87208,+464027.602009,+742032.369802,+1968.47113225,+2007.06805375
2001-08-01 13:00:08.020000 PDT,+376.955654379,+0.296034627842,+0.968681895947,-0.282911240379,+0.259398846779+1.00852030276j,+0.264806697307+0.989269529j,+2455.82900269+84.7285843574j,-1154.53739487-2169.17459586j,-1301.29160783+2084.4460115j,+0.133137469821+0.115289482899j,+750019.934859,+465143.011745,+752148.176702,+1995.32270697,+1980.26610796
2001-08-01 13:00:08.030000 PDT,+376.965631183,+0.295409716989,+0.968739841484,-0.282761873316,+0.259358556106+1.00863357618j,+0.264741319064+0.989356066798j,+2456.03445036+83.4044233926j,-1155.78687573-2168.69043828j,-1300.24757463+2085.28601488j,+0.133139797221+0.113799018341j,+741607.474176,+467670.002199,+749832.0096,+1989.12565914,+1960.7313394
2001-08-01 13:00:08.040000 PDT,+376.976520655,+0.295011074005,+0.968807536219,-0.282585468884,+0.259304101976+1.00877375956j,+0.264658816365+0.989461222108j,+2456.25136251+82.688107471j,-1156.51567959-2168.52013175j,-1299.73568291+2085.83202428j,+0.13331571659+0.113019728812j,+736383.593363,+470122.366985,+745085.053633,+1976.47602121,+1951.13283812
2001-08-01 13:00:08.050000 PDT,+376.985267342,+0.294812263309,+0.96887725464,-0.282414152765,+0.259242440959+1.00890600268j,+0.264571934674+0.989563251947j,+2456.44143529+82.4703867068j,-1156.7992677-2168.57587922j,-1299.64216759+2086.10549252j,+0.133547353097+0.112788580418j,+734237.827964,+471995.026869,+741992.791753,+1968.22755697,+1948.90986209
2001-08-01 13:00:08.060000 PDT,+376.991617404,+0.294764490154,+0.96894200188,-0.282266746711,+0.259179074257+1.00901052522j,+0.264489238921+0.98964855421j,+2456.58357909+82.6023649744j,-1156.75604306-2168.7649685j,-1299.82753602+2086.16260352j,+0.13377415519+0.112933633605j,+734338.088699,+473209.462577,+740769.876524,+1964.95052496,+1951.58980375
2001-08-01 13:00:08.070000 PDT,+376.99573894,+0.29482097282,+0.968996385641,-0.282151799451,+0.259117925138+1.0090793627j,+0.26441571623+0.98971040734j,+2456.66965994+82.9530475836j,-1156.49538344-2169.01485801j,-1300.1742765+2086.06181042j,+0.13396375598+0.113314488316j,+735899.312415,+473809.071215,+740856.593556,+1965.15906424,+1957.21592342
2001-08-01 13:00:08.080000 PDT,+376.997895392,+0.294939499946,+0.969037316639,-0.282070676428,+0.259061479349+1.00911259568j,+0.264353594677+0.989747360168j,+2456.70132028+83.4126251944j,-1156.11320773-2169.27206547j,-1300.58811255+2085.85944028j,+0.13409964106+0.113814244499j,+738263.179391,+473887.638388,+741756.611504,+1967.53515224,+1964.19778366
2001-08-01 13:00:08.090000 PDT,+376.998450358,+0.29508417131,+0.969064042051,-0.282019973467,+0.259010970718+1.00911543777j,+0.26430304135+0.989761743193j,+2456.68697026+83.8941334889j,-1155.6890343-2169.50039214j,-1300.99793596+2085.60625865j,+0.134177358254+0.114339525643j,+740899.496494,+473569.724768,+743087.883053,+1971.06349468,+1971.2976058
2001-08-01 13:00:08.100000 PDT,+376.997828407,+0.295227108216,+0.969077721887,-0.281993526412,+0.25896662485+1.0090958325j,+0.26426281221+0.989758222j,+2456.63878448+84.3351778949j,-1155.28298575-2169.67918423j,-1301.35579873+2085.34400633j,+0.134201506298+0.114822799285j,+743415.232253,+472991.137825,+744553.184184,+1974.95350923,+1977.64951429
2001-08-01 13:00:08.110000 PDT,+376.996454238,+0.295349069436,+0.969080805169,-0.28198405021,+0.258927937169+1.00906249979j,+0.264230843169+0.989742486284j,+2456.57003022+84.6971889969j,-1154.93509781-2169.80064685j,-1301.63493241+2085.10345785j,+0.134182357105+0.115221960954j,+745552.921338,+472281.680912,+745933.974657,+1978.62331667,+1982.74153028
2001-08-01 13:00:08.120000 PDT,+376.994704287,+0.295438923432,+0.969076394685,-0.281984374381,+0.258893948709+1.00902355043j,+0.264204746614+0.989720226848j,+2456.49308139+84.9622751007j,-1154.66705209-2169.86655025j,-1301.82602929+2084.90427515j,+0.134132793025+0.115517134262j,+747178.657809,+471550.521048,+747089.134696,+1981.69662916,+1986.36223396
