# timestamp, VA_Out
2001-08-01 13:00:00 PDT,+80000+10000j
2001-08-01 13:00:01 PDT,+80000+10000j
2001-08-01 13:00:02 PDT,+80000+10000j
2001-08-01 13:00:03 PDT,+80000+10000j
2001-08-01 13:00:04 PDT,+80000+10000j
2001-08-01 13:00:05.000000 PDT,+80000+10000j
2001-08-01 13:00:05.010000 PDT,+80371.5081617+11842.000167i
2001-08-01 13:00:05.020000 PDT,+80262.874837+12728.1350981i
2001-08-01 13:00:05.030000 PDT,+79871.009278+13359.6015979i
2001-08-01 13:00:05.040000 PDT,+79388.6934742+13917.6492109i
2001-08-01 13:00:05.050000 PDT,+78950.3452639+14554.4319175i
2001-08-01 13:00:05.060000 PDT,+78569.0275533+15291.0862558i
2001-08-01 13:00:05.070000 PDT,+78211.7641272+16080.0088686i
2001-08-01 13:00:05.080000 PDT,+77847.6203244+16862.6240721i
2001-08-01 13:00:05.090000 PDT,+77461.5120545+17594.272106i
2001-08-01 13:00:05.100000 PDT,+77052.8567207+18249.8648761i
2001-08-01 13:00:05.110000 PDT,+76629.8275506+18820.6153433i
2001-08-01 13:00:05.120000 PDT,+76203.9245441+19308.0887659i
2001-08-01 13:00:05.130000 PDT,+75786.3942362+19718.8399924i
2001-08-01 13:00:05.140000 PDT,+75386.5109445+20060.857191i
2001-08-01 13:00:05.150000 PDT,+75011.1419915+20341.7870787i
2001-08-01 13:00:05.160000 PDT,+74664.973332+20568.3855773i
2001-08-01 13:00:05.170000 PDT,+74350.9552901+20746.5867133i
2001-08-01 13:00:05.180000 PDT,+74070.7209747+20881.7606655i
2001-08-01 13:00:05.190000 PDT,+73824.92675+20978.9181674i
2001-08-01 13:00:05.200000 PDT,+73613.4778722+21042.8061833i
2001-08-01 13:00:05.210000 PDT,+73435.6916724+21077.9028197i
2001-08-01 13:00:05.220000 PDT,+73290.4125362+21088.3715019i
2001-08-01 13:00:05.230000 PDT,+73176.1204263+21077.9923643i
2001-08-01 13:00:05.240000 PDT,+73091.0212013+21050.1195077i
2001-08-01 13:00:05.250000 PDT,+73033.1322457+21007.666129i
2001-08-01 13:00:05.260000 PDT,+73000.3592437+20953.115695i
2001-08-01 13:00:05.270000 PDT,+72990.5627218+20888.551994i
2001-08-01 13:00:05.280000 PDT,+73001.6127126+20815.7007916i
2001-08-01 13:00:05.290000 PDT,+73031.4314289+20735.975847i
2001-08-01 13:00:05.300000 PDT,+73078.0246318+20650.5246541i
2001-08-01 13:00:05.310000 PDT,+73139.5031007+20560.2712368i
2001-08-01 13:00:05.320000 PDT,+73214.0959051+20465.9547558i
2001-08-01 13:00:05.330000 PDT,+73300.1571904+20368.1635464i
2001-08-01 13:00:05.340000 PDT,+73396.1680445+20267.3646619i
2001-08-01 13:00:05.350000 PDT,+73500.7347689+20163.9291786i
2001-08-01 13:00:05.360000 PDT,+73612.5846348+20058.1536044i
2001-08-01 13:00:05.370000 PDT,+73730.55997+19950.2777313i
2001-08-01 13:00:05.380000 PDT,+73853.6112333+19840.4992944i
2001-08-01 13:00:05.390000 PDT,+73980.7895662+19728.985796i
2001-08-01 13:00:05.400000 PDT,+74111.239187+19615.8838556i
2001-08-01 13:00:05.410000 PDT,+74244.1898898+19501.3264395i
2001-08-01 13:00:05.420000 PDT,+74378.9498261+19385.4383023i
2001-08-01 13:00:05.430000 PDT,+74514.8986903+19268.3399562i
2001-08-01 13:00:05.440000 PDT,+74651.4813735+19150.150441i
2001-08-01 13:00:05.450000 PDT,+74788.2021152+19030.9891402i
2001-08-01 13:00:05.460000 PDT,+74924.6191563+18910.9768477i
2001-08-01 13:00:05.470000 PDT,+75060.339879+18790.2362659i
2001-08-01 13:00:05.480000 PDT,+75195.0164013+18668.892071i
2001-08-01 13:00:05.490000 PDT,+75328.3415927+18547.0706699i
2001-08-01 13:00:05.500000 PDT,+75460.0454738+18424.8997389i
2001-08-01 13:00:05.510000 PDT,+75589.8919581+18302.5076207i
2001-08-01 13:00:05.520000 PDT,+75717.6758992+18180.0226393i
2001-08-01 13:00:05.530000 PDT,+75843.2204105+18057.5723767i
2001-08-01 13:00:05.540000 PDT,+75966.3744218+17935.2829472i
2001-08-01 13:00:05.550000 PDT,+76087.0104475+17813.2782941i
2001-08-01 13:00:05.560000 PDT,+76205.0225411+17691.6795278i
2001-08-01 13:00:05.570000 PDT,+76320.324413+17570.604318i
2001-08-01 13:00:05.580000 PDT,+76432.8476965+17450.1663478i
2001-08-01 13:00:05.590000 PDT,+76542.540341+17330.4748319i
2001-08-01 13:00:05.600000 PDT,+76649.365125+17211.6341073i
2001-08-01 13:00:05.610000 PDT,+76753.2982738+17093.7432894i
2001-08-01 13:00:05.620000 PDT,+76854.328174+16976.8959944i
2001-08-01 13:00:05.630000 PDT,+76952.4541786+16861.1801263i
2001-08-01 13:00:05.640000 PDT,+77047.6854914+16746.6777248i
2001-08-01 13:00:05.650000 PDT,+77140.0401306+16633.4648652i
2001-08-01 13:00:05.660000 PDT,+77229.5439611+16521.6116155i
2001-08-01 13:00:05.670000 PDT,+77316.2297985+16411.1820342i
2001-08-01 13:00:05.680000 PDT,+77400.1365722+16302.2342139i
2001-08-01 13:00:05.690000 PDT,+77481.3085517+16194.820362i
2001-08-01 13:00:05.700000 PDT,+77559.7946299+16088.9869127i
2001-08-01 13:00:05.710000 PDT,+77635.6476594+15984.774669i
2001-08-01 13:00:05.720000 PDT,+77708.9238407+15882.218969i
2001-08-01 13:00:05.730000 PDT,+77779.6821621+15781.3498714i
2001-08-01 13:00:05.740000 PDT,+77847.9838813+15682.1923609i
2001-08-01 13:00:05.750000 PDT,+77913.8920553+15584.7665652i
2001-08-01 13:00:05.760000 PDT,+77977.4711097+15489.0879824i
2001-08-01 13:00:05.770000 PDT,+78038.7864494+15395.1677163i
2001-08-01 13:00:05.780000 PDT,+78097.9041653+15303.012835i
2001-08-01 13:00:05.790000 PDT,+78154.8906446+15212.6264852i
2001-08-01 13:00:05.800000 PDT,+78209.8120832+15124.007753i
2001-08-01 13:00:05.810000 PDT,+78262.7313142+15037.1538503i
2001-08-01 13:00:05.820000 PDT,+78313.7178867+14952.0564204i
2001-08-01 13:00:05.830000 PDT,+78362.8367018+14868.704909i
2001-08-01 13:00:05.840000 PDT,+78410.1518285+14787.0864008i
2001-08-01 13:00:05.850000 PDT,+78455.7264161+14707.1856257i
2001-08-01 13:00:05.860000 PDT,+78499.6225196+14628.9850629i
2001-08-01 13:00:05.870000 PDT,+78541.90096+14552.4651126i
2001-08-01 13:00:05.880000 PDT,+78582.6212257+14477.6042951i
2001-08-01 13:00:05.890000 PDT,+78621.8413977+14404.3794515i
2001-08-01 13:00:05.900000 PDT,+78659.6180939+14332.7659393i
2001-08-01 13:00:05.910000 PDT,+78696.0064229+14262.737814i
2001-08-01 13:00:05.920000 PDT,+78731.0599492+14194.2680015i
2001-08-01 13:00:05.930000 PDT,+78764.8306662+14127.3284567i
2001-08-01 13:00:05.940000 PDT,+78797.3689796+14061.890312i
2001-08-01 13:00:05.950000 PDT,+78828.7236971+13997.9240147i
2001-08-01 13:00:05.960000 PDT,+78858.9420276+13935.3994588i
2001-08-01 13:00:05.970000 PDT,+78888.0695873+13874.2861049i
2001-08-01 13:00:05.980000 PDT,+78916.1504113+13814.5530933i
2001-08-01 13:00:05.990000 PDT,+78943.2269706+13756.1693488i
2001-08-01 13:00:06.000000 PDT,+78969.3401948+13699.1036752i
2001-08-01 13:00:06.010000 PDT,+78994.5294967+13643.3248461i
2001-08-01 13:00:06.020000 PDT,+79018.8328034+13588.8016849i
2001-08-01 13:00:06.030000 PDT,+79042.2865856+13535.5031389i
2001-08-01 13:00:06.040000 PDT,+79064.9258942+13483.3983476i
2001-08-01 13:00:06.050000 PDT,+79086.7843949+13432.4567021i
2001-08-01 13:00:06.060000 PDT,+79107.894405+13382.6479006i
2001-08-01 13:00:06.070000 PDT,+79128.2869338+13333.9419984i
2001-08-01 13:00:06.080000 PDT,+79147.99172+13286.3094503i
2001-08-01 13:00:06.090000 PDT,+79167.0372725+13239.7211494i
2001-08-01 13:00:06.100000 PDT,+79185.4509095+13194.1484625i
2001-08-01 13:00:06.110000 PDT,+79203.2587996+13149.5632575i
2001-08-01 13:00:06.120000 PDT,+79220.4860017+13105.9379308i
2001-08-01 13:00:06.130000 PDT,+79237.1565035+13063.245428i
2001-08-01 13:00:06.140000 PDT,+79253.2932607+13021.4592616i
2001-08-01 13:00:06.150000 PDT,+79268.9182376+12980.5535265i
2001-08-01 13:00:06.160000 PDT,+79284.0524421+12940.5029117i
2001-08-01 13:00:06.170000 PDT,+79298.7159649+12901.2827089i
2001-08-01 13:00:06.180000 PDT,+79312.9280152+12862.8688193i
2001-08-01 13:00:06.190000 PDT,+79326.706956+12825.2377569i
2001-08-01 13:00:06.200000 PDT,+79340.0703391+12788.3666521i
2001-08-01 13:00:06.210000 PDT,+79353.0349372+12752.2332503i
2001-08-01 13:00:06.220000 PDT,+79365.6167782+12716.815911i
2001-08-01 13:00:06.230000 PDT,+79377.8311759+12682.0936045i
2001-08-01 13:00:06.240000 PDT,+79389.6927597+12648.0459068i
2001-08-01 13:00:06.250000 PDT,+79401.2155061+12614.6529937i
2001-08-01 13:00:06.260000 PDT,+79412.4127648+12581.8956351i
2001-08-01 13:00:06.270000 PDT,+79423.2972881+12549.755185i
2001-08-01 13:00:06.280000 PDT,+79433.8812559+12518.2135731i
2001-08-01 13:00:06.290000 PDT,+79444.176302+12487.2532963i
2001-08-01 13:00:06.300000 PDT,+79454.1935382+12456.8574068i
