#Columbus,OH weather file for 2009,,,,,
# data obtained from http://www.wunderground.com/history/airport/KCMH,,,,,,
$state_name=Ohio,,,,,,
$city_name=Columbus,,,,,,
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global,
01:01:00:51:00,21.9,0.1,4.6,0,0,0
01:01:01:51:00,21.9,0.1,4.6,0,0,0
01:01:02:51:00,21,0.1,0,0,0,0
01:01:03:51:00,19.9,0.109,0,0,0,0
01:01:04:49:00,19.4,0.104,4.6,0,0,0
01:01:04:51:00,19,0.1,5.8,0,0,0
01:01:05:51:00,18,0.09,5.8,0,0,0
01:01:06:51:00,18,0.09,8.1,0,0,0
01:01:07:51:00,19,0.09,8.1,0,0,0
01:01:08:51:00,19.9,0.1,9.2,9.27,4.63,7.12
01:01:09:51:00,23,0.1,13.8,16.77,8.39,12.89
01:01:10:51:00,25,0.109,10.4,21.96,10.98,16.88
01:01:11:51:00,27,0.109,13.8,24.85,12.43,19.1
01:01:12:51:00,28.9,0.109,10.4,25.43,12.71,19.54
01:01:13:51:00,30.9,0.109,11.5,23.7,11.85,18.21
01:01:14:51:00,32,0.09,11.5,19.66,9.83,15.11
01:01:15:51:00,33.1,0.1,10.4,35.49,11.98,20.46
01:01:16:51:00,30.9,0.09,9.2,4.65,2.32,3.57
01:01:17:51:00,32,0.081,11.5,0,0,0
01:01:18:51:00,30.9,0.09,9.2,0,0,0
01:01:19:51:00,30.9,0.1,11.5,0,0,0
01:01:20:51:00,30.9,0.1,8.1,0,0,0
01:01:21:51:00,30.9,0.1,3.5,0,0,0
01:01:22:51:00,30.9,0.109,4.6,0,0,0
01:01:23:51:00,30.9,0.109,0,0,0,0
01:02:00:51:00,30.9,0.129,6.9,0,0,0
01:02:01:51:00,35.1,0.129,10.4,0,0,0
01:02:02:51:00,35.1,0.151,10.4,0,0,0
01:02:03:51:00,35.1,0.171,8.1,0,0,0
01:02:04:51:00,36,0.21,8.1,0,0,0
01:02:05:51:00,35.1,0.19,6.9,0,0,0
01:02:07:51:00,36,0.199,11.5,0,0,0
01:02:08:51:00,35.1,0.21,9.2,24.71,8.34,14.25
01:02:09:51:00,37,0.21,13.8,44.72,15.09,25.78
01:02:10:51:00,39,0.219,15,21.96,10.98,16.88
01:02:11:51:00,39.9,0.21,15,24.85,12.43,19.1
01:02:12:51:00,42.1,0.199,13.8,25.43,12.71,19.54
01:02:13:51:00,42.1,0.199,13.8,23.7,11.85,18.21
01:02:14:51:00,44.1,0.19,18.4,19.66,9.83,15.11
01:02:15:51:00,43,0.151,19.6,13.31,6.65,10.23
01:02:16:51:00,42.1,0.18,15,4.65,2.32,3.57
01:02:17:51:00,41,0.18,13.8,0,0,0
01:02:18:51:00,39,0.199,11.5,0,0,0
01:02:19:51:00,37,0.219,8.1,0,0,0
