#   Primary   circuit    line   definitions   
Name, Bus1, Phases, Bus2, Phases, Length, Units, LineCode,  Status   
HVMV_Sub_connector, _HVMV_Sub_LSB, ABC,   HVMV_Sub_48332, ABC,  0.01, km, 3PH-Connector  
X8223_48332_sw, D6413567-3_INT, ABC,  E182724, ABC, 0.001,  km, 3PH-Connector 
LN8978753-2, 221-311359, ABC, L3234149, ABC,  0.048180537, km,   3P_1/0_AXNJ_DB 
LN8979251-2, 221-308718, ABC, L2803199, ABC,  0.033677255, km,   3P_1/0_AXNJ_DB 
LN8979251-1, P862322, ABC, 221-308718, ABC,  0.005203588, km,   3P_1/0_AXNJ_DB 
LN8940663-1, 221-242079, ABC, L3011293, ABC,  0.056743508, km,   3P_1/0_AXNJ_DB 
LN8979248-1, M1108398, ABC, P850072, ABC,  0.003076946, km,   3P_1/0_AXNJ_DB 
LN8979255-1, M1108387, ABC, P850080, ABC,  0.003282437, km,   3P_1/0_AXNJ_DB 
LN81098881-1, M1089185, ABC, P850083, ABC,  0.00721822, km,   3P_1/0_AXNJ_DB 
LN8979249-1, P850072, ABC, 221-311609, ABC,  0.00406221, km,   3P_1/0_AXNJ_DB 
LN8979256-1, M1089183, ABC, L2990826, ABC,  0.052078294, km,   3P_1/0_AXNJ_DB 
LN8940662-1, M1209774, ABC, 221-242079, ABC,  0.004334939, km,   3P_1/0_AXNJ_DB 
LN8978753-1, 198-5320, ABC, 221-311359, ABC,  0.003892028, km,   3P_1/0_AXNJ_DB 
LN8989758-1, M1108381, ABC, P862322, ABC,  0.007394722, km,   3P_1/0_AXNJ_DB 
LN8978752-1, M1186052, ABC, 198-5320, ABC,  0.005839099, km,   3P_1/0_AXNJ_DB 
LN8979254-1, P850080, ABC, 221-311905, ABC,  0.005085603, km,   3P_1/0_AXNJ_DB 
LN8979254-2, 221-311905, ABC, L3215203, ABC,  0.01398174, km,   3P_1/0_AXNJ_DB 
LN8979257-2, 221-312488, ABC, M1089183, ABC,  0.013516796, km,   3P_1/0_AXNJ_DB 
LN8979257-1, P850083, ABC, 221-312488, ABC,  0.005898158, km,   3P_1/0_AXNJ_DB 
LN8979249-2, 221-311609, ABC, L2915542, ABC,  0.041628667, km,   3P_1/0_AXNJ_DB 
LN5800693-1, M1009651, ABC, M1009650, ABC,  0.009030219, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2/0_ACSR 
LN5472402-1, L2925506, ABC, M1069438, ABC,  0.03125161, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5926291-1, M1069418, ABC, M1069417, ABC,  0.087770103, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5895793-1, L3104136, ABC, L2822872, ABC,  0.14253728, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6290230-1, M1069504, ABC, M1069500, ABC,  0.10669417, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5623410-1, M1026855, ABC, M1026861, ABC,  0.037023014, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6350556-2, M1069517, ABC, N1136367, ABC,  0.028694559, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6134514-1, M1047497, ABC, L3104136, ABC,  0.023132937, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5833717-1, L2745848, ABC, L2673308, ABC,  0.057554467, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5863704-3, N1136667, ABC, 196-29519, ABC,  0.035165542, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5803273-1, L2876798, ABC, M1069457, ABC,  0.1014281, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6320342-1, L3197646, ABC, M1026851, ABC,  0.098700263, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5742811-1, M1047507, ABC, L2820531, ABC,  0.039868308, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5623416-1, M1069500, ABC, M1047574, ABC,  0.20998779, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5804804-1, M1026858, ABC, M1026854, ABC,  0.048793761, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6375549-6, L3181545, ABC, N1138603, ABC,  0.078544886, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5774495-1, L2991939, ABC, L3216367, ABC,  0.093755509, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6375549-5, N1138603, ABC, L3125349, ABC,  0.022080165, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6422809-2, M1047528, ABC, L2858166, ABC,  0.004833257, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6380817-1, M1047574, ABC, L2841632, ABC,  0.012023726, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5619489-1, M1047577, ABC, M1047592, ABC,  0.10300613, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5532748-5, M1047592, ABC, M3763619, ABC,  0.040091287, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6290205-1, M1047484, ABC, L3010560, ABC,  0.059089526, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6077784-1, L2822871, ABC, M1026872, ABC,  0.060144485, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
