# Center-tapped Distribution transformer definitions
Name, NumPhases, Wdg1Bus, phase, Wdg1kV, Wdg1kVA, Wdg2Bus, phase, Wdg2kV, Wdg2kVA, Wdg3Bus, phase, Wdg3kV, Wdg3kVA, %imag, %R1, %R2, %R3, %NoLoadLoss, %X12, %X13, %X23
T21396254A, 1, L2804253, A, 7.2, 15, X2804253A, a, 0.12, 15, X2804253A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5321859B, 1, L3254213, B, 7.2, 25, X3254213B, a, 0.12, 25, X3254213B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5391741B, 1, L3216339, B, 7.2, 25, X3216339B, a, 0.12, 25, X3216339B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293672A, 1, L2954355, A, 7.2, 15, X2954355A, a, 0.12, 15, X2954355A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21474711C, 1, L2861197, C, 7.2, 15, X2861197C, a, 0.12, 15, X2861197C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260488A, 1, L2842379, A, 7.2, 37.5, X2842379A, a, 0.12, 37.5, X2842379A, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5391758B, 1, L2841636, B, 7.2, 15, X2841636B, a, 0.12, 15, X2841636B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T228091193A, 1, L3047289, A, 7.2, 50, X3047289A, a, 0.12, 50, X3047289A, b, 0.12, 50, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T228091193B, 1, L3047289, B, 7.2, 50, X3047289B, a, 0.12, 50, X3047289B, b, 0.12, 50, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T228091193C, 1, L3047289, C, 7.2, 50, X3047289C, a, 0.12, 50, X3047289C, b, 0.12, 50, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5302862C, 1, L3085399, C, 7.2, 15, X3085399C, a, 0.12, 15, X3085399C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21236413B, 1, L3085391, B, 7.2, 50, X3085391B, a, 0.12, 50, X3085391B, b, 0.12, 50, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5302468A, 1, L2897778, A, 7.2, 10, X2897778A, a, 0.12, 10, X2897778A, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5294787A, 1, L3197647, A, 7.2, 10, X3197647A, a, 0.12, 10, X3197647A, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5157715B, 1, L2936275, B, 7.2, 10, X2936275B, a, 0.12, 10, X2936275B, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355768B, 1, L2729408, B, 7.2, 25, X2729408B, a, 0.12, 25, X2729408B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138562A, 1, L2673310, A, 7.2, 25, X2673310A, a, 0.12, 25, X2673310A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355934A, 1, L3048212, A, 7.2, 10, X3048212A, a, 0.12, 10, X3048212A, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293483A, 1, L3104133, A, 7.2, 25, X3104133A, a, 0.12, 25, X3104133A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21399762A, 1, L2879087, A, 7.2, 15, X2879087A, a, 0.12, 15, X2879087A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138650C, 1, L2710510, C, 7.2, 10, X2710510C, a, 0.12, 10, X2710510C, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5323242B, 1, L3122810, B, 7.2, 25, X3122810B, a, 0.12, 25, X3122810B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T28127090C, 1, L2954352, C, 7.2, 25, X2954352C, a, 0.12, 25, X2954352C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138769A, 1, L2729411, A, 7.2, 10, X2729411A, a, 0.12, 10, X2729411A, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338896A, 1, L3178971, A, 7.2, 15, X3178971A, a, 0.12, 15, X3178971A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355586B, 1, L3254234, B, 7.2, 25, X3254234B, a, 0.12, 25, X3254234B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293471A, 1, 293471, A, 7.2, 25, X_293471A, a, 0.12, 25, X_293471A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293471B, 1, 293471, B, 7.2, 25, X_293471B, a, 0.12, 25, X_293471B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293471C, 1, 293471, C, 7.2, 25, X_293471C, a, 0.12, 25, X_293471C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338954A, 1, L2860482, A, 7.2, 25, X2860482A, a, 0.12, 25, X2860482A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21459629C, 1, L2763811, C, 7.2, 75, X2763811C, a, 0.12, 75, X2763811C, b, 0.12, 75, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260562A, 1, L3251799, A, 7.2, 37.5, X3251799A, a, 0.12, 37.5, X3251799A, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21393486C, 1, L2898526, C, 7.2, 15, X2898526C, a, 0.12, 15, X2898526C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293518B, 1, L2897780, B, 7.2, 25, X2897780B, a, 0.12, 25, X2897780B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T226195194C, 1, L3027124, C, 7.2, 25, X3027124C, a, 0.12, 25, X3027124C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21383494B, 1, L2954361, B, 7.2, 25, X2954361B, a, 0.12, 25, X2954361B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5251863C, 1, L2745811, C, 7.2, 25, X2745811C, a, 0.12, 25, X2745811C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293645A, 1, L2841633, A, 7.2, 25, X2841633A, a, 0.12, 25, X2841633A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21482431A, 1, L2917359, A, 7.2, 15, X2917359A, a, 0.12, 15, X2917359A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293480A, 1, L2748158, A, 7.2, 15, X2748158A, a, 0.12, 15, X2748158A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21469911A, 1, L2955047, A, 7.2, 25, X2955047A, a, 0.12, 25, X2955047A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355432C, 1, L3122837, C, 7.2, 37.5, X3122837C, a, 0.12, 37.5, X3122837C, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5323285B, 1, L2804269, B, 7.2, 25, X2804269B, a, 0.12, 25, X2804269B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T226192954C, 1, L3157708, C, 7.2, 15, X3157708C, a, 0.12, 15, X3157708C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5207292C, 1, L3179682, C, 7.2, 15, X3179682C, a, 0.12, 15, X3179682C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337672B, 1, L2822877, B, 7.2, 15, X2822877B, a, 0.12, 15, X2822877B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5442373C, 1, L3141393, C, 7.2, 25, X3141393C, a, 0.12, 25, X3141393C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21470405A, 1, L2897801, A, 7.2, 37.5, X2897801A, a, 0.12, 37.5, X2897801A, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5218474A, 1, L3217056, A, 7.2, 50, X3217056A, a, 0.12, 50, X3217056A, b, 0.12, 50, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5218472A, 1, L2936270, A, 7.2, 25, X2936270A, a, 0.12, 25, X2936270A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5356014A, 1, L3235249, A, 7.2, 10, X3235249A, a, 0.12, 10, X3235249A, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260528C, 1, L3217052, C, 7.2, 25, X3217052C, a, 0.12, 25, X3217052C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355933A, 1, L2916598, A, 7.2, 10, X2916598A, a, 0.12, 10, X2916598A, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138649A, 1, L3048206, A, 7.2, 25, X3048206A, a, 0.12, 25, X3048206A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5391978C, 1, L3141402, C, 7.2, 25, X3141402C, a, 0.12, 25, X3141402C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138642A, 1, L3235256, A, 7.2, 15, X3235256A, a, 0.12, 15, X3235256A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21149420A, 1, L3178973, A, 7.2, 25, X3178973A, a, 0.12, 25, X3178973A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21382992A, 1, L3197654, A, 7.2, 25, X3197654A, a, 0.12, 25, X3197654A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338958C, 1, L3066809, C, 7.2, 25, X3066809C, a, 0.12, 25, X3066809C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355585B, 1, L2766742, B, 7.2, 15, X2766742B, a, 0.12, 15, X2766742B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338900A, 1, L2991908, A, 7.2, 15, X2991908A, a, 0.12, 15, X2991908A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5323389B, 1, L3065750, B, 7.2, 25, X3065750B, a, 0.12, 25, X3065750B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T28127253A, 1, L3085401, A, 7.2, 37.5, X3085401A, a, 0.12, 37.5, X3085401A, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21397067A, 1, L2729413, A, 7.2, 15, X2729413A, a, 0.12, 15, X2729413A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260520B, 1, L3254915, B, 7.2, 5, X3254915B, a, 0.12, 5, X3254915B, b, 0.12, 5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
