# Triplex lines connecting the secondary of the service transformers (MV/LV) to 120/240V loada
# These lines are defined (see Triplex_linecodes.dss) as 2-phase lines
# See transformer connection for the meaning of nodes 1 and 2 at the secondary buses.

name, Bus1, phases, Bus2, phases, Linecode, Length, Units
Tpx138236B0, X2673305B, ab,  SX2673305B, ab,   4/0Triplex, 50, ft 
Tpx138237B0, X3048196B, ab,  SX3048196B, ab,   4/0Triplex, 50, ft 
Tpx138258C0, X2991911C, ab,  SX2991911C, ab,   4/0Triplex, 50, ft 
Tpx138259C0, X2973158C, ab,  SX2973158C, ab,   4/0Triplex, 50, ft 
Tpx138260A0, X3048208A, ab,  SX3048208A, ab,   4/0Triplex, 50, ft 
Tpx138262A0, X3029502A, ab,  SX3029502A, ab,   4/0Triplex, 50, ft 
Tpx138264B0, X3104125B, ab,  SX3104125B, ab,   4/0Triplex, 50, ft 
Tpx138265A0, X3160107A, ab,  SX3160107A, ab,   4/0Triplex, 50, ft 
Tpx138294B0, X2785516B, ab,  SX2785516B, ab,   4/0Triplex, 50, ft 
Tpx138313A0, X3141400A, ab,  SX3141400A, ab,   4/0Triplex, 50, ft 
Tpx138342C0, X2897775C, ab,  SX2897775C, ab,   4/0Triplex, 50, ft 
Tpx138343C0, X3010565C, ab,  SX3010565C, ab,   4/0Triplex, 50, ft 
Tpx138346C0, X2916609C, ab,  SX2916609C, ab,   4/0Triplex, 50, ft 
Tpx138371C0, X2879073C, ab,  SX2879073C, ab,   4/0Triplex, 50, ft 
Tpx138372C0, X3104126C, ab,  SX3104126C, ab,   4/0Triplex, 50, ft 
Tpx138373C0, X3029503C, ab,  SX3029503C, ab,   4/0Triplex, 50, ft 
Tpx138374C0, X2691950C, ab,  SX2691950C, ab,   4/0Triplex, 50, ft 
Tpx138379C0, X2691951C, ab,  SX2691951C, ab,   4/0Triplex, 50, ft 
Tpx138380C0, X2879076C, ab,  SX2879076C, ab,   4/0Triplex, 50, ft 
Tpx138404C0, X2841630C, ab,  SX2841630C, ab,   4/0Triplex, 50, ft 
Tpx138405C0, X2841629C, ab,  SX2841629C, ab,   4/0Triplex, 50, ft 
Tpx138412C0, X2785523C, ab,  SX2785523C, ab,   4/0Triplex, 50, ft 
Tpx138413C0, X3216347C, ab,  SX3216347C, ab,   4/0Triplex, 50, ft 
Tpx138416C0, X3141388C, ab,  SX3141388C, ab,   4/0Triplex, 50, ft 
Tpx138464C0, X3066801C, ab,  SX3066801C, ab,   4/0Triplex, 50, ft 
Tpx138465C0, X2879055C, ab,  SX2879055C, ab,   4/0Triplex, 50, ft 
Tpx138466C0, X2973144C, ab,  SX2973144C, ab,   4/0Triplex, 50, ft 
Tpx138469C0, X2785518C, ab,  SX2785518C, ab,   4/0Triplex, 50, ft 
Tpx138470C0, X2766717C, ab,  SX2766717C, ab,   4/0Triplex, 50, ft 
Tpx138472C0, X2673309C, ab,  SX2673309C, ab,   4/0Triplex, 50, ft 
