Name, NumPhases, Bus, phases, Voltage, status, model, connection, kW, PF
138236B0a, 1, SX2673305B, a, 120,  variable, 1, wye,  0.696180467009544, 0.97 
138236B0b, 1, SX2673305B, b, 120,  variable, 1, wye,  3.19381953299046, 0.97 
138237B0a, 1, SX3048196B, a, 120,  variable, 1, wye,  2.30339207649231, 0.97 
138237B0b, 1, SX3048196B, b, 120,  variable, 1, wye,  3.53660792350769, 0.97 
138258C0a, 1, SX2991911C, a, 120,  variable, 1, wye,  0.932027059793472, 0.97 
138258C0b, 1, SX2991911C, b, 120,  variable, 1, wye,  5.16797294020653, 0.97 
138259C0a, 1, SX2973158C, a, 120,  variable, 1, wye,  0.616065526008606, 0.97 
138259C0b, 1, SX2973158C, b, 120,  variable, 1, wye,  5.48393447399139, 0.97 
138260A0a, 1, SX3048208A, a, 120,  variable, 1, wye,  1.45716053724289, 0.97 
138260A0b, 1, SX3048208A, b, 120,  variable, 1, wye,  3.86283946275711, 0.97 
138262A0a, 1, SX3029502A, a, 120,  variable, 1, wye,  11.3558540940285, 0.97 
138262A0b, 1, SX3029502A, b, 120,  variable, 1, wye,  6.38414590597153, 0.97 
138264B0a, 1, SX3104125B, a, 120,  variable, 1, wye,  0.721058705449104, 0.97 
138264B0b, 1, SX3104125B, b, 120,  variable, 1, wye,  9.0089412945509, 0.97 
138265A0a, 1, SX3160107A, a, 120,  variable, 1, wye,  5.42583449840546, 0.97 
138265A0b, 1, SX3160107A, b, 120,  variable, 1, wye,  3.44416550159454, 0.97 
138294B0a, 1, SX2785516B, a, 120,  variable, 1, wye,  0.979905409812927, 0.97 
138294B0b, 1, SX2785516B, b, 120,  variable, 1, wye,  4.86009459018707, 0.97 
138313A0a, 1, SX3141400A, a, 120,  variable, 1, wye,  3.3028557240963, 0.97 
138313A0b, 1, SX3141400A, b, 120,  variable, 1, wye,  0.247144275903702, 0.97 
138342C0a, 1, SX2897775C, a, 120,  variable, 1, wye,  5.46709477722645, 0.97 
138342C0b, 1, SX2897775C, b, 120,  variable, 1, wye,  4.70290522277355, 0.97 
138343C0a, 1, SX3010565C, a, 120,  variable, 1, wye,  1.90731858491898, 0.97 
138343C0b, 1, SX3010565C, b, 120,  variable, 1, wye,  2.16268141508102, 0.97 
138346C0a, 1, SX2916609C, a, 120,  variable, 1, wye,  0.640997141599655, 0.97 
138346C0b, 1, SX2916609C, b, 120,  variable, 1, wye,  5.45900285840034, 0.97 
138371C0a, 1, SX2879073C, a, 120,  variable, 1, wye,  5.15049561262131, 0.97 
138371C0b, 1, SX2879073C, b, 120,  variable, 1, wye,  0.949504387378693, 0.97 
138372C0a, 1, SX3104126C, a, 120,  variable, 1, wye,  3.53355606496334, 0.97 
138372C0b, 1, SX3104126C, b, 120,  variable, 1, wye,  0.536443935036659, 0.97 
138373C0a, 1, SX3029503C, a, 120,  variable, 1, wye,  3.10627183914185, 0.97 
138373C0b, 1, SX3029503C, b, 120,  variable, 1, wye,  2.99372816085815, 0.97 
138374C0a, 1, SX2691950C, a, 120,  variable, 1, wye,  1.3819062012434, 0.97 
138374C0b, 1, SX2691950C, b, 120,  variable, 1, wye,  8.7880937987566, 0.97 
138379C0a, 1, SX2691951C, a, 120,  variable, 1, wye,  5.53433520913124, 0.97 
138379C0b, 1, SX2691951C, b, 120,  variable, 1, wye,  4.63566479086876, 0.97 
138380C0a, 1, SX2879076C, a, 120,  variable, 1, wye,  2.61281781375408, 0.97 
138380C0b, 1, SX2879076C, b, 120,  variable, 1, wye,  1.45718218624592, 0.97 
138404C0a, 1, SX2841630C, a, 120,  variable, 1, wye,  8.31935176134109, 0.97 
138404C0b, 1, SX2841630C, b, 120,  variable, 1, wye,  1.85064823865891, 0.97 
138405C0a, 1, SX2841629C, a, 120,  variable, 1, wye,  8.68428897500038, 0.97 
138405C0b, 1, SX2841629C, b, 120,  variable, 1, wye,  6.57571102499962, 0.97 
