ID #	Refrigerator	Freezer	Clothes washer	Clothes dryer	Dishwasher	Stove/range	Microwave	PC	Large screen TV	Reg TV	Hot tub/spa
233	x	-	x	x	x	x	x	x	x	-	-
235	x	-	x	x	x	x	x	x	-	-	-
239	2	1	1	1	1	2	2	2	-	1	-
251	x	x	x	x	x	x	x	x	-	x	-
270	1	1	1	1	1	1	1	2	0	2	1
278	2	0	1	1	1	1	1	2	0	1	0
282	1	1	1	1	1	1	1	1	-	2	-
292	2	1	1	1	1	1	1	2	0	3	0
293	x	x	x	x	x	x	x	x	-	x	-
294	2	-	1	1	2	1	1	2	1	2	0
316	1	1	1	1	1	1	1	2	1	1	-
325	x	-	x	x	x	x	x	x	-	x	-
343	1	-	1	1	1	1	1	2	-	1	-
347	x	x	x	x	x	x	x	x	-	x	-
352	2	1	1	1	1	1	1	3	1	4	-
358	x	x	x	x	x	x	x	x	-	x	x
360	1	1	1	1	1	1	1	3	0	3	0
361	2	1	1	1	1	1	1	2	1	1	1
362	1	-	1	1	1	1	1	1	-	1	-
366	x	-	x	x	x	x	x	x	-	x	-
368	1	1	1	1	1	1	1	1	0	2	0
401	-	-	-	-	-	-	-	-	-	-	-
419	1	1	1	1	1	1	1	1	0	1	0
429	2	1	1	1	1	2	2	5	1	3	-
434	2	1	1	1	1	1	1	1	1	2	0
440	x	x	x	x	x	x	x	x	-	x	-
442	x	-	x	x	-	x	x	x	-	x	-
443	x	x	x	x	x	x	x	x	-	x	-
449	1	1	1	1	1	1	1	2	0	1	1
452	x	x	x	x	x	x	x	x	-	x	x
455	2	1	1	1	1	1	1	2	1	2	1
460	2	1	1	1	1	1	1	2	1	3	1
462	x	x	x	x	x	x	x	x	-	x	-
469	1	2	1	1	1	1	1	1	0	1	0
471	2	1	1	1	1	1	1	1	-	3	-
526	1	1	1	1	1	1	1	1	-	2	1
531	1	1	1	1	1	1	1	2	0	4	0
532	x	x	x	x	x	x	x	x	-	x	-
546	x	x	x	x	x	x	x	x	-	x	-
547	x	x	x	x	x	x	x	x	x	-	-
551	1	0	1	1	1	1	1	1	1	1	1
554	1	2	1	1	1	1	1	4	1	2	1
556	x	-	x	x	x	x	x	x	-	x	-
559	1	1	1	1	1	1	1	1	-	2	-
562	1	-	1	1	1	1	1	1	1	-	-
566	1	-	1	1	1	1	1	1	-	1	-
575	-	-	-	-	-	-	-	-	-	-	-
576	x	x	x	x	x	x	x	x	-	x	-
577	1	1	1	1	0	1	1	1	0	3	0
578	2	0	1	1	0	1	1	2	0	2	0
580	1	0	1	1	1	1	1	2	0	1	0
584	2	0	1	1	1	1	1	2	0	1	0
587	2	-	1	1	1	1	1	2	0	1	1
588	1	1	1	1	1	3	1	2	0	1	0
592	2	0	1	1	1	1	1	2	0	2	0
594	1	1	1	1	1	1	1	2	1	3	0
596	1	1	1	1	1	1	1	1	1	4	0
599	x	x	x	x	x	x	x	x	-	x	-
600	2	1	1	1	1	1	1	1	-	1	-
602	1	1	1	1	1	1	1	1	-	1	-
610	1	1	1	1	1	1	1	1	-	2	1
611	x	x	x	x	-	x	x	x	-	x	-
613	1	-	1	1	1	1	1	1	-	2	1
617	1	1	1	1	1	1	1	1	0	1	0
622	1	0	1	1	1	1	1	1	0	2	0
629	1	1	x	x	x	x	x	x	-	x	-
632	1	0	1	1	1	1	1	1	1	1	1
635	1	-	1	1	1	1	1	1	-	2	-
636	x	-	x	x	x	x	x	x	-	x	-
638	1	-	1	1	1	1	1	3	-	2	-
642	x	x	x	x	x	x	x	x	-	x	-
643	1	1	1	1	0	1	1	3	0	5	0
644	1	1	1	1	1	1	1	2	0	1	0
652	1	1	1	1	1	1	1	1	0	1	0
653	1	1	1	1	1	1	1	1	0	2	0
661	1	1	1	1	1	1	1	4	0	2	1
666	2	0	1	1	1	2	2	2	0	2	0
669	x	-	x	x	x	x	x	x	-	x	-
671	1	1	1	1	1	1	1	1	1	1	-
685	2	0	1	1	1	1	3	3	2	3	1
687	2	1	1	1	1	1	1	2	1	4	0
688	1	-	1	1	1	1	1	1	-	1	1
690	1	1	1	1	1	1	2	1	0	3	0
697	x	x	x	x	x	x	x	x	x	x	-
699	x	-	x	x	x	x	x	x	x	x	x
705	x	-	x	x	-	x	x	x	-	x	-
713	1	1	1	1	1	1	1	2	-	3	1
715	1	1	1	1	1	1	1	1	0	1	1
727	x	x	x	x	x	x	x	x	-	x	x
730	1	1	1	1	1	1	1	1	-	2	-
731	2	1	1	1	1	1	1	1	0	1	1
734	x	-	x	x	x	x	x	x	-	x	-
735	x	-	x	x	x	x	x	x	-	x	-
737	1	1	1	1	1	1	1	1	-	1	1
739	1	1	1	1	1	1	1	2	-	1	1
742	2	0	1	1	1	1	1	1	1	1	1
744	1	1	1	1	1	1	1	2	1	1	-
746	1	1	1	1	1	1	1	2	0	2	0
747	2	1	1	1	1	1	1	1	1	2	-
752	x	-	x	x	x	x	x	x	x	x	-
753	1	1	1	1	1	1	2	2	-	2	-
754	x	x	x	x	x	x	x	x	-	x	x
755	1	1	1	1	1	1	1	1	1	1	-
756	x	x	x	x	x	x	x	-	x	-	-
760	x	x	x	x	x	x	x	x	-	x	-
761	2	0	1	1	1	1	1	2	0	1	0
763	x	x	x	x	x	x	x	x	-	x	-
764	2	1	1	1	1	1	1	3	1	4	0
766	x	-	x	x	x	x	x	x	x	x	-
767	1	0	1	1	1	1	1	1	0	2	0
776	2	1	1	1	1	-	1	2	0	2	0
