Refrigerator
x,35.0
2,25.0
1,49.0
-,2.0
Freezer
-,26.0
1,49.0
x,21.0
0,13.0
2,2.0
Clothes washer
x,36.0
1,73.0
-,2.0
Clothes dryer
x,36.0
1,73.0
-,2.0
Dishwasher
x,33.0
1,69.0
2,1.0
-,5.0
0,3.0
Stove/range
x,36.0
2,3.0
1,68.0
-,3.0
3,1.0
Microwave
x,36.0
2,5.0
1,67.0
-,2.0
3,1.0
PC
x,35.0
2,29.0
1,35.0
3,6.0
-,3.0
5,1.0
4,2.0
Large screen TV
x,7.0
-,51.0
0,31.0
1,21.0
2,1.0
Reg TV
-,7.0
1,31.0
x,32.0
2,25.0
3,10.0
4,5.0
5,1.0
Hot tub/spa
-,54.0
1,21.0
0,31.0
x,5.0
