ID #	Sq footage
233	2,000 – 2,499 sq. ft.
235	1,500 – 1,999 sq. ft.
239	2,500 – 2,999 sq. ft.
251	1,000 – 1,499 sq. ft.
278	1,500 – 1,999 sq. ft.
282	1,000 – 1,499 sq. ft.
292	1,500 – 1,999 sq. ft.
293	2,000 – 2,499 sq. ft.
294	1,500 – 1,999 sq. ft.
316	2,000 – 2,499 sq. ft.
325	1,500 – 1,999 sq. ft.
343	1,500 – 1,999 sq. ft.
347	1,500 – 1,999 sq. ft.
358	1,500 – 1,999 sq. ft.
360	2,500 – 2,999 sq. ft.
361	1,500 – 1,999 sq. ft.
362	1,000 – 1,499 sq. ft.
366	2,000 – 2,499 sq. ft.
368	1,000 – 1,499 sq. ft.
401	Blank
419	2,500 – 2,999 sq. ft.
429	More than 3,500 sq. ft.
432	2,000 – 2,499 sq. ft.
434	2,000 – 2,499 sq. ft.
440	1,500 – 1,999 sq. ft.
442	2,000 – 2,499 sq. ft.
443	1,500 – 1,999 sq. ft.
449	1,500 – 1,999 sq. ft.
452	3,000 – 3,499 sq. ft.
455	3,000 – 3,499 sq. ft.
459	2,000 – 2,499 sq. ft.
460	2,000 – 2,499 sq. ft.
462	2,000 – 2,499 sq. ft.
469	1,000 – 1,499 sq. ft.
471	1,500 – 1,999 sq. ft.
499	1,500 – 1,999 sq. ft.
526	2,000 – 2,499 sq. ft.
531	2,500 – 2,999 sq. ft.
532	1,500 – 1,999 sq. ft.
533	1,500 – 1,999 sq. ft.
546	1,000 – 1,499 sq. ft.
547	1,000 – 1,499 sq. ft.
551	2,000 – 2,499 sq. ft.
554	2,000 – 2,499 sq. ft.
556	2,500 – 2,999 sq. ft.
559	1,500 – 1,999 sq. ft.
562	2,000 – 2,499 sq. ft.
566	Less than 1000 sq. ft.
575	blank
576	1,500 – 1,999 sq. ft.
577	1,000 – 1,499 sq. ft.
578	2,000 – 2,499 sq. ft.
580	2,000 – 2,499 sq. ft.
584	1,500 – 1,999 sq. ft.
587	1,000 – 1,499 sq. ft.
588	1,500 – 1,999 sq. ft.
592	1,500 – 1,999 sq. ft.
594	2,000 – 2,499 sq. ft.
596	2,500 – 2,999 sq. ft.
599	2,000 – 2,499 sq. ft.
600	Less than 1000 sq. ft.
602	2,500 – 2,999 sq. ft.
610	2,000 – 2,499 sq. ft.
611	1,500 – 1,999 sq. ft.
613	1,500 – 1,999 sq. ft.
617	1,000 – 1,499 sq. ft.
622	1,000 – 1,499 sq. ft.
629	2,000 – 2,499 sq. ft.
632	2,000 – 2,499 sq. ft.
635	2,000 – 2,499 sq. ft.
636	1,500 – 1,999 sq. ft.
638	2,000 – 2,499 sq. ft.
642	1,500 – 1,999 sq. ft.
643	2,500 – 2,999 sq. ft.
644	1,500 – 1,999 sq. ft.
652	1,500 – 1,999 sq. ft.
653	1,000 – 1,499 sq. ft.
661	3,000 – 3,499 sq. ft.
666	2,500 – 2,999 sq. ft.
669	1,000 – 1,499 sq. ft.
671	1,000 – 1,499 sq. ft.
685	1,500 – 1,999 sq. ft.
688	More than 3,500 sq. ft.
690	2,000 – 2,499 sq. ft.
697	1,000 – 1,499 sq. ft.
699	1,000 – 1,499 sq. ft.
713	More than 3,500 sq. ft.
715	2,500 – 2,999 sq. ft.
727	3,000 – 3,499 sq. ft.
730	1,500 – 1,999 sq. ft.
731	2,000 – 2,499 sq. ft.
734	2,500 – 2,999 sq. ft.
735	1,000 – 1,499 sq. ft.
737	2,000 – 2,499 sq. ft.
738	1,500 – 1,999 sq. ft.
739	2,000 – 2,499 sq. ft.
742	1,500 – 1,999 sq. ft.
744	2,000 – 2,499 sq. ft.
746	2,500 – 2,999 sq. ft.
747	1,500 – 1,999 sq. ft.
753	1,500 – 1,999 sq. ft.
754	2,500 – 2,999 sq. ft.
755	1,000 – 1,499 sq. ft.
756	1,500 – 1,999 sq. ft.
758	1,000 – 1,499 sq. ft.
760	1,500 – 1,999 sq. ft.
761	1,000 – 1,499 sq. ft.
764	1,500 – 1,999 sq. ft.
766	2,500 – 2,999 sq. ft.
767	2,500 – 2,999 sq. ft.
776	Less than 1000 sq. ft.
