Daytime
Temperature,Frequency
40,1.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,4.0
51,0.0
52,0.0
53,0.0
54,0.0
55,2.0
56,0.0
57,0.0
58,1.0
59,0.0
60,7.0
61,0.0
62,1.0
63,2.0
64,2.0
65,5.0
66,1.0
67,0.0
68,8.0
69,1.0
70,8.0
71,2.0
72,6.0
73,1.0
74,2.0
75,5.0
76,3.0
77,0.0
78,11.0
79,0.0
80,4.0
81,0.0
82,0.0
83,0.0
84,0.0
85,2.0
86,0.0
87,0.0
88,1.0
89,0.0


Nighttime
Temperature,Frequency
40,1.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,3.0
51,0.0
52,0.0
53,0.0
54,0.0
55,4.0
56,0.0
57,0.0
58,1.0
59,0.0
60,12.0
61,1.0
62,3.0
63,2.0
64,3.0
65,7.0
66,1.0
67,0.0
68,4.0
69,1.0
70,8.0
71,0.0
72,2.0
73,1.0
74,4.0
75,4.0
76,2.0
77,0.0
78,4.0
79,0.0
80,5.0
81,0.0
82,0.0
83,0.0
84,0.0
85,1.0
86,0.0
87,0.0
88,1.0
89,0.0
