ID #	Area	Main Heating System	Second Heating System - 1	Second Heating System - 2	Winter Tstat Setting - Daytime	Winter Tstat Setting - Nighttime	Home's Winter Temp	Programmable Tstat	Month Start Heating	Month Stop Heating	# of Tstats	Tstat Location	AC System	Summer AC Use	Summer Tstat Setting - Daytime	Summer Tstat Setting - Nighttime	Home's summer temp	Sq footage	Yr built	Refrigerator	Freezer	Clothes washer	Clothes dryer	Dishwasher	Stove/range	Microwave	PC	Large screen TV	Reg TV	Hot tub/spa	Swimming pool	Change Time Use of Diswasher	Change Time Use of Stove/range	Change Time Use of Microwave	Change Time Use of PC	Change Time Use of Lg screen TV	Change Time Use of Reg TV	Change Time Use of Hot tub/spa	Loads laundry per week	Temp setting for closther washer	Time laundry is done	Change laundry schedule	Showers/baths per week	Low-flow shower head	Change shower time	Water heater	Water heater timer	Amt of hot water	Water heater set	# of water heaters	Location of water heater	# of People Age 0 - 11	# of People Age 12 - 18	# of People Age 18 - 25	# of People Age 26 - 35	# of People Age 36 - 45	# of People Age 46 - 55	# of People Age 55 - 65	# of People Age 66 or Older	Income	Responsible Occupant - Gender	Responsible Occupant - Age	Responsible Occupant - Education	Responsible Occupant - Internet comfort level
213	G	Gas, oil, or propane central forced air	Woodstove or fireplace		70	68	just right	Yes	May		1	Main floor hallway	Central forced air	Occasionally	65	65	Too warm	2,500 – 2,999 sq. ft.	1960s	2	1	1	1	1	1	1	2	1	5	0	0	Yes	Not sure	Not sure	Yes	Yes	Yes	Not applicable	10 or more	Warm / Cold	At various times	Yes	20 or more	Yes	No	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement	4								$100,000 or more	Female	36 to 45	High school	Very comfortable
215	G	Gas, oil, or propane central forced air	None		68-70	60	just right	No	October	April	1	Main floor	None	Don't have one	Don't use	Don't use	Just right	3,000 – 3,499 sq. ft.	1990s	2	1	1	1	1	1	1	2	1	2	0	1	Yes	Yes	Not sure	No	Yes	Yes	Blank	4 to 6 	Warm / Cold	At various times	Yes	20 or more	Yes	Not sure	Gas	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage	5								$100,000 or more	Male	55 to 65	Graduate college/professional school	Very comfortable
222	G	Gas, oil, or propane central forced air	Electric heat pump, forced air		68	61	just right	Yes	October	May	1	Main floor living room	Heat pump	Occasionally	76	76	Just right	1,500 – 1,999 sq. ft.	Before 1950	2	0	1	1	1	1	1	2	1	2	0	0	Yes	Yes	Yes	Yes	Yes	Yes	Blank	7 to 9	Cold / Cold	At various times	Yes	20 or more	Not sure	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement	2	1			2				$60,000 to $79,999	Female	36 to 45	Graduate college/professional school	Very comfortable
224	Y	Portable electric heater(s)	Other		72	69	just right	Yes	October	May	1	Main floor hallway	wall or window unit(s)	Occasionally	0	0	Just right	Less than 1000 sq. ft.	1970-1978	1	1	1	1	1	1	1	2		1		1	Yes	No	No	No	Blank	Yes	Blank	4 to 6 	Warm / Cold	At various times	Yes	20 or more	Yes	Yes	Electric	No	Usually sufficient	As hot as possible (160 F or more)	1	Utility room				1		2			$40,000 to $59,999	Male	46 to 55	Trade or technical school	Very comfortable
227	G	Gas, oil, or propane central forced air	Woodstove or fireplace		70	68	just right	Yes	November	April	1	Main floor hallway	Central forced air	Never	off	off	Just right	More than 3,500 sq. ft.	1990s	x		x	x	x	x	x	x		x			Yes	No	No	Not sure	Blank	No	Blank	7 to 9	Warm / Cold	At various times	Yes	16 to 20	Not sure	Not sure	Gas	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	Garage	2				2				Refused	Male	36 to 45	Graduate college/professional school	Very comfortable
228	Y	Electric baseboard	Woodstove or fireplace		72	68	just right	No	October	April	More than 2	All rooms except bathrooms	wall or window unit(s)	Routinely	n/a	n/a	Just right	1,500 – 1,999 sq. ft.	Before 1950	1		1	1	1	1	1	3	0	2	0	0	Yes	No	No	No	Not sure	No	Not sure	4 to 6 	Warm / Cold	At various times	Yes	16 to 20	No	Not sure	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	2	Kitchen/Bathroom		1	1			2			$40,000 to $59,999	Male	46 to 55	Graduated college	Very comfortable
233	C	Electric heat pump, central forced air	Other		69	62	just right	Yes	October	May	1	Living room	Heat pump	Occasionally	76	65	Just right	2,000 – 2,499 sq. ft.	2000s	x		x	x	x	x	x	x	x				Yes	Not sure	Not sure	Yes	Yes	Blank	Blank	1 to 3	Warm / Cold	At the same time of day	Yes	11 to 15	Yes	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage							1	1	$100,000 or more	Male	66 or older	Graduated college	Very comfortable
235	C	Electric heat pump, central forced air	Woodstove or fireplace		70	68	just right	Yes	November	May	Blank	Living room main floor	Heat pump	Never	78	75	Just right	1,500 – 1,999 sq. ft.	1978-1989	x		x	x	x	x	x	x					Yes	Yes	Yes	No	Blank	No	Blank	4 to 6 	Warm / Cold	At various times	Yes	0 to 5	Not sure	Yes	Electric	Yes	Usually sufficient	To prevent scalding (about 120 F)	1	Utility room								1	$60,000 to $79,999	Male	66 or older	Graduated college	Very comfortable
237	G	Gas, oil, or propane central forced air	Electric radiant heating	Woodstove or fireplace	68	70	too cool	Yes	October	June	1	Main floor hallway	None	Never	65	65	Just right	2,000 – 2,499 sq. ft.	1950s	1	0	1	1	1	1	1	1	0	1	0	0	Yes	No	No	No	Blank	Yes	Yes	4 to 6 	Warm / Hot	At the same time of day	Yes	11 to 15	No	Not sure	Electric	No	Not usually sufficient	As hot as possible (160 F or more)	1	Basement		1	1		1				$20,000 to $39,999	Female	36 to 45	High school	Very comfortable
239	C	Electric heat pump, central forced air	Woodstove or fireplace		68	62	just right	Yes	October	May	2	Main floor hallway	Heat pump	Occasionally	78	78	Just right	2,500 – 2,999 sq. ft.	1990s	2	1	1	1	1	2	2	2		1			Yes	Yes	Yes	Not sure	Blank	Yes	Blank	7 to 9	Warm / Cold	At various times	Yes	11 to 15	Yes	Not sure	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Pantry							1	1	$80,000 to $99,999	Male	66 or older	Graduate college/professional school	Very comfortable
