Daytime	Nighttime
69	62
70	68
68	62
72	65
68	72
64	50
66	60
68	58
64	60
68	67
70	68
62	65
64	66
67	64
65	69
68	65
68	58
72	72
68	62
72	67
70	62
65	68
68	58
70	64
68	63
65	68
64	60
72	65
72	66
65	60
69	60
70	68
68	64
63	63
63	63
71	68
67	60
70	60
72	60
65	56
66	58
73	62
67	62
61	61
62	67
70	67
68	65
65	68
64	63
69	69
70	66
65	60
67	66
68	55
68	65
70	65
69	60
64	64
68	58
68	60
70	75
64	60
66	56
62	68
65	60
67	67
70	70
69	65
70	60
68	62
68	60
68	60
67	64
72	65
69	60
69	64
68	68
65	55
65	72
70	65
68	60
68	68
68	62
70	68
64	60
68	62
50	50
67	62
68	55
72	68
70	65
70	67
68	62
65	68
70	65
72	65
70	68
72	70
64	66
71	55
70	68
73	70
70	60
