rec_id,invensys_acct_id,invensys_device_type_id,instance_id,occ_mode_id,cooling_temp_set,cooling_temp_max,cooling_temp_min,heating_temp_set,heating_temp_max,heating_temp_min,rec_create_date,rec_last_update_date,
217,1323,1,0,0,80,80,80,69,69,69,2/28/2006 15:13,1/10/2007 8:24,
218,1323,1,0,1,78,78,78,65,65,65,2/28/2006 15:13,2/28/2006 15:13,
219,1323,1,0,2,75,75,75,67,67,67,2/28/2006 15:13,1/10/2007 8:24,
220,1323,1,0,3,80,80,80,65,65,65,2/28/2006 15:13,1/10/2007 8:24,
221,1323,1,0,4,78,78,78,68,68,68,2/28/2006 15:13,4/19/2006 10:29,
222,1323,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,4/19/2006 10:29,
223,1323,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,4/19/2006 10:29,
224,1323,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,4/19/2006 10:29,
225,1323,1,1,0,72,72,72,68,68,68,2/28/2006 15:13,2/28/2006 15:13,
226,1323,1,1,1,78,78,78,62,62,62,2/28/2006 15:13,2/28/2006 15:13,
227,1323,1,1,2,75,75,75,65,65,65,2/28/2006 15:13,2/28/2006 15:13,
228,1323,1,1,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13,
229,1323,1,1,4,78,78,78,68,68,68,2/28/2006 15:13,4/19/2006 10:29,
230,1323,1,1,5,78,78,78,68,68,68,2/28/2006 15:13,4/19/2006 10:29,
231,1323,1,1,6,78,78,78,68,68,68,2/28/2006 15:13,4/19/2006 10:29,
232,1323,1,1,7,78,78,78,68,68,68,2/28/2006 15:13,4/19/2006 10:29,
233,1325,1,0,0,77,77,77,68,68,68,2/28/2006 15:13,3/22/2006 5:29,
234,1325,1,0,1,78,78,78,62,62,62,2/28/2006 15:13,2/28/2006 15:13,
235,1325,1,0,2,78,78,78,60,60,60,2/28/2006 15:13,3/22/2006 5:29,
236,1325,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13,
237,1325,1,0,4,78,78,78,68,68,68,2/28/2006 15:13,3/22/2006 5:29,
238,1325,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,3/22/2006 5:29,
239,1325,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,3/22/2006 5:29,
240,1325,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,3/22/2006 5:29,
385,1342,1,0,0,72,72,72,68,68,68,2/28/2006 15:13,2/28/2006 15:13,
386,1342,1,0,1,78,78,78,62,62,62,2/28/2006 15:13,2/28/2006 15:13,
387,1342,1,0,2,75,75,75,63,63,63,2/28/2006 15:13,2/28/2006 15:13,
388,1342,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13,
389,1342,1,0,4,89,89,89,65,65,65,2/28/2006 15:13,2/28/2006 15:13,
390,1342,1,0,5,89,89,89,67,67,67,2/28/2006 15:13,2/28/2006 15:13,
391,1342,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,4/19/2006 10:29,
392,1342,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,4/19/2006 10:29,
393,1342,1,1,0,72,72,72,68,68,68,2/28/2006 15:13,2/28/2006 15:13,
394,1342,1,1,1,78,78,78,62,62,62,2/28/2006 15:13,2/28/2006 15:13,
395,1342,1,1,2,75,75,75,65,65,65,2/28/2006 15:13,2/28/2006 15:13,
396,1342,1,1,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13,
397,1342,1,1,4,78,78,78,68,68,68,2/28/2006 15:13,4/19/2006 10:29,
398,1342,1,1,5,78,78,78,68,68,68,2/28/2006 15:13,4/19/2006 10:29,
399,1342,1,1,6,78,78,78,68,68,68,2/28/2006 15:13,4/19/2006 10:29,
400,1342,1,1,7,78,78,78,68,68,68,2/28/2006 15:13,4/19/2006 10:29,
417,1345,1,0,0,80,80,80,68,68,68,2/28/2006 15:13,3/20/2007 6:29,
418,1345,1,0,1,85,85,85,68,68,68,2/28/2006 15:13,1/10/2007 7:56,
419,1345,1,0,2,80,80,80,73,73,73,2/28/2006 15:13,3/20/2007 6:29,
420,1345,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13,
421,1345,1,0,4,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 7:40,
422,1345,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 7:40,
423,1345,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 7:40,
424,1345,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 7:40,
425,1360,1,0,0,80,80,80,69,69,69,2/28/2006 15:13,9/29/2006 9:56,
