rec_id,invensys_acct_id,invensys_device_type_id,instance_id,occ_mode_id,cooling_temp_set,cooling_temp_max,cooling_temp_min,heating_temp_set,heating_temp_max,heating_temp_min,rec_create_date,rec_last_update_date,
185,1318,1,0,0,90,90,90,60,60,60,2/28/2006 15:13,11/2/2006 2:32,
186,1318,1,0,1,85,85,85,60,60,60,2/28/2006 15:13,3/31/2006 16:05,
187,1318,1,0,2,85,85,85,60,60,60,2/28/2006 15:13,3/31/2006 16:05,
188,1318,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13,
189,1318,1,0,4,89,89,89,62,62,62,2/28/2006 15:13,2/28/2006 15:13,
190,1318,1,0,5,89,89,89,64,64,64,2/28/2006 15:13,2/28/2006 15:13,
191,1318,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 16:05,
192,1318,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 16:05,
193,1320,1,0,0,72,72,72,68,68,68,2/28/2006 15:13,2/28/2006 15:13,
194,1320,1,0,1,78,78,78,60,60,60,2/28/2006 15:13,4/19/2006 10:29,
195,1320,1,0,2,75,75,75,62,62,62,2/28/2006 15:13,4/19/2006 10:29,
196,1320,1,0,3,85,85,85,60,60,60,2/28/2006 15:13,4/19/2006 10:29,
197,1320,1,0,4,80,80,80,70,70,70,2/28/2006 15:13,4/19/2006 10:29,
198,1320,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:04,
199,1320,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:04,
200,1320,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:04,
209,1322,1,0,0,75,75,75,69,69,69,2/28/2006 15:13,5/18/2006 17:09,
210,1322,1,0,1,78,78,78,62,62,62,2/28/2006 15:13,2/28/2006 15:13,
211,1322,1,0,2,75,75,75,63,63,63,2/28/2006 15:13,2/28/2006 15:13,
212,1322,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13,
213,1322,1,0,4,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:04,
214,1322,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:04,
215,1322,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:04,
216,1322,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:04,
281,1330,1,0,0,83,83,83,71,71,71,2/28/2006 15:13,3/20/2007 6:28,
282,1330,1,0,1,83,83,83,55,55,55,2/28/2006 15:13,1/10/2007 8:48,
283,1330,1,0,2,83,83,83,68,68,68,2/28/2006 15:13,3/20/2007 6:28,
284,1330,1,0,3,83,83,83,56,56,56,2/28/2006 15:13,2/28/2006 15:13,
285,1330,1,0,4,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:05,
286,1330,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:05,
287,1330,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:05,
288,1330,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:05,
297,1332,1,0,0,80,80,80,70,70,70,2/28/2006 15:13,2/28/2006 15:13,
298,1332,1,0,1,80,80,80,68,68,68,2/28/2006 15:13,2/28/2006 15:13,
299,1332,1,0,2,85,85,85,62,62,62,2/28/2006 15:13,2/28/2006 15:13,
300,1332,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13,
301,1332,1,0,4,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:05,
302,1332,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:05,
303,1332,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:05,
304,1332,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:05,
305,1332,1,1,0,72,72,72,68,68,68,2/28/2006 15:13,2/28/2006 15:13,
306,1332,1,1,1,78,78,78,62,62,62,2/28/2006 15:13,2/28/2006 15:13,
307,1332,1,1,2,75,75,75,65,65,65,2/28/2006 15:13,2/28/2006 15:13,
308,1332,1,1,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13,
309,1332,1,1,4,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:05,
310,1332,1,1,5,78,78,78,68,68,68,2/28/2006 15:13,4/4/2006 13:05,
