rec_id,invensys_acct_id,invensys_device_type_id,instance_id,occ_mode_id,cooling_temp_set,cooling_temp_max,cooling_temp_min,heating_temp_set,heating_temp_max,heating_temp_min,rec_create_date,rec_last_update_date,
169,1316,1,0,0,94,104,91,70,73,60,2/28/2006 15:13,10/21/2006 19:12,
170,1316,1,0,1,94,104,94,62,62,52,2/28/2006 15:13,4/25/2006 19:49,
171,1316,1,0,2,94,104,94,55,55,45,2/28/2006 15:13,3/2/2007 6:17,
172,1316,1,0,3,94,104,94,50,50,40,2/28/2006 15:13,4/25/2006 19:49,
173,1316,1,0,4,94,104,91,64,67,54,2/28/2006 15:13,10/19/2006 16:36,
174,1316,1,0,5,94,104,91,66,69,56,2/28/2006 15:13,10/19/2006 16:40,
175,1316,1,0,6,94,104,91,68,71,58,2/28/2006 15:13,10/19/2006 16:40,
176,1316,1,0,7,94,104,91,70,73,60,2/28/2006 15:13,10/19/2006 16:40,
177,1316,1,1,0,85,95,82,40,43,30,2/28/2006 15:13,4/15/2006 15:13,
178,1316,1,1,1,85,95,82,40,43,30,2/28/2006 15:13,4/15/2006 15:13,
179,1316,1,1,2,85,95,82,40,43,30,2/28/2006 15:13,4/15/2006 15:13,
180,1316,1,1,3,85,95,82,40,43,30,2/28/2006 15:13,4/15/2006 15:13,
181,1316,1,1,4,72,82,69,68,71,58,2/28/2006 15:13,4/15/2006 15:13,
182,1316,1,1,5,85,95,82,40,43,30,2/28/2006 15:13,4/15/2006 15:13,
183,1316,1,1,6,85,95,82,40,43,30,2/28/2006 15:13,4/15/2006 15:13,
184,1316,1,1,7,85,95,82,40,43,30,2/28/2006 15:13,4/15/2006 15:13,
201,1321,1,0,0,75,80,72,70,73,65,2/28/2006 15:13,4/17/2006 15:05,
202,1321,1,0,1,78,83,75,72,75,67,2/28/2006 15:13,4/17/2006 15:05,
203,1321,1,0,2,75,80,72,68,71,63,2/28/2006 15:13,4/17/2006 15:05,
204,1321,1,0,3,80,85,77,60,63,55,2/28/2006 15:13,4/17/2006 15:05,
205,1321,1,0,4,78,83,75,68,71,63,2/28/2006 15:13,4/17/2006 15:05,
206,1321,1,0,5,78,83,75,68,71,63,2/28/2006 15:13,4/17/2006 15:05,
207,1321,1,0,6,78,83,75,68,71,63,2/28/2006 15:13,4/17/2006 15:05,
208,1321,1,0,7,78,83,75,68,71,63,2/28/2006 15:13,4/17/2006 15:05,
249,1327,1,0,0,72,77,72,65,65,60,2/28/2006 15:13,12/6/2006 10:08,
250,1327,1,0,1,78,88,78,64,64,54,2/28/2006 15:13,4/26/2006 12:53,
251,1327,1,0,2,75,80,75,60,60,55,2/28/2006 15:13,12/6/2006 10:08,
252,1327,1,0,3,80,90,80,63,63,53,2/28/2006 15:13,4/26/2006 12:53,
253,1327,1,0,4,89,94,89,63,63,58,2/28/2006 15:13,12/6/2006 10:12,
254,1327,1,0,5,78,83,75,70,73,65,2/28/2006 15:13,12/2/2006 12:44,
255,1327,1,0,6,78,83,75,68,71,63,2/28/2006 15:13,4/17/2006 15:05,
256,1327,1,0,7,78,83,75,68,71,63,2/28/2006 15:13,4/17/2006 15:05,
313,1333,1,0,0,72,77,69,68,71,63,2/28/2006 15:13,4/17/2006 15:05,
314,1333,1,0,1,78,83,75,60,63,55,2/28/2006 15:13,4/17/2006 15:05,
315,1333,1,0,2,75,80,72,60,63,55,2/28/2006 15:13,4/17/2006 15:05,
316,1333,1,0,3,80,85,77,50,53,45,2/28/2006 15:13,4/17/2006 15:05,
317,1333,1,0,4,78,83,75,68,71,63,2/28/2006 15:13,4/17/2006 15:05,
318,1333,1,0,5,78,83,75,68,71,63,2/28/2006 15:13,4/17/2006 15:05,
319,1333,1,0,6,78,83,75,68,71,63,2/28/2006 15:13,4/17/2006 15:05,
320,1333,1,0,7,78,83,75,68,71,63,2/28/2006 15:13,4/17/2006 15:05,
329,1336,1,0,0,95,100,92,65,68,60,2/28/2006 15:13,11/27/2006 1:07,
330,1336,1,0,1,95,100,92,40,43,35,2/28/2006 15:13,12/5/2006 6:52,
331,1336,1,0,2,95,100,92,50,53,45,2/28/2006 15:13,10/17/2006 17:43,
