rec_id,invensys_acct_id,invensys_device_type_id,instance_id,occ_mode_id,cooling_temp_set,cooling_temp_max,cooling_temp_min,heating_temp_set,heating_temp_max,heating_temp_min,rec_create_date,rec_last_update_date
241,1326,1,0,0,80,80,80,74,74,74,2/28/2006 15:13,1/19/2007 20:08
242,1326,1,0,1,78,78,78,62,62,62,2/28/2006 15:13,2/28/2006 15:13
243,1326,1,0,2,75,75,75,65,65,65,2/28/2006 15:13,2/28/2006 15:13
244,1326,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13
245,1326,1,0,4,78,78,78,66,66,66,2/28/2006 15:13,12/4/2006 20:32
246,1326,1,0,5,78,78,78,67,67,67,2/28/2006 15:13,12/4/2006 20:32
247,1326,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
248,1326,1,0,7,78,78,78,69,69,69,2/28/2006 15:13,12/4/2006 20:32
257,1328,1,0,0,72,72,72,68,68,68,2/28/2006 15:13,2/28/2006 15:13
258,1328,1,0,1,78,78,78,62,62,62,2/28/2006 15:13,2/28/2006 15:13
259,1328,1,0,2,75,75,75,50,50,50,2/28/2006 15:13,3/2/2006 15:15
260,1328,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13
261,1328,1,0,4,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:15
262,1328,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:15
263,1328,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:15
264,1328,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:15
265,1328,1,1,0,72,72,72,68,68,68,2/28/2006 15:13,2/28/2006 15:13
266,1328,1,1,1,78,78,78,62,62,62,2/28/2006 15:13,2/28/2006 15:13
267,1328,1,1,2,75,75,75,65,65,65,2/28/2006 15:13,2/28/2006 15:13
268,1328,1,1,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13
269,1328,1,1,4,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:15
270,1328,1,1,5,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:15
271,1328,1,1,6,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:15
272,1328,1,1,7,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:15
289,1331,1,0,0,75,75,75,70,70,70,2/28/2006 15:13,2/28/2006 15:13
290,1331,1,0,1,78,78,78,65,65,65,2/28/2006 15:13,2/28/2006 15:13
291,1331,1,0,2,75,75,75,65,65,65,2/28/2006 15:13,2/28/2006 15:13
292,1331,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13
293,1331,1,0,4,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
294,1331,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
295,1331,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
296,1331,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
353,1338,1,0,0,80,80,80,62,62,62,2/28/2006 15:13,11/27/2006 4:19
354,1338,1,0,1,80,80,80,48,48,48,2/28/2006 15:13,10/26/2006 2:44
355,1338,1,0,2,80,80,80,58,58,58,2/28/2006 15:13,11/27/2006 4:19
356,1338,1,0,3,85,85,85,48,48,48,2/28/2006 15:13,10/26/2006 2:44
357,1338,1,0,4,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
358,1338,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
359,1338,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
360,1338,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
473,1366,1,0,0,78,78,78,70,70,70,2/28/2006 15:13,3/22/2006 5:29
474,1366,1,0,1,85,85,85,70,70,70,2/28/2006 15:13,3/22/2006 5:29
475,1366,1,0,2,82,82,82,62,62,62,2/28/2006 15:13,3/22/2006 5:29
476,1366,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13
477,1366,1,0,4,78,78,78,68,68,68,2/28/2006 15:13,3/22/2006 5:29
478,1366,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,3/22/2006 5:29
479,1366,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,3/22/2006 5:29
480,1366,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,3/22/2006 5:29
569,1507,1,0,0,85,85,85,68,68,68,2/28/2006 15:13,3/2/2006 15:14
570,1507,1,0,1,85,85,85,64,64,64,2/28/2006 15:13,3/2/2006 15:14
571,1507,1,0,2,85,85,85,60,60,60,2/28/2006 15:13,3/2/2006 15:14
572,1507,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13
573,1507,1,0,4,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:14
574,1507,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:14
575,1507,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:14
576,1507,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:14
609,1513,1,0,0,72,72,72,66,66,66,2/28/2006 15:13,2/28/2006 15:13
610,1513,1,0,1,78,78,78,62,62,62,2/28/2006 15:13,2/28/2006 15:13
611,1513,1,0,2,75,75,75,64,64,64,2/28/2006 15:13,2/28/2006 15:13
612,1513,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13
613,1513,1,0,4,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
614,1513,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
615,1513,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
616,1513,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
617,1513,1,1,0,72,72,72,66,66,66,2/28/2006 15:13,2/28/2006 15:13
618,1513,1,1,1,78,78,78,62,62,62,2/28/2006 15:13,2/28/2006 15:13
619,1513,1,1,2,75,75,75,64,64,64,2/28/2006 15:13,2/28/2006 15:13
620,1513,1,1,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13
621,1513,1,1,4,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
622,1513,1,1,5,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
623,1513,1,1,6,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
624,1513,1,1,7,78,78,78,68,68,68,2/28/2006 15:13,3/31/2006 7:01
633,1515,1,0,0,72,72,72,68,68,68,2/28/2006 15:13,2/28/2006 15:13
634,1515,1,0,1,78,78,78,62,62,62,2/28/2006 15:13,2/28/2006 15:13
635,1515,1,0,2,75,75,75,57,57,57,2/28/2006 15:13,9/16/2006 17:39
636,1515,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13
637,1515,1,0,4,78,78,78,50,50,50,2/28/2006 15:13,4/24/2006 11:49
638,1515,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,3/22/2006 5:30
639,1515,1,0,6,78,78,78,65,65,65,2/28/2006 15:13,9/16/2006 17:39
640,1515,1,0,7,78,78,78,60,60,60,2/28/2006 15:13,9/16/2006 17:39
649,1517,1,0,0,72,72,72,68,68,68,2/28/2006 15:13,2/28/2006 15:13
650,1517,1,0,1,78,78,78,62,62,62,2/28/2006 15:13,2/28/2006 15:13
651,1517,1,0,2,75,75,75,65,65,65,2/28/2006 15:13,2/28/2006 15:13
652,1517,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13
653,1517,1,0,4,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:14
654,1517,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:14
655,1517,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:14
656,1517,1,0,7,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:14
681,1521,1,0,0,78,78,78,68,68,68,2/28/2006 15:13,5/18/2006 17:05
682,1521,1,0,1,78,78,78,65,65,65,2/28/2006 15:13,3/2/2006 15:14
683,1521,1,0,2,78,78,78,65,65,65,2/28/2006 15:13,3/2/2006 15:14
684,1521,1,0,3,80,80,80,60,60,60,2/28/2006 15:13,2/28/2006 15:13
685,1521,1,0,4,78,78,78,70,70,70,2/28/2006 15:13,5/18/2006 17:05
686,1521,1,0,5,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:14
687,1521,1,0,6,78,78,78,68,68,68,2/28/2006 15:13,3/2/2006 15:14
