"rec_id","invensys_acct_id","invensys_device_type_id","instance_id","kfactor","rec_create_date","rec_last_update_date",
20,1326,3,1,0,"2006-02-28 15:13:13","2006-02-28 15:13:13",
22,1328,3,1,0,"2006-02-28 15:13:14","2006-02-28 15:13:14",
25,1331,3,2,0,"2006-02-28 15:13:14","2006-02-28 15:13:14",
32,1338,3,1,0,"2006-02-28 15:13:15","2006-02-28 15:13:15",
46,1366,3,1,0,"2006-02-28 15:13:17","2006-02-28 15:13:17",
80,1507,3,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24",
85,1513,3,1,0,"2006-02-28 15:13:25","2006-02-28 15:13:25",
87,1515,3,1,0,"2006-02-28 15:13:25","2006-02-28 15:13:25",
89,1517,3,1,0,"2006-02-28 15:13:25","2006-02-28 15:13:25",
93,1521,3,1,0,"2006-02-28 15:13:26","2006-02-28 15:13:26",
94,1522,3,1,0,"2006-02-28 15:13:26","2006-02-28 15:13:26",
97,1525,3,1,0,"2006-02-28 15:13:26","2006-02-28 15:13:26",
107,1535,3,1,0,"2006-02-28 15:13:28","2006-02-28 15:13:28",
110,1538,3,1,0,"2006-02-28 15:13:28","2006-02-28 15:13:28",
111,1539,3,1,0,"2006-02-28 15:13:28","2006-02-28 15:13:28",
113,1541,3,1,0,"2006-02-28 15:13:29","2006-02-28 15:13:29",
115,1543,3,1,0,"2006-02-28 15:13:29","2006-02-28 15:13:29",
122,1550,3,1,0,"2006-02-28 15:13:30","2006-02-28 15:13:30",
123,1551,3,1,0,"2006-02-28 15:13:30","2006-02-28 15:13:30",
127,1555,3,1,0,"2006-02-28 15:13:31","2006-02-28 15:13:31",
131,1579,3,1,0,"2006-03-22 11:09:34","2006-03-22 11:09:34",
133,1581,3,1,0,"2006-03-22 11:09:37","2006-03-22 11:09:37",
134,1576,3,1,0,"2006-03-22 11:13:36","2006-03-22 11:13:36",
136,1578,3,1,0,"2006-03-22 11:14:39","2006-03-22 11:14:39",
138,1575,3,1,0,"2006-03-22 11:17:35","2006-03-22 11:17:35",
151,1560,3,1,0,"2006-03-22 11:37:35","2006-03-22 11:37:35",
157,1583,3,1,0,"2006-04-19 09:01:06","2006-04-19 09:01:06",
