"rec_id","invensys_acct_id","invensys_device_type_id","instance_id","kfactor","rec_create_date","rec_last_update_date",
15,1325,5,2,0,"2006-02-28 15:13:13","2006-02-28 15:13:13",
31,1345,5,2,0,"2006-02-28 15:13:16","2006-02-28 15:13:16",
32,1360,5,2,0,"2006-02-28 15:13:16","2006-02-28 15:13:16",
34,1362,5,2,0,"2006-02-28 15:13:16","2006-02-28 15:13:16",
35,1363,5,2,0,"2006-02-28 15:13:16","2006-02-28 15:13:16",
36,1364,5,2,0,"2006-02-28 15:13:17","2006-02-28 15:13:17",
37,1365,5,2,0,"2006-02-28 15:13:17","2006-02-28 15:13:17",
42,1370,5,2,0,"2006-02-28 15:13:17","2006-02-28 15:13:17",
44,1372,5,2,0,"2006-02-28 15:13:18","2006-02-28 15:13:18",
45,1374,5,2,0,"2006-02-28 15:13:18","2006-02-28 15:13:18",
173,1511,5,2,0,"2006-02-28 15:13:25","2006-02-28 15:13:25",
174,1512,5,2,0,"2006-02-28 15:13:25","2006-02-28 15:13:25",
176,1519,5,2,0,"2006-02-28 15:13:26","2006-02-28 15:13:26",
181,1549,5,2,0,"2006-03-02 15:14:35","2006-03-02 15:14:35",
183,1323,5,2,0,"2006-03-02 15:15:29","2006-03-02 15:15:29",
