"rec_id","invensys_acct_id","invensys_device_type_id","instance_id","kfactor","rec_create_date","rec_last_update_date",
11,1318,5,2,0,"2006-02-28 15:13:12","2006-02-28 15:13:12",
12,1320,5,2,0,"2006-02-28 15:13:13","2006-02-28 15:13:13",
14,1322,5,2,0,"2006-02-28 15:13:13","2006-02-28 15:13:13",
18,1330,5,2,0,"2006-02-28 15:13:14","2006-02-28 15:13:14",
20,1332,5,2,0,"2006-02-28 15:13:14","2006-02-28 15:13:14",
22,1334,5,2,0,"2006-02-28 15:13:14","2006-02-28 15:13:14",
28,1341,5,2,0,"2006-02-28 15:13:15","2006-02-28 15:13:15",
30,1344,5,2,0,"2006-02-28 15:13:16","2006-02-28 15:13:16",
33,1361,5,2,0,"2006-02-28 15:13:16","2006-02-28 15:13:16",
39,1367,5,2,0,"2006-02-28 15:13:17","2006-02-28 15:13:17",
138,1469,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23",
179,1536,5,2,0,"2006-02-28 15:13:28","2006-02-28 15:13:28",
192,1568,5,2,0,"2006-05-05 11:52:52","2006-05-05 11:52:52",
194,1563,5,3,0,"2006-05-22 10:11:03","2006-05-22 10:11:03",
