# WHOLESALE.TXT
# =============
# 
# Fields          Description
# --------------- ---------------------------------
# ProjectDay      Project day (1-365)
# ProjectHour     Project hour (1-8760)
# DayOfWeek       Day of week (1-7) [Sunday=1]
# HourOfDay       Hour of day (0-23)
# PostTime        Time price was posted
# MidcHourly      MID Columbia energy price [$/MWh]
# MidcFirmPeak    
# MidcFirmOffpeak
# MidcNonfirmPeak
# MidcNonfirmOffpeak
# OffpeakAverage
# OnpeakAverage
# Olympic
# 
# FORMAT=%f %f %f %f %[^\t] %f %f %f %f %f %f %f %f
ProjectDay	ProjectHour	DayOfWeek	HourOfDay	PostTime	MidcHourly	MidcFirmPeak	MidcFirmOffpeak	MidcNonfirmPeak	MidcNonFirmOffpeak	MidcPeakAverage	MidcOffpeakAverage	Olympic
1	1	7	0	2006-04-01 00:00	29.57	40.07	36.17	39.75	36.00	35.38	29.84	28.42
1	2	7	1	2006-04-01 01:00	28.98	NULL	NULL	NULL	NULL	NULL	NULL	28.11
1	3	7	2	2006-04-01 02:00	29.13	NULL	NULL	NULL	NULL	NULL	NULL	31.53
1	4	7	3	2006-04-01 03:00	28.86	NULL	NULL	NULL	NULL	NULL	NULL	33.16
1	5	7	4	2006-04-01 04:00	30.31	NULL	NULL	NULL	NULL	NULL	NULL	34.17
1	6	7	5	2006-04-01 05:00	31.53	NULL	NULL	NULL	NULL	NULL	NULL	37.31
1	7	7	6	2006-04-01 06:00	32.86	NULL	NULL	NULL	NULL	NULL	NULL	42.75
1	8	7	7	2006-04-01 07:00	34.91	NULL	NULL	NULL	NULL	NULL	NULL	43.35
1	9	7	8	2006-04-01 08:00	35.00	NULL	NULL	NULL	NULL	NULL	NULL	41.03
1	10	7	9	2006-04-01 09:00	36.10	NULL	NULL	NULL	NULL	NULL	NULL	41.03
1	11	7	10	2006-04-01 10:00	35.00	NULL	NULL	NULL	NULL	NULL	NULL	40.66
1	12	7	11	2006-04-01 11:00	37.12	NULL	NULL	NULL	NULL	NULL	NULL	40.14
1	13	7	12	2006-04-01 12:00	37.10	NULL	NULL	NULL	NULL	NULL	NULL	40.86
1	14	7	13	2006-04-01 13:00	35.87	NULL	NULL	NULL	NULL	NULL	NULL	39.59
1	15	7	14	2006-04-01 14:00	34.98	NULL	NULL	NULL	NULL	NULL	NULL	38.26
1	16	7	15	2006-04-01 15:00	35.45	NULL	NULL	NULL	NULL	NULL	NULL	38.04
1	17	7	16	2006-04-01 16:00	34.96	NULL	NULL	NULL	NULL	NULL	NULL	38.16
1	18	7	17	2006-04-01 17:00	36.61	NULL	NULL	NULL	NULL	NULL	NULL	43.04
1	19	7	18	2006-04-01 18:00	38.45	NULL	NULL	NULL	NULL	NULL	NULL	45.53
1	20	7	19	2006-04-01 19:00	36.56	NULL	NULL	NULL	NULL	NULL	NULL	43.56
1	21	7	20	2006-04-01 20:00	34.15	NULL	NULL	NULL	NULL	NULL	NULL	45.75
1	22	7	21	2006-04-01 21:00	30.97	NULL	NULL	NULL	NULL	NULL	NULL	36.09
1	23	7	22	2006-04-01 22:00	31.33	NULL	NULL	NULL	NULL	NULL	NULL	42.03
1	24	7	23	2006-04-01 23:00	29.02	NULL	NULL	NULL	NULL	NULL	NULL	33.77
2	25	1	0	2006-04-02 00:00	25.57	36.30	32.50	30.65	30.00	34.03	27.83	NULL
2	26	1	1	2006-04-02 01:00	25.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	27	1	2	2006-04-02 02:00	25.64	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	28	1	4	2006-04-02 04:00	27.50	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	29	1	5	2006-04-02 05:00	25.37	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	30	1	6	2006-04-02 06:00	30.21	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	31	1	7	2006-04-02 07:00	35.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	32	1	8	2006-04-02 08:00	34.20	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	33	1	9	2006-04-02 09:00	33.74	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	34	1	10	2006-04-02 10:00	35.10	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	35	1	11	2006-04-02 11:00	34.67	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	36	1	12	2006-04-02 12:00	33.98	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	37	1	13	2006-04-02 13:00	32.67	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	38	1	14	2006-04-02 14:00	31.32	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	39	1	15	2006-04-02 15:00	31.38	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	40	1	16	2006-04-02 16:00	32.45	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	41	1	17	2006-04-02 17:00	34.88	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	42	1	18	2006-04-02 18:00	29.97	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	43	1	19	2006-04-02 19:00	37.67	NULL	NULL	NULL	NULL	NULL	NULL	NULL
