ID #	Area	Main Heating System	Second Heating System - 1	Second Heating System - 2	Winter Tstat Setting - Daytime	Winter Tstat Setting - Nighttime	Home's Winter Temp	Programmable Tstat	Month Start Heating	Month Stop Heating	# of Tstats	Tstat Location	AC System	Summer AC Use	Summer Tstat Setting - Daytime	Summer Tstat Setting - Nighttime	Home's summer temp	Sq footage	Yr built	Refrigerator	Freezer	Clothes washer	Clothes dryer	Dishwasher	Stove/range	Microwave	PC	Large screen TV	Reg TV	Hot tub/spa	Swimming pool	Change Time Use of Diswasher	Change Time Use of Stove/range	Change Time Use of Microwave	Change Time Use of PC	Change Time Use of Lg screen TV	Change Time Use of Reg TV	Change Time Use of Hot tub/spa	Loads laundry per week	Temp setting for closther washer	Time laundry is done	Change laundry schedule	Showers/baths per week	Low-flow shower head	Change shower time	Water heater	Water heater timer	Amt of hot water	Water heater set	# of water heaters	Location of water heater	# of People Age 0 - 11	# of People Age 12 - 18	# of People Age 18 - 25	# of People Age 26 - 35	# of People Age 36 - 45	# of People Age 46 - 55	# of People Age 55 - 65	# of People Age 66 or Older	Income	Responsible Occupant - Gender	Responsible Occupant - Age	Responsible Occupant - Education	Responsible Occupant - Internet comfort level	
233	C	Electric heat pump, central forced air	Other		69	62	just right	Yes	October	May	1	Living room	Heat pump	Occasionally	76	65	Just right	2,000 – 2,499 sq. ft.	2000s	x		x	x	x	x	x	x	x				Yes	Not sure	Not sure	Yes	Yes	Blank	Blank	1 to 3	Warm / Cold	At the same time of day	Yes	11 to 15	Yes	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage							1	1	$100,000 or more	Male	66 or older	Graduated college	Very comfortable	
235	C	Electric heat pump, central forced air	Woodstove or fireplace		70	68	just right	Yes	November	May	Blank	Living room main floor	Heat pump	Never	78	75	Just right	1,500 – 1,999 sq. ft.	1978-1989	x		x	x	x	x	x	x					Yes	Yes	Yes	No	Blank	No	Blank	4 to 6 	Warm / Cold	At various times	Yes	0 to 5	Not sure	Yes	Electric	Yes	Usually sufficient	To prevent scalding (about 120 F)	1	Utility room								1	$60,000 to $79,999	Male	66 or older	Graduated college	Very comfortable	
239	C	Electric heat pump, central forced air	Woodstove or fireplace		68	62	just right	Yes	October	May	2	Main floor hallway	Heat pump	Occasionally	78	78	Just right	2,500 – 2,999 sq. ft.	1990s	2	1	1	1	1	2	2	2		1			Yes	Yes	Yes	Not sure	Blank	Yes	Blank	7 to 9	Warm / Cold	At various times	Yes	11 to 15	Yes	Not sure	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Pantry							1	1	$80,000 to $99,999	Male	66 or older	Graduate college/professional school	Very comfortable	
251	C	Electric heat pump, central forced air	Electric heat pump, forced air		72	65	just right	Yes	October	April	1	Main hallway	Heat pump	Occasionally	68	65	Just right	1,000 – 1,499 sq. ft.	1990s	x	x	x	x	x	x	x	x		x										1 to 3	Cold / Cold		No	0 to 5	Yes	Not sure	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Master bedroon closet								x	Refused	Female	66 or older	High school	-	
270	C	Electric heat pump, central forced air	None		68	72	just right	Yes	September	April	1	Great room	Heat pump	Occasionally	78	80	Just right	1,500 – 1,999 sq. ft.	2000s	1	1	1	1	1	1	1	2	0	2	1	0	Yes	Yes	Yes	No	Blank	No	Yes	1 to 3	Cold / Cold	At various times	Yes	0 to 5	Yes	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Laundry room	2								$40,000 to $59,999	Male	66 or older	Graduate college/professional school	Very comfortable	
278	C	Electric, central forced air	Other		64	50	just right	Yes	October	April	2	Living Room	None	Don't have one	off	off	Just right	1,500 – 1,999 sq. ft.	1990s	2	0	1	1	1	1	1	2	0	1	0	0	Not sure	Yes	Yes	Yes	Blank	Yes	Blank	1 to 3	Warm / Cold	At various times	Yes	11 to 15	Not sure	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Office Closet							1		$20,000 to $39,999	Male	55 to 65	Graduate college/professional school	Very comfortable	
282	C	Electric, central forced air	Electric baseboard	Portable electric heater(s)	66	60	too cool	Yes	October	?	1	Main floor hallway	None	Don't have one	66	60	Too cool	1,000 – 1,499 sq. ft.	1970-1978	1	1	1	1	1	1	1	1		2			Yes	Yes	Yes	Yes	Blank	Not sure		1 to 3	Warm / Cold	At various times	Yes	0 to 5	Yes	Yes	Electric	No	Usually sufficient	don't know setting	1	Mud room								1	$40,000 to $59,999	Female	66 or older	Some college	Very comfortable	
292	C	Electric heat pump, central forced air	None		68	58	just right	Yes	October	May	1	Mail floor hallway	Heat pump	Occasionally	85	70	Just right	1,500 – 1,999 sq. ft.	1990s	2	1	1	1	1	1	1	2	0	3	0	0	Yes	Yes	Yes	Yes	Not applicable	Yes	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage	x								$40,000 to $59,999	Male	55 to 65	Graduated college	Very comfortable	
293	C	Electric heat pump, central forced air	None		64	60	just right	Yes	November	March	1	Mail floor hallway	Heat pump	Never	60	60	Just right	2,000 – 2,499 sq. ft.	1990s	x	x	x	x	x	x	x	x		x			Yes	Yes	Not sure	No		No	Blank	1 to 3	Warm / Cold	At various times	Yes	11 to 15	No	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Utility room							2		$40,000 to $59,999	Male	55 to 65	Graduated college	Very comfortable	
294	C	Electric heat pump, central forced air	None		68	67	too cool	Yes	October	April	1	Mail floor hallway	Heat pump	Occasionally	71	66	Too warm	1,500 – 1,999 sq. ft.	1990s	2		1	1	2	1	1	2	1	2	0	0	Yes	No	Yes	Not sure	Not sure	Yes	Blank	1 to 3	Warm / Cold	At various times	Yes	11 to 15	Yes	Not sure	Electric	No	Usually sufficient	As hot as possible (160 F or more)	1	Garage							2		Refused	Male	55 to 65	Some college	Very comfortable	
