# file...... rtp_balance_new.csv
# date...... Tue Jun 09 20:52:18 2009
# user...... D3X175
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 86400
# limit..... 365
# property.. timestamp,sum(measured_energy)
2006-04-01 08:00:00,0
2006-04-02 08:00:00,10195.7
2006-04-03 08:00:00,35414.8
2006-04-04 08:00:00,77416.8
2006-04-05 08:00:00,196894
2006-04-06 08:00:00,226423
2006-04-07 08:00:00,269541
2006-04-08 08:00:00,297187
2006-04-09 08:00:00,325972
2006-04-10 08:00:00,360987
2006-04-11 08:00:00,427791
2006-04-12 08:00:00,470437
2006-04-13 08:00:00,589189
2006-04-14 08:00:00,629498
2006-04-15 08:00:00,677863
2006-04-16 08:00:00,715299
2006-04-17 08:00:00,753800
2006-04-18 08:00:00,791032
2006-04-19 08:00:00,894632
2006-04-20 08:00:00,925639
2006-04-21 08:00:00,951040
2006-04-22 08:00:00,976268
2006-04-23 08:00:00,1.00697e+006
2006-04-24 08:00:00,1.04479e+006
2006-04-25 08:00:00,1.17099e+006
2006-04-26 08:00:00,1.21295e+006
2006-04-27 08:00:00,1.26317e+006
2006-04-28 08:00:00,1.30314e+006
2006-04-29 08:00:00,1.37481e+006
2006-04-30 08:00:00,1.48541e+006
2006-05-01 08:00:00,1.55561e+006
2006-05-02 08:00:00,1.58391e+006
2006-05-03 08:00:00,1.60871e+006
2006-05-04 08:00:00,1.63727e+006
2006-05-05 08:00:00,1.69041e+006
2006-05-06 08:00:00,1.70734e+006
2006-05-07 08:00:00,1.72351e+006
2006-05-08 08:00:00,1.74017e+006
2006-05-09 08:00:00,1.75905e+006
2006-05-10 08:00:00,1.78375e+006
2006-05-11 08:00:00,1.81249e+006
2006-05-12 08:00:00,1.84547e+006
2006-05-13 08:00:00,1.88226e+006
2006-05-14 08:00:00,1.90852e+006
2006-05-15 08:00:00,1.92793e+006
2006-05-16 08:00:00,1.94761e+006
2006-05-17 08:00:00,1.96707e+006
2006-05-18 08:00:00,1.99775e+006
2006-05-19 08:00:00,2.03089e+006
2006-05-20 08:00:00,2.06058e+006
2006-05-21 08:00:00,2.08742e+006
2006-05-22 08:00:00,2.1167e+006
2006-05-23 08:00:00,2.14518e+006
2006-05-24 08:00:00,2.1768e+006
2006-05-25 08:00:00,2.20906e+006
2006-05-26 08:00:00,2.23764e+006
2006-05-27 08:00:00,2.2719e+006
2006-05-28 08:00:00,2.30545e+006
2006-05-29 08:00:00,2.3408e+006
2006-05-30 08:00:00,2.37002e+006
2006-05-31 08:00:00,2.39431e+006
2006-06-01 08:00:00,2.4138e+006
2006-06-02 08:00:00,2.43175e+006
2006-06-03 08:00:00,2.45064e+006
2006-06-04 08:00:00,2.47196e+006
2006-06-05 08:00:00,2.55924e+006
2006-06-06 08:00:00,2.5825e+006
2006-06-07 08:00:00,2.60158e+006
2006-06-08 08:00:00,2.62227e+006
2006-06-09 08:00:00,2.64255e+006
2006-06-10 08:00:00,2.6639e+006
2006-06-11 08:00:00,2.68262e+006
2006-06-12 08:00:00,2.70672e+006
2006-06-13 08:00:00,2.72281e+006
2006-06-14 08:00:00,2.73892e+006
2006-06-15 08:00:00,2.75578e+006
2006-06-16 08:00:00,2.77448e+006
2006-06-17 08:00:00,2.79555e+006
2006-06-18 08:00:00,2.81983e+006
2006-06-19 08:00:00,2.84303e+006
2006-06-20 08:00:00,2.86812e+006
2006-06-21 08:00:00,2.89269e+006
2006-06-22 08:00:00,2.91172e+006
2006-06-23 08:00:00,2.92815e+006
2006-06-24 08:00:00,2.94979e+006
2006-06-25 08:00:00,2.97859e+006
2006-06-26 08:00:00,2.99746e+006
2006-06-27 08:00:00,3.01269e+006
2006-06-28 08:00:00,3.03069e+006
2006-06-29 08:00:00,3.05243e+006
2006-06-30 08:00:00,3.07499e+006
2006-07-01 08:00:00,3.0967e+006
2006-07-02 08:00:00,3.12305e+006
2006-07-03 08:00:00,3.14524e+006
2006-07-04 08:00:00,3.16768e+006
2006-07-05 08:00:00,3.20434e+006
2006-07-06 08:00:00,3.22229e+006
2006-07-07 08:00:00,3.23777e+006
2006-07-08 08:00:00,3.2499e+006
2006-07-09 08:00:00,3.26837e+006
2006-07-10 08:00:00,3.27995e+006
