# file...... rtp_noreaction_new.csv
# date...... Tue Jun 09 20:53:57 2009
# user...... D3X175
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 86400
# limit..... 365
# property.. timestamp,sum(measured_energy)
2006-04-01 08:00:00,0
2006-04-02 08:00:00,8422.63
2006-04-03 08:00:00,21592.8
2006-04-04 08:00:00,61742.4
2006-04-05 08:00:00,111321
2006-04-06 08:00:00,125236
2006-04-07 08:00:00,173868
2006-04-08 08:00:00,185454
2006-04-09 08:00:00,198400
2006-04-10 08:00:00,214025
2006-04-11 08:00:00,256458
2006-04-12 08:00:00,303762
2006-04-13 08:00:00,337884
2006-04-14 08:00:00,373809
2006-04-15 08:00:00,403635
2006-04-16 08:00:00,419855
2006-04-17 08:00:00,445439
2006-04-18 08:00:00,470046
2006-04-19 08:00:00,503929
2006-04-20 08:00:00,540290
2006-04-21 08:00:00,551491
2006-04-22 08:00:00,562753
2006-04-23 08:00:00,576651
2006-04-24 08:00:00,620209
2006-04-25 08:00:00,653128
2006-04-26 08:00:00,685576
2006-04-27 08:00:00,720640
2006-04-28 08:00:00,746192
2006-04-29 08:00:00,802972
2006-04-30 08:00:00,848235
2006-05-01 08:00:00,890445
2006-05-02 08:00:00,902340
2006-05-03 08:00:00,913381
2006-05-04 08:00:00,927267
2006-05-05 08:00:00,956439
2006-05-06 08:00:00,964095
2006-05-07 08:00:00,971622
2006-05-08 08:00:00,979107
2006-05-09 08:00:00,986949
2006-05-10 08:00:00,997005
2006-05-11 08:00:00,1.0089e+006
2006-05-12 08:00:00,1.03273e+006
2006-05-13 08:00:00,1.06243e+006
2006-05-14 08:00:00,1.073e+006
2006-05-15 08:00:00,1.08146e+006
2006-05-16 08:00:00,1.09008e+006
2006-05-17 08:00:00,1.09845e+006
2006-05-18 08:00:00,1.11177e+006
2006-05-19 08:00:00,1.12537e+006
2006-05-20 08:00:00,1.13839e+006
2006-05-21 08:00:00,1.14982e+006
2006-05-22 08:00:00,1.1625e+006
2006-05-23 08:00:00,1.17446e+006
2006-05-24 08:00:00,1.18802e+006
2006-05-25 08:00:00,1.20134e+006
2006-05-26 08:00:00,1.21388e+006
2006-05-27 08:00:00,1.22881e+006
2006-05-28 08:00:00,1.24334e+006
2006-05-29 08:00:00,1.25904e+006
2006-05-30 08:00:00,1.27182e+006
2006-05-31 08:00:00,1.28285e+006
2006-06-01 08:00:00,1.29154e+006
2006-06-02 08:00:00,1.29957e+006
2006-06-03 08:00:00,1.3081e+006
2006-06-04 08:00:00,1.31596e+006
2006-06-05 08:00:00,1.35564e+006
2006-06-06 08:00:00,1.364e+006
2006-06-07 08:00:00,1.37118e+006
2006-06-08 08:00:00,1.37908e+006
2006-06-09 08:00:00,1.38672e+006
2006-06-10 08:00:00,1.39498e+006
2006-06-11 08:00:00,1.40264e+006
2006-06-12 08:00:00,1.41164e+006
2006-06-13 08:00:00,1.4184e+006
2006-06-14 08:00:00,1.42465e+006
2006-06-15 08:00:00,1.43074e+006
2006-06-16 08:00:00,1.43769e+006
2006-06-17 08:00:00,1.4457e+006
2006-06-18 08:00:00,1.45511e+006
2006-06-19 08:00:00,1.46421e+006
2006-06-20 08:00:00,1.47385e+006
2006-06-21 08:00:00,1.48343e+006
2006-06-22 08:00:00,1.49018e+006
2006-06-23 08:00:00,1.4971e+006
2006-06-24 08:00:00,1.50494e+006
2006-06-25 08:00:00,1.51534e+006
2006-06-26 08:00:00,1.52281e+006
2006-06-27 08:00:00,1.52874e+006
2006-06-28 08:00:00,1.53533e+006
2006-06-29 08:00:00,1.54347e+006
2006-06-30 08:00:00,1.55179e+006
2006-07-01 08:00:00,1.5601e+006
2006-07-02 08:00:00,1.57042e+006
2006-07-03 08:00:00,1.57897e+006
2006-07-04 08:00:00,1.58792e+006
2006-07-05 08:00:00,1.60544e+006
2006-07-06 08:00:00,1.61313e+006
2006-07-07 08:00:00,1.62006e+006
2006-07-08 08:00:00,1.62565e+006
2006-07-09 08:00:00,1.63287e+006
2006-07-10 08:00:00,1.63868e+006
2006-07-11 08:00:00,1.64437e+006
2006-07-12 08:00:00,1.65031e+006
2006-07-13 08:00:00,1.65715e+006
2006-07-14 08:00:00,1.66362e+006
2006-07-15 08:00:00,1.67121e+006
2006-07-16 08:00:00,1.67942e+006
2006-07-17 08:00:00,1.69889e+006
2006-07-18 08:00:00,1.7081e+006
2006-07-19 08:00:00,1.71621e+006
2006-07-20 08:00:00,1.72395e+006
2006-07-21 08:00:00,1.72977e+006
2006-07-22 08:00:00,1.73583e+006
2006-07-23 08:00:00,1.74304e+006
2006-07-24 08:00:00,1.75062e+006
2006-07-25 08:00:00,1.75822e+006
2006-07-26 08:00:00,1.76609e+006
2006-07-27 08:00:00,1.77436e+006
2006-07-28 08:00:00,1.78191e+006
2006-07-29 08:00:00,1.78783e+006
2006-07-30 08:00:00,1.79591e+006
2006-07-31 08:00:00,1.80341e+006
2006-08-01 08:00:00,1.81138e+006
2006-08-02 08:00:00,1.82122e+006
2006-08-03 08:00:00,1.82975e+006
2006-08-04 08:00:00,1.83843e+006
2006-08-05 08:00:00,1.86617e+006
2006-08-06 08:00:00,1.87421e+006
2006-08-07 08:00:00,1.88233e+006
2006-08-08 08:00:00,1.89012e+006
2006-08-09 08:00:00,1.89806e+006
2006-08-10 08:00:00,1.90651e+006
2006-08-11 08:00:00,1.91464e+006
2006-08-12 08:00:00,1.92125e+006
2006-08-13 08:00:00,1.92758e+006
2006-08-14 08:00:00,1.93488e+006
2006-08-15 08:00:00,1.9419e+006
2006-08-16 08:00:00,1.95041e+006
2006-08-17 08:00:00,1.95901e+006
2006-08-18 08:00:00,1.96671e+006
2006-08-19 08:00:00,1.97414e+006
2006-08-20 08:00:00,1.98227e+006
2006-08-21 08:00:00,1.9897e+006
2006-08-22 08:00:00,1.99737e+006
2006-08-23 08:00:00,2.00392e+006
2006-08-24 08:00:00,2.00985e+006
2006-08-25 08:00:00,2.01788e+006
2006-08-26 08:00:00,2.02602e+006
2006-08-27 08:00:00,2.03388e+006
2006-08-28 08:00:00,2.04247e+006
2006-08-29 08:00:00,2.05154e+006
2006-08-30 08:00:00,2.06063e+006
2006-08-31 08:00:00,2.06611e+006
2006-09-01 08:00:00,2.07308e+006
2006-09-02 08:00:00,2.0815e+006
2006-09-03 08:00:00,2.09093e+006
2006-09-04 08:00:00,2.10275e+006
2006-09-05 08:00:00,2.13834e+006
2006-09-06 08:00:00,2.14809e+006
2006-09-07 08:00:00,2.15641e+006
2006-09-08 08:00:00,2.16466e+006
2006-09-09 08:00:00,2.17447e+006
2006-09-10 08:00:00,2.18448e+006
2006-09-11 08:00:00,2.19581e+006
2006-09-12 08:00:00,2.2072e+006
2006-09-13 08:00:00,2.22115e+006
2006-09-14 08:00:00,2.23381e+006
2006-09-15 08:00:00,2.24438e+006
2006-09-16 08:00:00,2.25668e+006
2006-09-17 08:00:00,2.28605e+006
2006-09-18 08:00:00,2.29541e+006
2006-09-19 08:00:00,2.30494e+006
2006-09-20 08:00:00,2.31366e+006
2006-09-21 08:00:00,2.3222e+006
2006-09-22 08:00:00,2.33154e+006
2006-09-23 08:00:00,2.34201e+006
2006-09-24 08:00:00,2.35383e+006
2006-09-25 08:00:00,2.36555e+006
2006-09-26 08:00:00,2.37723e+006
2006-09-27 08:00:00,2.38836e+006
2006-09-28 08:00:00,2.4001e+006
2006-09-29 08:00:00,2.41419e+006
2006-09-30 08:00:00,2.42701e+006
2006-10-01 08:00:00,2.43924e+006
2006-10-02 08:00:00,2.45304e+006
2006-10-03 08:00:00,2.48545e+006
2006-10-04 08:00:00,2.54035e+006
2006-10-05 08:00:00,2.60685e+006
2006-10-06 08:00:00,2.62178e+006
2006-10-07 08:00:00,2.63607e+006
2006-10-08 08:00:00,2.65299e+006
2006-10-09 08:00:00,2.67707e+006
2006-10-10 08:00:00,2.72008e+006
2006-10-11 08:00:00,2.73607e+006
2006-10-12 08:00:00,2.77018e+006
2006-10-13 08:00:00,2.78712e+006
2006-10-14 08:00:00,2.82143e+006
2006-10-15 08:00:00,2.88237e+006
2006-10-16 08:00:00,2.95341e+006
2006-10-17 08:00:00,2.99597e+006
2006-10-18 08:00:00,3.02626e+006
2006-10-19 08:00:00,3.0437e+006
2006-10-20 08:00:00,3.079e+006
2006-10-21 08:00:00,3.1153e+006
2006-10-22 08:00:00,3.15133e+006
2006-10-23 08:00:00,3.18685e+006
2006-10-24 08:00:00,3.22316e+006
2006-10-25 08:00:00,3.27693e+006
2006-10-26 08:00:00,3.30387e+006
2006-10-27 08:00:00,3.36441e+006
2006-10-28 08:00:00,3.41814e+006
2006-10-29 08:00:00,3.48431e+006
2006-10-30 08:00:00,3.56455e+006
2006-10-31 08:00:00,3.61222e+006
2006-11-01 08:00:00,3.65639e+006
2006-11-02 08:00:00,3.72142e+006
2006-11-03 08:00:00,3.76792e+006
2006-11-04 08:00:00,3.81602e+006
2006-11-05 08:00:00,3.89534e+006
2006-11-06 08:00:00,3.93088e+006
2006-11-07 08:00:00,3.97617e+006
2006-11-08 08:00:00,4.02846e+006
2006-11-09 08:00:00,4.09102e+006
2006-11-10 08:00:00,4.14125e+006
2006-11-11 08:00:00,4.19477e+006
2006-11-12 08:00:00,4.27434e+006
2006-11-13 08:00:00,4.37912e+006
2006-11-14 08:00:00,4.45078e+006
2006-11-15 08:00:00,4.53258e+006
2006-11-16 08:00:00,4.60475e+006
2006-11-17 08:00:00,4.67704e+006
2006-11-18 08:00:00,4.7734e+006
2006-11-19 08:00:00,4.8374e+006
2006-11-20 08:00:00,4.90937e+006
2006-11-21 08:00:00,5.00014e+006
2006-11-22 08:00:00,5.06012e+006
2006-11-23 08:00:00,5.12642e+006
2006-11-24 08:00:00,5.18032e+006
2006-11-25 08:00:00,5.24825e+006
2006-11-26 08:00:00,5.30453e+006
2006-11-27 08:00:00,5.37214e+006
2006-11-28 08:00:00,5.44542e+006
2006-11-29 08:00:00,5.51424e+006
2006-11-30 08:00:00,5.57283e+006
2006-12-01 08:00:00,5.63658e+006
2006-12-02 08:00:00,5.67018e+006
2006-12-03 08:00:00,5.68781e+006
2006-12-04 08:00:00,5.70557e+006
2006-12-05 08:00:00,5.81071e+006
2006-12-06 08:00:00,5.89032e+006
2006-12-07 08:00:00,5.95449e+006
2006-12-08 08:00:00,6.01337e+006
2006-12-09 08:00:00,6.03128e+006
2006-12-10 08:00:00,6.06919e+006
2006-12-11 08:00:00,6.13117e+006
2006-12-12 08:00:00,6.21587e+006
2006-12-13 08:00:00,6.31815e+006
2006-12-14 08:00:00,6.42407e+006
2006-12-15 08:00:00,6.50221e+006
2006-12-16 08:00:00,6.56844e+006
2006-12-17 08:00:00,6.65497e+006
2006-12-18 08:00:00,6.75295e+006
2006-12-19 08:00:00,6.82806e+006
2006-12-20 08:00:00,6.91319e+006
2006-12-21 08:00:00,7.00147e+006
2006-12-22 08:00:00,7.08473e+006
2006-12-23 08:00:00,7.14758e+006
2006-12-24 08:00:00,7.18934e+006
2006-12-25 08:00:00,7.2392e+006
2006-12-26 08:00:00,7.27553e+006
2006-12-27 08:00:00,7.30052e+006
2006-12-28 08:00:00,7.34442e+006
2006-12-29 08:00:00,7.38032e+006
2006-12-30 08:00:00,7.4056e+006
2006-12-31 08:00:00,7.47759e+006
2007-01-01 08:00:00,7.56377e+006
2007-01-02 08:00:00,7.63798e+006
2007-01-03 08:00:00,7.71461e+006
2007-01-04 08:00:00,7.80683e+006
2007-01-05 08:00:00,7.91064e+006
2007-01-06 08:00:00,7.99801e+006
2007-01-07 08:00:00,8.09756e+006
2007-01-08 08:00:00,8.19571e+006
2007-01-09 08:00:00,8.26163e+006
2007-01-10 08:00:00,8.36462e+006
2007-01-11 08:00:00,8.4297e+006
2007-01-12 08:00:00,8.52246e+006
2007-01-13 08:00:00,8.60606e+006
2007-01-14 08:00:00,8.65241e+006
2007-01-15 08:00:00,8.72395e+006
2007-01-16 08:00:00,8.8136e+006
2007-01-17 08:00:00,8.92191e+006
2007-01-18 08:00:00,8.98906e+006
2007-01-19 08:00:00,9.02543e+006
2007-01-20 08:00:00,9.08638e+006
2007-01-21 08:00:00,9.14412e+006
2007-01-22 08:00:00,9.19106e+006
2007-01-23 08:00:00,9.26453e+006
2007-01-24 08:00:00,9.3223e+006
2007-01-25 08:00:00,9.38857e+006
2007-01-26 08:00:00,9.46356e+006
2007-01-27 08:00:00,9.54096e+006
2007-01-28 08:00:00,9.61671e+006
2007-01-29 08:00:00,9.71777e+006
2007-01-30 08:00:00,9.81454e+006
2007-01-31 08:00:00,9.88653e+006
2007-02-01 08:00:00,9.93972e+006
2007-02-02 08:00:00,1.00063e+007
2007-02-03 08:00:00,1.00519e+007
2007-02-04 08:00:00,1.00973e+007
2007-02-05 08:00:00,1.01358e+007
2007-02-06 08:00:00,1.02364e+007
2007-02-07 08:00:00,1.02946e+007
2007-02-08 08:00:00,1.03828e+007
2007-02-09 08:00:00,1.04256e+007
2007-02-10 08:00:00,1.04797e+007
2007-02-11 08:00:00,1.05524e+007
2007-02-12 08:00:00,1.05977e+007
2007-02-13 08:00:00,1.06557e+007
2007-02-14 08:00:00,1.07311e+007
2007-02-15 08:00:00,1.08171e+007
2007-02-16 08:00:00,1.08907e+007
2007-02-17 08:00:00,1.09474e+007
2007-02-18 08:00:00,1.09968e+007
2007-02-19 08:00:00,1.10592e+007
2007-02-20 08:00:00,1.11499e+007
2007-02-21 08:00:00,1.12042e+007
2007-02-22 08:00:00,1.12459e+007
2007-02-23 08:00:00,1.13077e+007
2007-02-24 08:00:00,1.138e+007
2007-02-25 08:00:00,1.14408e+007
2007-02-26 08:00:00,1.14938e+007
2007-02-27 08:00:00,1.15588e+007
2007-02-28 08:00:00,1.16056e+007
2007-03-01 08:00:00,1.16704e+007
2007-03-02 08:00:00,1.17216e+007
2007-03-03 08:00:00,1.17715e+007
2007-03-04 08:00:00,1.18509e+007
2007-03-05 08:00:00,1.1928e+007
2007-03-06 08:00:00,1.19627e+007
2007-03-07 08:00:00,1.20219e+007
2007-03-08 08:00:00,1.20777e+007
2007-03-09 08:00:00,1.21144e+007
2007-03-10 08:00:00,1.21562e+007
2007-03-11 08:00:00,1.22028e+007
2007-03-12 08:00:00,1.22468e+007
2007-03-13 08:00:00,1.22733e+007
2007-03-14 08:00:00,1.23082e+007
2007-03-15 08:00:00,1.23448e+007
2007-03-16 08:00:00,1.2388e+007
2007-03-17 08:00:00,1.246e+007
2007-03-18 08:00:00,1.25165e+007
2007-03-19 08:00:00,1.25623e+007
2007-03-20 08:00:00,1.26231e+007
2007-03-21 08:00:00,1.2685e+007
2007-03-22 08:00:00,1.27515e+007
2007-03-23 08:00:00,1.28178e+007
2007-03-24 08:00:00,1.28618e+007
2007-03-25 08:00:00,1.2898e+007
2007-03-26 08:00:00,1.29292e+007
2007-03-27 08:00:00,1.29701e+007
2007-03-28 08:00:00,1.30031e+007
2007-03-29 08:00:00,1.3038e+007
2007-03-30 08:00:00,1.30768e+007
2007-03-31 08:00:00,1.30892e+007
