readtime,noaacode,temperature,humidity,dewpoint,windvelocity
1/2/2006 6:00,KCLM,41,87,37.4,0
1/3/2006 6:00,KCLM,32,93,30.2,5
1/3/2006 7:00,KCLM,30.2,100,30.2,3
1/3/2006 8:00,KCLM,35.6,93,33.8,0
1/3/2006 9:00,KCLM,33.8,93,32,4
1/3/2006 10:00,KCLM,35.6,93,33.8,3
1/3/2006 11:00,KCLM,39.2,93,37.4,4
1/3/2006 12:00,KCLM,42.8,81,37.4,0
1/3/2006 13:00,KCLM,44.6,70,35.6,12
1/3/2006 14:00,KCLM,44.6,75,37.4,0
1/3/2006 15:00,KCLM,46.4,75,39.2,0
1/3/2006 16:00,KCLM,46.4,65,35.6,10
1/3/2006 17:00,KCLM,44.6,70,35.6,6
1/3/2006 18:00,KCLM,44.6,81,39.2,9
1/3/2006 19:00,KCLM,42.8,81,37.4,7
1/3/2006 20:00,KCLM,41,87,37.4,3
1/3/2006 21:00,KCLM,44.6,75,37.4,11
1/3/2006 22:00,KCLM,42.8,87,39.2,10
1/3/2006 23:00,KCLM,42.8,81,37.4,6
1/4/2006 0:00,KCLM,37.4,100,37.4,4
1/4/2006 1:00,KCLM,37.4,93,35.6,4
1/4/2006 2:00,KCLM,35.6,93,33.8,6
1/4/2006 3:00,KCLM,35.6,93,33.8,4
1/4/2006 4:00,KCLM,35.6,93,33.8,6
1/4/2006 5:00,KCLM,35.6,93,33.8,7
1/4/2006 6:00,KCLM,33.8,100,33.8,0
1/4/2006 6:26,KCLM,33.8,86,30.2,6
1/4/2006 6:53,KCLM,35.6,93,33.8,0
1/4/2006 7:00,KCLM,35.6,93,33.8,3
1/4/2006 7:09,KCLM,35.6,93,33.8,0
1/4/2006 7:53,KCLM,35.6,93,33.8,0
1/4/2006 8:00,KCLM,35.6,93,33.8,0
1/4/2006 8:22,KCLM,37.4,93,35.6,4
1/4/2006 9:00,KCLM,35.6,100,35.6,0
1/4/2006 10:00,KCLM,39.2,93,37.4,0
1/4/2006 11:00,KCLM,44.6,87,41,0
1/4/2006 12:00,KCLM,44.6,81,39.2,0
1/4/2006 13:00,KCLM,44.6,87,41,0
1/4/2006 14:00,KCLM,44.6,81,39.2,5
1/4/2006 15:00,KCLM,44.6,75,37.4,0
1/4/2006 16:00,KCLM,42.8,87,39.2,4
1/4/2006 17:00,KCLM,44.6,75,37.4,6
1/4/2006 18:00,KCLM,42.8,81,37.4,4
1/4/2006 19:00,KCLM,42.8,81,37.4,5
1/4/2006 20:00,KCLM,42.8,81,37.4,4
1/4/2006 21:00,KCLM,39.2,93,37.4,0
1/4/2006 22:00,KCLM,46.4,65,35.6,8
1/4/2006 23:00,KCLM,46.4,75,39.2,3
1/5/2006 0:00,KCLM,44.6,81,39.2,0
1/5/2006 1:00,KCLM,44.6,81,39.2,5
1/5/2006 2:00,KCLM,44.6,93,42.8,7
1/5/2006 2:53,KCLM,44.6,93,42.8,5
1/5/2006 3:00,KCLM,44.6,93,42.8,4
1/5/2006 4:00,KCLM,44.6,93,42.8,3
1/5/2006 4:53,KCLM,46.4,93,44.6,5
1/5/2006 5:00,KCLM,46.4,93,44.6,6
1/5/2006 5:03,KCLM,46.4,93,44.6,0
1/5/2006 6:00,KCLM,46.4,93,44.6,4
1/5/2006 7:00,KCLM,50,87,46.4,10
1/5/2006 8:00,KCLM,48.2,93,46.4,5
1/5/2006 8:04,KCLM,50,93,48.2,6
1/5/2006 8:53,KCLM,48.2,100,48.2,5
1/5/2006 9:00,KCLM,48.2,100,48.2,3
1/5/2006 9:53,KCLM,48.2,100,48.2,5
1/5/2006 10:00,KCLM,48.2,100,48.2,0
1/5/2006 10:14,KCLM,50,93,48.2,5
1/5/2006 10:28,KCLM,50,93,48.2,0
1/5/2006 10:53,KCLM,50,93,48.2,3
1/5/2006 10:59,KCLM,50,93,48.2,0
1/5/2006 11:00,KCLM,50,93,48.2,3
1/5/2006 11:57,KCLM,50,93,48.2,0
1/5/2006 12:00,KCLM,50,93,48.2,0
1/5/2006 12:04,KCLM,50,93,48.2,0
1/5/2006 12:21,KCLM,50,93,48.2,3
1/5/2006 13:00,KCLM,48.2,100,48.2,5
1/5/2006 13:53,KCLM,48.2,100,48.2,3
1/5/2006 14:00,KCLM,50,93,48.2,0
1/5/2006 14:53,KCLM,48.2,100,48.2,0
1/5/2006 15:00,KCLM,48.2,100,48.2,0
1/5/2006 15:02,KCLM,48.2,100,48.2,0
1/5/2006 15:10,KCLM,48.2,93,46.4,3
1/5/2006 15:22,KCLM,48.2,100,48.2,3
1/5/2006 15:53,KCLM,48.2,93,46.4,0
1/5/2006 15:57,KCLM,48.2,93,46.4,0
1/5/2006 16:00,KCLM,48.2,93,46.4,5
1/5/2006 16:02,KCLM,48.2,93,46.4,0
1/5/2006 16:10,KCLM,48.2,93,46.4,0
1/5/2006 16:17,KCLM,48.2,93,46.4,0
1/5/2006 16:53,KCLM,48.2,93,46.4,3
1/5/2006 17:00,KCLM,46.4,100,46.4,0
1/5/2006 17:02,KCLM,48.2,93,46.4,0
1/5/2006 17:13,KCLM,48.2,93,46.4,0
1/5/2006 18:00,KCLM,46.4,100,46.4,0
1/5/2006 19:00,KCLM,46.4,100,46.4,0
