readtime,temperature,
1/1/2007 0:00,37.4,3
1/1/2007 1:00,37.4,3
1/1/2007 1:15,39.2,4
1/1/2007 2:00,39.2,4
1/1/2007 3:00,41,5
1/1/2007 4:00,39.2,4
1/1/2007 4:19,39.2,4
1/1/2007 5:00,41,5
1/1/2007 6:00,39.2,4
1/1/2007 6:18,39.2,4
1/1/2007 7:00,39.2,4
1/1/2007 7:53,39.2,4
1/1/2007 8:00,39.2,4
1/1/2007 8:13,39.2,4
1/1/2007 9:00,39.2,4
1/1/2007 9:53,41,5
1/1/2007 10:00,41,5
1/1/2007 10:07,41,5
1/1/2007 10:16,41,5
1/1/2007 10:53,42.8,6
1/1/2007 11:00,41,5
1/1/2007 12:00,42.8,6
1/1/2007 12:53,42.8,6
1/1/2007 13:00,42.8,6
1/1/2007 13:04,42.8,6
1/1/2007 14:00,42.8,6
1/1/2007 14:16,42.8,6
1/1/2007 15:00,42.8,6
1/1/2007 16:00,42.8,6
1/1/2007 16:53,42.8,6
1/1/2007 17:00,42.8,6
1/1/2007 17:17,42.8,6
1/1/2007 17:27,42.8,6
1/1/2007 17:53,42.8,6
1/1/2007 18:00,42.8,6
1/1/2007 18:09,42.8,6
1/1/2007 18:53,42.8,6
1/1/2007 19:00,42.8,6
1/1/2007 19:03,42.8,6
1/1/2007 20:00,42.8,6
1/1/2007 21:00,42.8,6
1/1/2007 22:00,44.6,7
1/1/2007 23:00,48.2,9
1/2/2007 0:00,46.4,8
1/2/2007 0:53,53.6,12
1/2/2007 1:00,51.8,11
1/2/2007 2:00,48.2,9
1/2/2007 3:00,46.4,8
1/2/2007 3:53,46.4,8
1/2/2007 4:00,46.4,8
1/2/2007 4:08,46.4,8
1/2/2007 5:00,46.4,8
1/2/2007 6:00,46.4,8
1/2/2007 6:53,46.4,8
1/2/2007 7:00,46.4,8
1/2/2007 7:19,46.4,8
1/2/2007 7:53,46.4,8
1/2/2007 8:00,46.4,8
1/2/2007 8:04,46.4,8
1/2/2007 8:07,46.4,8
1/2/2007 8:28,44.6,7
1/2/2007 8:53,46.4,8
1/2/2007 9:00,46.4,8
1/2/2007 9:24,46.4,8
1/2/2007 10:00,48.2,9
1/2/2007 10:06,48.2,9
1/2/2007 10:53,48.2,9
1/2/2007 11:00,48.2,9
1/2/2007 11:08,48.2,9
1/2/2007 11:53,51.8,11
1/2/2007 12:00,50,10
1/2/2007 12:07,50,10
1/2/2007 12:14,50,10
1/2/2007 12:21,50,10
1/2/2007 13:00,50,10
1/2/2007 13:55,50,10
1/2/2007 14:00,50,10
1/2/2007 14:11,50,10
1/2/2007 14:43,48.2,9
1/2/2007 14:53,48.2,9
1/2/2007 15:00,50,10
1/2/2007 15:09,48.2,9
1/2/2007 16:00,48.2,9
1/2/2007 17:00,48.2,9
1/2/2007 18:00,48.2,9
1/2/2007 19:00,44.6,7
1/2/2007 20:00,44.6,7
1/2/2007 21:00,46.4,8
1/2/2007 22:00,46.4,8
1/2/2007 23:00,44.6,7
1/3/2007 0:00,44.6,7
1/3/2007 1:00,44.6,7
1/3/2007 2:00,41,5
1/3/2007 2:53,42.8,6
1/3/2007 3:00,42.8,6
1/3/2007 3:15,42.8,6
1/3/2007 3:53,42.8,6
1/3/2007 4:00,42.8,6
1/3/2007 4:09,42.8,6
1/3/2007 4:53,42.8,6
1/3/2007 5:00,42.8,6
1/3/2007 5:53,42.8,6
1/3/2007 6:00,42.8,6
1/3/2007 7:00,42.8,6
1/3/2007 8:00,41,5
1/3/2007 9:00,42.8,6
1/3/2007 10:00,44.6,7
1/3/2007 11:00,46.4,8
1/3/2007 12:00,46.4,8
1/3/2007 13:00,46.4,8
1/3/2007 13:53,44.6,7
1/3/2007 14:00,44.6,7
1/3/2007 14:53,42.8,6
1/3/2007 15:00,42.8,6
1/3/2007 15:02,41,5
1/3/2007 16:00,42.8,6
1/3/2007 16:15,42.8,6
1/3/2007 16:53,41,5
1/3/2007 17:00,42.8,6
1/3/2007 18:00,41,5
1/3/2007 19:00,39.2,4
1/3/2007 20:00,39.2,4
1/3/2007 21:00,39.2,4
1/3/2007 22:00,39.2,4
1/3/2007 23:00,39.2,4
1/4/2007 0:00,39.2,4
1/4/2007 1:00,37.4,3
1/4/2007 1:07,39.2,4
1/4/2007 2:00,37.4,3
1/4/2007 2:06,37.4,3
1/4/2007 3:00,37.4,3
1/4/2007 3:04,37.4,3
1/4/2007 4:00,37.4,3
1/4/2007 4:53,37.4,3
1/4/2007 5:00,37.4,3
1/4/2007 5:14,37.4,3
1/4/2007 6:00,37.4,3
1/4/2007 7:00,37.4,3
1/4/2007 8:00,35.6,2
1/4/2007 8:14,37.4,3
1/4/2007 8:23,37.4,3
1/4/2007 9:00,37.4,3
1/4/2007 9:19,37.4,3
1/4/2007 9:27,37.4,3
1/4/2007 10:00,37.4,3
1/4/2007 11:00,41,5
1/4/2007 12:00,42.8,6
1/4/2007 13:00,42.8,6
1/4/2007 14:00,41,5
1/4/2007 15:00,39.2,4
1/4/2007 16:00,39.2,4
1/4/2007 17:00,37.4,3
1/4/2007 18:00,37.4,3
1/4/2007 19:00,37.4,3
1/4/2007 20:00,37.4,3
1/4/2007 21:00,37.4,3
1/4/2007 22:00,35.6,2
1/4/2007 23:00,37.4,3
1/5/2007 0:00,37.4,3
1/5/2007 1:00,37.4,3
1/5/2007 2:00,37.4,3
1/5/2007 3:00,37.4,3
1/5/2007 4:00,37.4,3
1/5/2007 5:00,39.2,4
1/5/2007 6:00,37.4,3
1/5/2007 7:00,37.4,3
1/5/2007 8:00,39.2,4
1/5/2007 9:00,37.4,3
1/5/2007 10:00,39.2,4
1/5/2007 11:00,41,5
1/5/2007 12:00,42.8,6
1/5/2007 12:25,42.8,6
1/5/2007 13:00,42.8,6
1/5/2007 14:00,41,5
1/5/2007 15:00,39.2,4
1/5/2007 16:00,39.2,4
1/5/2007 16:53,42.8,6
1/5/2007 17:00,42.8,6
1/5/2007 18:00,44.6,7
1/5/2007 18:05,44.6,7
1/5/2007 19:00,44.6,7
1/5/2007 20:00,42.8,6
1/5/2007 21:00,42.8,6
1/5/2007 22:00,46.4,8
1/5/2007 23:00,44.6,7
1/6/2007 0:00,39.2,4
1/6/2007 0:15,39.2,4
1/6/2007 1:00,39.2,4
1/6/2007 2:00,41,5
1/6/2007 3:00,41,5
1/6/2007 4:00,39.2,4
1/6/2007 5:00,41,5
1/6/2007 6:00,39.2,4
1/6/2007 7:00,41,5
1/6/2007 8:00,39.2,4
1/6/2007 9:00,39.2,4
1/6/2007 10:00,39.2,4
1/6/2007 11:00,41,5
1/6/2007 12:00,39.2,4
1/6/2007 13:00,42.8,6
1/6/2007 14:00,42.8,6
1/6/2007 15:00,44.6,7
1/6/2007 16:00,42.8,6
1/6/2007 17:00,42.8,6
1/6/2007 18:00,39.2,4
1/6/2007 19:00,37.4,3
1/6/2007 20:00,37.4,3
1/6/2007 21:00,37.4,3
1/6/2007 22:00,37.4,3
1/6/2007 23:00,37.4,3
1/6/2007 23:03,37.4,3
1/6/2007 23:22,39.2,4
1/7/2007 0:00,37.4,3
1/7/2007 1:00,39.2,4
1/7/2007 2:00,39.2,4
1/7/2007 3:00,39.2,4
1/7/2007 4:00,39.2,4
1/7/2007 4:53,44.6,7
1/7/2007 4:57,44.6,7
1/7/2007 5:00,42.8,6
1/7/2007 5:13,46.4,8
1/7/2007 5:29,46.4,8
1/7/2007 5:53,46.4,8
1/7/2007 6:00,46.4,8
1/7/2007 6:16,46.4,8
1/7/2007 6:53,46.4,8
1/7/2007 7:00,46.4,8
1/7/2007 7:13,46.4,8
1/7/2007 8:00,46.4,8
1/7/2007 8:11,46.4,8
1/7/2007 9:00,48.2,9
1/7/2007 9:03,46.4,8
1/7/2007 9:14,48.2,9
1/7/2007 10:00,50,10
1/7/2007 11:00,51.8,11
1/7/2007 12:00,50,10
1/7/2007 13:00,50,10
1/7/2007 14:00,48.2,9
1/7/2007 15:00,46.4,8
1/7/2007 16:00,46.4,8
1/7/2007 17:00,46.4,8
1/7/2007 18:00,44.6,7
1/7/2007 19:00,44.6,7
1/7/2007 20:00,44.6,7
1/7/2007 21:00,42.8,6
1/7/2007 22:00,42.8,6
1/7/2007 23:00,39.2,4
1/8/2007 0:00,39.2,4
1/8/2007 1:00,39.2,4
1/8/2007 2:00,39.2,4
1/8/2007 3:00,39.2,4
1/8/2007 4:00,39.2,4
1/8/2007 5:00,41,5
1/8/2007 6:00,35.6,2
1/8/2007 7:00,35.6,2
1/8/2007 8:00,37.4,3
1/8/2007 9:00,37.4,3
1/8/2007 10:00,39.2,4
1/8/2007 11:00,42.8,6
1/8/2007 12:00,42.8,6
1/8/2007 13:00,42.8,6
1/8/2007 14:00,42.8,6
1/8/2007 14:53,44.6,7
1/8/2007 15:00,44.6,7
1/8/2007 15:19,42.8,6
1/8/2007 16:00,42.8,6
1/8/2007 17:00,42.8,6
1/8/2007 18:00,42.8,6
1/8/2007 19:00,41,5
1/8/2007 20:00,41,5
1/8/2007 21:00,41,5
1/8/2007 22:00,41,5
1/8/2007 23:00,42.8,6
1/9/2007 0:00,42.8,6
1/9/2007 1:00,41,5
1/9/2007 2:00,39.2,4
1/9/2007 3:00,41,5
1/9/2007 3:04,39.2,4
1/9/2007 3:18,41,5
1/9/2007 4:00,41,5
1/9/2007 4:28,39.2,4
1/9/2007 5:00,39.2,4
1/9/2007 6:00,41.2,5.111111111
1/9/2007 7:00,43.2,6.222222222
1/9/2007 8:00,44.6,7
1/9/2007 8:11,44.6,7
1/9/2007 9:00,46.4,8
1/9/2007 10:00,46.4,8
1/9/2007 11:00,48.2,9
1/9/2007 12:00,48.2,9
1/9/2007 13:00,50,10
1/9/2007 13:06,48.2,9
1/9/2007 13:19,48.2,9
1/9/2007 13:53,46.4,8
1/9/2007 14:00,46.4,8
1/9/2007 14:01,46.4,8
1/9/2007 14:15,42.8,6
1/9/2007 14:29,41,5
1/9/2007 15:00,39.2,4
1/9/2007 15:53,39.2,4
1/9/2007 16:00,41,5
1/9/2007 16:14,39.2,4
1/9/2007 17:00,39.2,4
1/9/2007 17:46,37.4,3
1/9/2007 17:53,37.4,3
1/9/2007 18:00,37.4,3
1/9/2007 19:00,37.4,3
1/9/2007 20:00,35.6,2
1/9/2007 20:02,33.8,1
1/9/2007 21:00,35.6,2
1/9/2007 22:00,37.4,3
