# timestamp,measured_power_A
2009-01-01 00:00:00 PST,+2520.2579+498.6751j
2009-01-01 00:00:01 PST,+2520.2579+498.67529j
2009-01-01 00:00:05.000200 PST,+2520.296+498.68287j
2009-01-01 00:00:05.000400 PST,+2520.4766+498.98305j
2009-01-01 00:00:05.000600 PST,+2520.8192+499.53846j
2009-01-01 00:00:05.000800 PST,+2521.3122+500.33892j
2009-01-01 00:00:05.001000 PST,+2521.9479+501.37647j
2009-01-01 00:00:05.001200 PST,+2522.2612+502.55112j
2009-01-01 00:00:05.001400 PST,+2520.9888+500.4302j
2009-01-01 00:00:05.001600 PST,+2518.1782+495.51529j
2009-01-01 00:00:05.001800 PST,+2514.8608+490.09576j
2009-01-01 00:00:05.002000 PST,+2511.5688+484.79503j
2009-01-01 00:00:05.002200 PST,+2508.3562+479.52992j
2009-01-01 00:00:05.002400 PST,+2505.2151+474.29742j
2009-01-01 00:00:05.002600 PST,+2502.148+469.09753j
2009-01-01 00:00:05.002800 PST,+2499.1573+463.92915j
2009-01-01 00:00:05.003000 PST,+2496.245+458.79131j
2009-01-01 00:00:05.003200 PST,+2493.413+453.6831j
2009-01-01 00:00:05.003400 PST,+2490.6631+448.60369j
2009-01-01 00:00:05.003600 PST,+2487.9972+443.55232j
2009-01-01 00:00:05.003800 PST,+2485.4166+438.52828j
2009-01-01 00:00:05.004000 PST,+2482.9229+433.53095j
2009-01-01 00:00:05.004200 PST,+2480.5174+428.55974j
2009-01-01 00:00:05.004400 PST,+2478.2012+423.61414j
2009-01-01 00:00:05.004600 PST,+2475.9755+418.6937j
2009-01-01 00:00:05.004800 PST,+2473.841+413.79802j
2009-01-01 00:00:05.005000 PST,+2471.7986+408.92676j
2009-01-01 00:00:05.005200 PST,+2469.8489+404.07963j
2009-01-01 00:00:05.005400 PST,+2467.9926+399.2564j
2009-01-01 00:00:05.005600 PST,+2466.2299+394.45689j
2009-01-01 00:00:05.005800 PST,+2464.5611+389.68096j
2009-01-01 00:00:05.006000 PST,+2462.9865+384.92853j
2009-01-01 00:00:05.006200 PST,+2461.5061+380.19955j
2009-01-01 00:00:05.006400 PST,+2460.1196+375.49403j
2009-01-01 00:00:05.006600 PST,+2458.8271+370.81202j
2009-01-01 00:00:05.006800 PST,+2457.628+366.15361j
2009-01-01 00:00:05.007000 PST,+2456.522+361.5189j
2009-01-01 00:00:05.007200 PST,+2455.5086+356.90807j
2009-01-01 00:00:05.007400 PST,+2454.587+352.32131j
2009-01-01 00:00:05.007600 PST,+2453.7565+347.75885j
2009-01-01 00:00:05.007800 PST,+2453.0161+343.22094j
2009-01-01 00:00:05.008000 PST,+2452.365+338.70787j
2009-01-01 00:00:05.008200 PST,+2451.802+334.21996j
2009-01-01 00:00:05.008400 PST,+2451.326+329.75754j
2009-01-01 00:00:05.008600 PST,+2450.9356+325.32096j
2009-01-01 00:00:05.008800 PST,+2450.6295+320.91063j
2009-01-01 00:00:05.009000 PST,+2450.4063+316.52692j
2009-01-01 00:00:05.009200 PST,+2450.2644+312.17027j
2009-01-01 00:00:05.009400 PST,+2450.2022+307.84111j
2009-01-01 00:00:05.009600 PST,+2450.218+303.53988j
2009-01-01 00:00:05.009800 PST,+2450.31+299.26703j
2009-01-01 00:00:05.010000 PST,+2450.4764+295.02305j
2009-01-01 00:00:05.010200 PST,+2450.7153+290.8084j
2009-01-01 00:00:05.010400 PST,+2451.0247+286.62358j
2009-01-01 00:00:05.010600 PST,+2451.4026+282.46905j
2009-01-01 00:00:05.010800 PST,+2451.8468+278.34533j
2009-01-01 00:00:05.011000 PST,+2452.3553+274.25289j
2009-01-01 00:00:05.011200 PST,+2452.9259+270.19223j
2009-01-01 00:00:05.011400 PST,+2453.5563+266.16384j
2009-01-01 00:00:05.011600 PST,+2454.2443+262.16821j
2009-01-01 00:00:05.011800 PST,+2454.9876+258.20581j
2009-01-01 00:00:05.012000 PST,+2455.7837+254.27712j
2009-01-01 00:00:05.012200 PST,+2456.6304+250.38262j
2009-01-01 00:00:05.012400 PST,+2457.5252+246.52275j
2009-01-01 00:00:05.012600 PST,+2458.4658+242.69797j
2009-01-01 00:00:05.012800 PST,+2459.4496+238.90872j
2009-01-01 00:00:05.013000 PST,+2460.4743+235.15541j
2009-01-01 00:00:05.013200 PST,+2461.5374+231.43847j
2009-01-01 00:00:05.013400 PST,+2462.6363+227.75827j
2009-01-01 00:00:05.013600 PST,+2463.7687+224.11522j
2009-01-01 00:00:05.013800 PST,+2464.932+220.50966j
2009-01-01 00:00:05.014000 PST,+2466.1238+216.94194j
2009-01-01 00:00:05.014200 PST,+2467.3416+213.41239j
2009-01-01 00:00:05.014400 PST,+2468.583+209.92132j
2009-01-01 00:00:05.014600 PST,+2469.8455+206.46901j
2009-01-01 00:00:05.014800 PST,+2471.1266+203.05573j
2009-01-01 00:00:05.015000 PST,+2472.4241+199.68173j
2009-01-01 00:00:05.015200 PST,+2473.7354+196.34722j
2009-01-01 00:00:05.015400 PST,+2475.0583+193.05241j
2009-01-01 00:00:05.015600 PST,+2476.3903+189.79747j
2009-01-01 00:00:05.015800 PST,+2477.7293+186.58256j
2009-01-01 00:00:05.016000 PST,+2479.0728+183.40781j
2009-01-01 00:00:05.016200 PST,+2480.4188+180.27332j
2009-01-01 00:00:05.016400 PST,+2481.7649+177.17917j
2009-01-01 00:00:05.016600 PST,+2483.1091+174.12543j
2009-01-01 00:00:05.016800 PST,+2484.4492+171.11211j
2009-01-01 00:00:05.017000 PST,+2485.7832+168.13924j
2009-01-01 00:00:05.017200 PST,+2487.109+165.20679j
2009-01-01 00:00:05.017400 PST,+2488.4247+162.31472j
2009-01-01 00:00:05.017600 PST,+2489.7283+159.46296j
2009-01-01 00:00:05.017800 PST,+2491.018+156.65142j
2009-01-01 00:00:05.018000 PST,+2492.292+153.87999j
2009-01-01 00:00:05.018200 PST,+2493.5484+151.14853j
2009-01-01 00:00:05.018400 PST,+2494.7857+148.45686j
2009-01-01 00:00:05.018600 PST,+2496.0022+145.8048j
2009-01-01 00:00:05.018800 PST,+2497.1962+143.19214j
2009-01-01 00:00:05.019000 PST,+2498.3663+140.61864j
2009-01-01 00:00:05.019200 PST,+2499.511+138.08405j
2009-01-01 00:00:05.019400 PST,+2500.629+135.58808j
2009-01-01 00:00:05.019600 PST,+2501.7188+133.13044j
2009-01-01 00:00:05.019800 PST,+2502.7792+130.71079j
2009-01-01 00:00:05.020000 PST,+2503.8091+128.3288j
2009-01-01 00:00:05.020200 PST,+2504.8072+125.98409j
2009-01-01 00:00:05.020400 PST,+2505.7726+123.67628j
2009-01-01 00:00:05.020600 PST,+2506.7041+121.40497j
2009-01-01 00:00:05.020800 PST,+2507.601+119.16973j
