# timestamp,measured_power_B
2009-01-01 00:00:00 PST,+3947.3265+780.18377j
2009-01-01 00:00:01 PST,+3947.3264+780.18504j
2009-01-01 00:00:05.000200 PST,+3947.386+780.1969j
2009-01-01 00:00:05.000400 PST,+3947.6682+780.66553j
2009-01-01 00:00:05.000600 PST,+3948.2036+781.53267j
2009-01-01 00:00:05.000800 PST,+3948.9737+782.78245j
2009-01-01 00:00:05.001000 PST,+3949.9669+784.40246j
2009-01-01 00:00:05.001200 PST,+3950.4545+786.23626j
2009-01-01 00:00:05.001400 PST,+3948.4658+782.92558j
2009-01-01 00:00:05.001600 PST,+3944.0755+775.25274j
2009-01-01 00:00:05.001800 PST,+3938.894+766.7912j
2009-01-01 00:00:05.002000 PST,+3933.7517+758.51453j
2009-01-01 00:00:05.002200 PST,+3928.7331+750.29312j
2009-01-01 00:00:05.002400 PST,+3923.8259+742.12232j
2009-01-01 00:00:05.002600 PST,+3919.0341+734.00211j
2009-01-01 00:00:05.002800 PST,+3914.3613+725.93078j
2009-01-01 00:00:05.003000 PST,+3909.8107+717.90682j
2009-01-01 00:00:05.003200 PST,+3905.3854+709.92883j
2009-01-01 00:00:05.003400 PST,+3901.0882+701.99551j
2009-01-01 00:00:05.003600 PST,+3896.9218+694.10569j
2009-01-01 00:00:05.003800 PST,+3892.8886+686.25826j
2009-01-01 00:00:05.004000 PST,+3888.9908+678.45226j
2009-01-01 00:00:05.004200 PST,+3885.2306+670.68677j
2009-01-01 00:00:05.004400 PST,+3881.6097+662.96102j
2009-01-01 00:00:05.004600 PST,+3878.1298+655.27429j
2009-01-01 00:00:05.004800 PST,+3874.7923+647.62597j
2009-01-01 00:00:05.005000 PST,+3871.5985+640.01553j
2009-01-01 00:00:05.005200 PST,+3868.5494+632.44253j
2009-01-01 00:00:05.005400 PST,+3865.6458+624.90662j
2009-01-01 00:00:05.005600 PST,+3862.8884+617.40751j
2009-01-01 00:00:05.005800 PST,+3860.2777+609.94499j
2009-01-01 00:00:05.006000 PST,+3857.8138+602.51894j
2009-01-01 00:00:05.006200 PST,+3855.4968+595.1293j
2009-01-01 00:00:05.006400 PST,+3853.3266+587.77608j
2009-01-01 00:00:05.006600 PST,+3851.3029+580.45935j
2009-01-01 00:00:05.006800 PST,+3849.4252+573.17925j
2009-01-01 00:00:05.007000 PST,+3847.6927+565.93599j
2009-01-01 00:00:05.007200 PST,+3846.1047+558.7298j
2009-01-01 00:00:05.007400 PST,+3844.6601+551.56101j
2009-01-01 00:00:05.007600 PST,+3843.3577+544.42997j
2009-01-01 00:00:05.007800 PST,+3842.1961+537.33708j
2009-01-01 00:00:05.008000 PST,+3841.1738+530.2828j
2009-01-01 00:00:05.008200 PST,+3840.2891+523.26762j
2009-01-01 00:00:05.008400 PST,+3839.5403+516.29208j
2009-01-01 00:00:05.008600 PST,+3838.9252+509.35672j
2009-01-01 00:00:05.008800 PST,+3838.4418+502.46217j
2009-01-01 00:00:05.009000 PST,+3838.0878+495.60904j
2009-01-01 00:00:05.009200 PST,+3837.8609+488.798j
2009-01-01 00:00:05.009400 PST,+3837.7585+482.02972j
2009-01-01 00:00:05.009600 PST,+3837.7779+475.30491j
2009-01-01 00:00:05.009800 PST,+3837.9164+468.62428j
2009-01-01 00:00:05.010000 PST,+3838.1712+461.98857j
2009-01-01 00:00:05.010200 PST,+3838.5393+455.39853j
2009-01-01 00:00:05.010400 PST,+3839.0176+448.85491j
2009-01-01 00:00:05.010600 PST,+3839.6029+442.35849j
2009-01-01 00:00:05.010800 PST,+3840.292+435.91002j
2009-01-01 00:00:05.011000 PST,+3841.0816+429.51029j
2009-01-01 00:00:05.011200 PST,+3841.9682+423.16006j
2009-01-01 00:00:05.011400 PST,+3842.9484+416.8601j
2009-01-01 00:00:05.011600 PST,+3844.0186+410.61118j
2009-01-01 00:00:05.011800 PST,+3845.1753+404.41405j
2009-01-01 00:00:05.012000 PST,+3846.4148+398.26946j
2009-01-01 00:00:05.012200 PST,+3847.7334+392.17815j
2009-01-01 00:00:05.012400 PST,+3849.1273+386.14082j
2009-01-01 00:00:05.012600 PST,+3850.5928+380.1582j
2009-01-01 00:00:05.012800 PST,+3852.126+374.23096j
2009-01-01 00:00:05.013000 PST,+3853.7233+368.35977j
2009-01-01 00:00:05.013200 PST,+3855.3806+362.54528j
2009-01-01 00:00:05.013400 PST,+3857.0942+356.78811j
2009-01-01 00:00:05.013600 PST,+3858.8602+351.08886j
2009-01-01 00:00:05.013800 PST,+3860.6748+345.4481j
2009-01-01 00:00:05.014000 PST,+3862.534+339.86637j
2009-01-01 00:00:05.014200 PST,+3864.4341+334.34419j
2009-01-01 00:00:05.014400 PST,+3866.3711+328.88204j
2009-01-01 00:00:05.014600 PST,+3868.3414+323.48038j
2009-01-01 00:00:05.014800 PST,+3870.3411+318.13962j
2009-01-01 00:00:05.015000 PST,+3872.3664+312.86015j
2009-01-01 00:00:05.015200 PST,+3874.4136+307.64233j
2009-01-01 00:00:05.015400 PST,+3876.4791+302.48647j
2009-01-01 00:00:05.015600 PST,+3878.5591+297.39285j
2009-01-01 00:00:05.015800 PST,+3880.6502+292.36172j
2009-01-01 00:00:05.016000 PST,+3882.7487+287.39328j
2009-01-01 00:00:05.016200 PST,+3884.8511+282.48771j
2009-01-01 00:00:05.016400 PST,+3886.9541+277.64514j
2009-01-01 00:00:05.016600 PST,+3889.0543+272.86566j
2009-01-01 00:00:05.016800 PST,+3891.1483+268.14932j
2009-01-01 00:00:05.017000 PST,+3893.233+263.49614j
2009-01-01 00:00:05.017200 PST,+3895.3051+258.9061j
2009-01-01 00:00:05.017400 PST,+3897.3617+254.37914j
2009-01-01 00:00:05.017600 PST,+3899.3996+249.91516j
2009-01-01 00:00:05.017800 PST,+3901.416+245.51401j
2009-01-01 00:00:05.018000 PST,+3903.4081+241.17553j
2009-01-01 00:00:05.018200 PST,+3905.3731+236.89949j
2009-01-01 00:00:05.018400 PST,+3907.3083+232.68565j
2009-01-01 00:00:05.018600 PST,+3909.2112+228.53372j
2009-01-01 00:00:05.018800 PST,+3911.0793+224.44336j
2009-01-01 00:00:05.019000 PST,+3912.9103+220.41421j
2009-01-01 00:00:05.019200 PST,+3914.7017+216.44588j
2009-01-01 00:00:05.019400 PST,+3916.4516+212.53793j
2009-01-01 00:00:05.019600 PST,+3918.1577+208.6899j
2009-01-01 00:00:05.019800 PST,+3919.8181+204.90128j
2009-01-01 00:00:05.020000 PST,+3921.431+201.17153j
2009-01-01 00:00:05.020200 PST,+3922.9945+197.5001j
2009-01-01 00:00:05.020400 PST,+3924.5069+193.88638j
2009-01-01 00:00:05.020600 PST,+3925.9668+190.32974j
2009-01-01 00:00:05.020800 PST,+3927.3725+186.82953j
2009-01-01 00:00:05.021000 PST,+3928.7228+183.38506j
2009-01-01 00:00:05.021200 PST,+3930.0164+179.99562j
2009-01-01 00:00:05.021400 PST,+3931.2522+176.66048j
2009-01-01 00:00:05.021600 PST,+3932.429+173.37886j
2009-01-01 00:00:05.021800 PST,+3933.546+170.14997j
2009-01-01 00:00:05.022000 PST,+3934.6023+166.97302j
2009-01-01 00:00:05.022200 PST,+3935.597+163.84716j
2009-01-01 00:00:05.022400 PST,+3936.5297+160.77154j
2009-01-01 00:00:05.022600 PST,+3937.3998+157.74528j
2009-01-01 00:00:05.022800 PST,+3938.2067+154.76751j
2009-01-01 00:00:05.023000 PST,+3938.9502+151.8373j
2009-01-01 00:00:05.023200 PST,+3939.63+148.95374j
2009-01-01 00:00:05.023400 PST,+3940.246+146.11588j
2009-01-01 00:00:05.023600 PST,+3940.798+143.32277j
2009-01-01 00:00:05.023800 PST,+3941.2862+140.57345j
2009-01-01 00:00:05.024000 PST,+3941.7106+137.86694j
2009-01-01 00:00:05.024200 PST,+3942.0715+135.20226j
