# timestamp,measured_power_C
2009-01-01 00:00:00 PST,+4910.7308+969.58933j
2009-01-01 00:00:01 PST,+4910.7306+969.59227j
2009-01-01 00:00:05.000200 PST,+4910.8048+969.60701j
2009-01-01 00:00:05.000400 PST,+4911.1554+970.18884j
2009-01-01 00:00:05.000600 PST,+4911.8203+971.26545j
2009-01-01 00:00:05.000800 PST,+4912.7769+972.81718j
2009-01-01 00:00:05.001000 PST,+4914.0104+974.82862j
2009-01-01 00:00:05.001200 PST,+4914.6145+977.10534j
2009-01-01 00:00:05.001400 PST,+4912.1435+972.99526j
2009-01-01 00:00:05.001600 PST,+4906.6913+963.46934j
2009-01-01 00:00:05.001800 PST,+4900.2567+952.96367j
2009-01-01 00:00:05.002000 PST,+4893.8705+942.68705j
2009-01-01 00:00:05.002200 PST,+4887.6377+932.47874j
2009-01-01 00:00:05.002400 PST,+4881.5431+922.33295j
2009-01-01 00:00:05.002600 PST,+4875.5915+912.2497j
2009-01-01 00:00:05.002800 PST,+4869.7875+902.22685j
2009-01-01 00:00:05.003000 PST,+4864.135+892.26252j
2009-01-01 00:00:05.003200 PST,+4858.6379+882.35499j
2009-01-01 00:00:05.003400 PST,+4853.2996+872.50265j
2009-01-01 00:00:05.003600 PST,+4848.1236+862.70405j
2009-01-01 00:00:05.003800 PST,+4843.1128+852.95783j
2009-01-01 00:00:05.004000 PST,+4838.27+843.26276j
2009-01-01 00:00:05.004200 PST,+4833.5977+833.61776j
2009-01-01 00:00:05.004400 PST,+4829.0984+824.02183j
2009-01-01 00:00:05.004600 PST,+4824.7739+814.47411j
2009-01-01 00:00:05.004800 PST,+4820.6261+804.97384j
2009-01-01 00:00:05.005000 PST,+4816.6566+795.52036j
2009-01-01 00:00:05.005200 PST,+4812.8666+786.11313j
2009-01-01 00:00:05.005400 PST,+4809.2572+776.75171j
2009-01-01 00:00:05.005600 PST,+4805.8292+767.43575j
2009-01-01 00:00:05.005800 PST,+4802.5831+758.16501j
2009-01-01 00:00:05.006000 PST,+4799.5193+748.93933j
2009-01-01 00:00:05.006200 PST,+4796.6378+739.75864j
2009-01-01 00:00:05.006400 PST,+4793.9385+730.62296j
2009-01-01 00:00:05.006600 PST,+4791.4209+721.53238j
2009-01-01 00:00:05.006800 PST,+4789.0846+712.48708j
2009-01-01 00:00:05.007000 PST,+4786.9285+703.4873j
2009-01-01 00:00:05.007200 PST,+4784.9518+694.53338j
2009-01-01 00:00:05.007400 PST,+4783.153+685.62569j
2009-01-01 00:00:05.007600 PST,+4781.5308+676.76468j
2009-01-01 00:00:05.007800 PST,+4780.0834+667.95086j
2009-01-01 00:00:05.008000 PST,+4778.809+659.1848j
2009-01-01 00:00:05.008200 PST,+4777.7054+650.46711j
2009-01-01 00:00:05.008400 PST,+4776.7705+641.79845j
2009-01-01 00:00:05.008600 PST,+4776.0016+633.17954j
2009-01-01 00:00:05.008800 PST,+4775.3963+624.61112j
2009-01-01 00:00:05.009000 PST,+4774.9517+616.09398j
2009-01-01 00:00:05.009200 PST,+4774.6649+607.62893j
2009-01-01 00:00:05.009400 PST,+4774.5327+599.21684j
2009-01-01 00:00:05.009600 PST,+4774.5519+590.85856j
2009-01-01 00:00:05.009800 PST,+4774.719+582.55501j
2009-01-01 00:00:05.010000 PST,+4775.0305+574.3071j
2009-01-01 00:00:05.010200 PST,+4775.4828+566.11576j
2009-01-01 00:00:05.010400 PST,+4776.072+557.98193j
2009-01-01 00:00:05.010600 PST,+4776.7941+549.90658j
2009-01-01 00:00:05.010800 PST,+4777.6453+541.89066j
2009-01-01 00:00:05.011000 PST,+4778.6213+533.93513j
2009-01-01 00:00:05.011200 PST,+4779.718+526.04097j
2009-01-01 00:00:05.011400 PST,+4780.9309+518.20912j
2009-01-01 00:00:05.011600 PST,+4782.2558+510.44055j
2009-01-01 00:00:05.011800 PST,+4783.6881+502.73619j
2009-01-01 00:00:05.012000 PST,+4785.2234+495.09697j
2009-01-01 00:00:05.012200 PST,+4786.857+487.52383j
2009-01-01 00:00:05.012400 PST,+4788.5844+480.01765j
2009-01-01 00:00:05.012600 PST,+4790.4008+472.57931j
2009-01-01 00:00:05.012800 PST,+4792.3015+465.20968j
2009-01-01 00:00:05.013000 PST,+4794.2819+457.90958j
2009-01-01 00:00:05.013200 PST,+4796.337+450.67983j
2009-01-01 00:00:05.013400 PST,+4798.4622+443.5212j
2009-01-01 00:00:05.013600 PST,+4800.6527+436.43445j
2009-01-01 00:00:05.013800 PST,+4802.9036+429.42027j
2009-01-01 00:00:05.014000 PST,+4805.2102+422.47937j
2009-01-01 00:00:05.014200 PST,+4807.5677+415.61237j
2009-01-01 00:00:05.014400 PST,+4809.9713+408.81989j
2009-01-01 00:00:05.014600 PST,+4812.4164+402.1025j
2009-01-01 00:00:05.014800 PST,+4814.8982+395.46071j
2009-01-01 00:00:05.015000 PST,+4817.4121+388.89503j
2009-01-01 00:00:05.015200 PST,+4819.9534+382.40589j
2009-01-01 00:00:05.015400 PST,+4822.5175+375.99369j
2009-01-01 00:00:05.015600 PST,+4825.1+369.65878j
2009-01-01 00:00:05.015800 PST,+4827.6964+363.40148j
2009-01-01 00:00:05.016000 PST,+4830.3022+357.22205j
2009-01-01 00:00:05.016200 PST,+4832.9132+351.1207j
2009-01-01 00:00:05.016400 PST,+4835.5251+345.09761j
2009-01-01 00:00:05.016600 PST,+4838.1336+339.15289j
2009-01-01 00:00:05.016800 PST,+4840.7348+333.28661j
2009-01-01 00:00:05.017000 PST,+4843.3246+327.49882j
2009-01-01 00:00:05.017200 PST,+4845.899+321.78947j
2009-01-01 00:00:05.017400 PST,+4848.4543+316.1585j
2009-01-01 00:00:05.017600 PST,+4850.9868+310.60579j
2009-01-01 00:00:05.017800 PST,+4853.4927+305.13118j
2009-01-01 00:00:05.018000 PST,+4855.9686+299.73444j
2009-01-01 00:00:05.018200 PST,+4858.411+294.41532j
2009-01-01 00:00:05.018400 PST,+4860.8167+289.17351j
2009-01-01 00:00:05.018600 PST,+4863.1825+284.00865j
2009-01-01 00:00:05.018800 PST,+4865.5053+278.92034j
2009-01-01 00:00:05.019000 PST,+4867.7821+273.90813j
2009-01-01 00:00:05.019200 PST,+4870.0102+268.97154j
2009-01-01 00:00:05.019400 PST,+4872.1867+264.11002j
2009-01-01 00:00:05.019600 PST,+4874.3091+259.32301j
2009-01-01 00:00:05.019800 PST,+4876.3749+254.60988j
2009-01-01 00:00:05.020000 PST,+4878.3818+249.96997j
2009-01-01 00:00:05.020200 PST,+4880.3276+245.40258j
2009-01-01 00:00:05.020400 PST,+4882.2102+240.90698j
2009-01-01 00:00:05.020600 PST,+4884.0276+236.48238j
2009-01-01 00:00:05.020800 PST,+4885.778+232.12798j
2009-01-01 00:00:05.021000 PST,+4887.4598+227.84292j
2009-01-01 00:00:05.021200 PST,+4889.0712+223.62633j
2009-01-01 00:00:05.021400 PST,+4890.6109+219.47729j
2009-01-01 00:00:05.021600 PST,+4892.0776+215.39486j
2009-01-01 00:00:05.021800 PST,+4893.4701+211.37805j
2009-01-01 00:00:05.022000 PST,+4894.7872+207.42586j
2009-01-01 00:00:05.022200 PST,+4896.0282+203.53727j
2009-01-01 00:00:05.022400 PST,+4897.1922+199.71121j
2009-01-01 00:00:05.022600 PST,+4898.2784+195.9466j
2009-01-01 00:00:05.022800 PST,+4899.2864+192.24234j
2009-01-01 00:00:05.023000 PST,+4900.2156+188.5973j
2009-01-01 00:00:05.023200 PST,+4901.0658+185.01033j
2009-01-01 00:00:05.023400 PST,+4901.8368+181.48028j
2009-01-01 00:00:05.023600 PST,+4902.5285+178.00595j
2009-01-01 00:00:05.023800 PST,+4903.1409+174.58615j
2009-01-01 00:00:05.024000 PST,+4903.6742+171.21968j
2009-01-01 00:00:05.024200 PST,+4904.1286+167.9053j
2009-01-01 00:00:05.024400 PST,+4904.5044+164.64179j
2009-01-01 00:00:05.024600 PST,+4904.8022+161.42789j
2009-01-01 00:00:05.024800 PST,+4905.0224+158.26237j
2009-01-01 00:00:05.025000 PST,+4905.1659+155.14395j
2009-01-01 00:00:05.025200 PST,+4905.2332+152.07138j
2009-01-01 00:00:05.025400 PST,+4905.2254+149.0434j
2009-01-01 00:00:05.025600 PST,+4905.1433+146.05872j
2009-01-01 00:00:05.025800 PST,+4904.988+143.11608j
2009-01-01 00:00:05.026000 PST,+4904.7606+140.21422j
2009-01-01 00:00:05.026200 PST,+4904.4623+137.35186j
2009-01-01 00:00:05.026400 PST,+4904.0944+134.52775j
2009-01-01 00:00:05.026600 PST,+4903.6582+131.74062j
2009-01-01 00:00:05.026800 PST,+4903.1553+128.98921j
2009-01-01 00:00:05.027000 PST,+4902.5871+126.27229j
2009-01-01 00:00:05.027200 PST,+4901.9552+123.58861j
2009-01-01 00:00:05.027400 PST,+4901.2612+120.93696j
2009-01-01 00:00:05.027600 PST,+4900.5068+118.3161j
2009-01-01 00:00:05.027800 PST,+4899.6938+115.72483j
2009-01-01 00:00:05.028000 PST,+4898.8239+113.16197j
2009-01-01 00:00:05.028200 PST,+4897.8991+110.62633j
2009-01-01 00:00:05.028400 PST,+4896.9212+108.11674j
2009-01-01 00:00:05.028600 PST,+4895.8922+105.63207j
2009-01-01 00:00:05.028800 PST,+4894.814+103.17119j
2009-01-01 00:00:05.029000 PST,+4893.6887+100.73297j
2009-01-01 00:00:05.029200 PST,+4892.5183+98.316327j
2009-01-01 00:00:05.029400 PST,+4891.305+95.920189j
2009-01-01 00:00:05.029600 PST,+4890.0507+93.5435j
2009-01-01 00:00:05.029800 PST,+4888.7577+91.18523j
2009-01-01 00:00:05.030000 PST,+4887.428+88.844368j
2009-01-01 00:00:05.030200 PST,+4886.0639+86.519928j
2009-01-01 00:00:05.030400 PST,+4884.6676+84.210947j
2009-01-01 00:00:05.030600 PST,+4883.2411+81.916484j
2009-01-01 00:00:05.030800 PST,+4881.7868+79.635626j
2009-01-01 00:00:05.031000 PST,+4880.3067+77.367483j
2009-01-01 00:00:05.031200 PST,+4878.8031+75.111191j
2009-01-01 00:00:05.031400 PST,+4877.2783+72.865912j
2009-01-01 00:00:05.031600 PST,+4875.7343+70.630835j
2009-01-01 00:00:05.031800 PST,+4874.1734+68.405176j
2009-01-01 00:00:05.032000 PST,+4872.5977+66.188179j
2009-01-01 00:00:05.032200 PST,+4871.0093+63.979114j
2009-01-01 00:00:05.032400 PST,+4869.4105+61.777279j
2009-01-01 00:00:05.032600 PST,+4867.8034+59.582003j
2009-01-01 00:00:05.032800 PST,+4866.1899+57.392638j
2009-01-01 00:00:05.033000 PST,+4864.5723+55.20857j
2009-01-01 00:00:05.033200 PST,+4862.9526+53.029211j
2009-01-01 00:00:05.033400 PST,+4861.3327+50.854001j
2009-01-01 00:00:05.033600 PST,+4859.7147+48.682409j
2009-01-01 00:00:05.033800 PST,+4858.1005+46.513935j
2009-01-01 00:00:05.034000 PST,+4856.492+44.348106j
2009-01-01 00:00:05.034200 PST,+4854.8912+42.184476j
2009-01-01 00:00:05.034400 PST,+4853.2999+40.02263j
2009-01-01 00:00:05.034600 PST,+4851.7198+37.862182j
2009-01-01 00:00:05.034800 PST,+4850.1528+35.702771j
2009-01-01 00:00:05.035000 PST,+4848.6005+33.544067j
2009-01-01 00:00:05.035200 PST,+4847.0646+31.385768j
2009-01-01 00:00:05.035400 PST,+4845.5468+29.227597j
2009-01-01 00:00:05.035600 PST,+4844.0487+27.069307j
2009-01-01 00:00:05.035800 PST,+4842.5717+24.910677j
2009-01-01 00:00:05.036000 PST,+4841.1174+22.751512j
2009-01-01 00:00:05.036200 PST,+4839.6871+20.591645j
2009-01-01 00:00:05.036400 PST,+4838.2823+18.430934j
2009-01-01 00:00:05.036600 PST,+4836.9042+16.269263j
2009-01-01 00:00:05.036800 PST,+4835.5542+14.10654j
2009-01-01 00:00:05.037000 PST,+4834.2335+11.9427j
2009-01-01 00:00:05.037200 PST,+4832.9431+9.7776985j
2009-01-01 00:00:05.037400 PST,+4831.6843+7.6115186j
2009-01-01 00:00:05.037600 PST,+4830.458+5.4441646j
2009-01-01 00:00:05.037800 PST,+4829.2653+3.2756636j
2009-01-01 00:00:05.038000 PST,+4828.1071+1.1060649j
2009-01-01 00:00:05.038200 PST,+4826.9842-1.0645606j
2009-01-01 00:00:05.038400 PST,+4825.8974-3.2361212j
2009-01-01 00:00:05.038600 PST,+4824.8476-5.4085049j
2009-01-01 00:00:05.038800 PST,+4823.8354-7.5815789j
2009-01-01 00:00:05.039000 PST,+4822.8615-9.7551947j
2009-01-01 00:00:05.039200 PST,+4821.9264-11.929182j
2009-01-01 00:00:05.039400 PST,+4821.0307-14.103354j
2009-01-01 00:00:05.039600 PST,+4820.1749-16.277507j
2009-01-01 00:00:05.039800 PST,+4819.3593-18.451421j
2009-01-01 00:00:05.040000 PST,+4818.5844-20.624859j
2009-01-01 00:00:05.040200 PST,+4817.8504-22.797571j
2009-01-01 00:00:05.040400 PST,+4817.1576-24.969292j
2009-01-01 00:00:05.040600 PST,+4816.5061-27.139742j
2009-01-01 00:00:05.040800 PST,+4815.8962-29.30863j
2009-01-01 00:00:05.041000 PST,+4815.3279-31.475653j
2009-01-01 00:00:05.041200 PST,+4814.8012-33.640494j
2009-01-01 00:00:05.041400 PST,+4814.3161-35.802829j
2009-01-01 00:00:05.041600 PST,+4813.8726-37.96232j
2009-01-01 00:00:05.041800 PST,+4813.4705-40.118623j
2009-01-01 00:00:05.042000 PST,+4813.1097-42.271385j
2009-01-01 00:00:05.042200 PST,+4812.7899-44.420243j
2009-01-01 00:00:05.042400 PST,+4812.511-46.564828j
2009-01-01 00:00:05.042600 PST,+4812.2726-48.704766j
2009-01-01 00:00:05.042800 PST,+4812.0743-50.839675j
2009-01-01 00:00:05.043000 PST,+4811.9158-52.96917j
2009-01-01 00:00:05.043200 PST,+4811.7966-55.092861j
2009-01-01 00:00:05.043400 PST,+4811.7163-57.210353j
2009-01-01 00:00:05.043600 PST,+4811.6743-59.32125j
2009-01-01 00:00:05.043800 PST,+4811.6702-61.425152j
2009-01-01 00:00:05.044000 PST,+4811.7032-63.521659j
2009-01-01 00:00:05.044200 PST,+4811.7729-65.610368j
2009-01-01 00:00:05.044400 PST,+4811.8785-67.690879j
2009-01-01 00:00:05.044600 PST,+4812.0194-69.762788j
2009-01-01 00:00:05.044800 PST,+4812.1948-71.825694j
2009-01-01 00:00:05.045000 PST,+4812.404-73.879199j
2009-01-01 00:00:05.045200 PST,+4812.6462-75.922905j
2009-01-01 00:00:05.045400 PST,+4812.9206-77.956416j
2009-01-01 00:00:05.045600 PST,+4813.2264-79.979341j
2009-01-01 00:00:05.045800 PST,+4813.5628-81.991292j
2009-01-01 00:00:05.046000 PST,+4813.9288-83.991885j
2009-01-01 00:00:05.046200 PST,+4814.3236-85.980742j
2009-01-01 00:00:05.046400 PST,+4814.7463-87.957488j
2009-01-01 00:00:05.046600 PST,+4815.1959-89.921755j
2009-01-01 00:00:05.046800 PST,+4815.6715-91.873182j
2009-01-01 00:00:05.047000 PST,+4816.1722-93.811413j
2009-01-01 00:00:05.047200 PST,+4816.6969-95.7361j
2009-01-01 00:00:05.047400 PST,+4817.2447-97.646903j
2009-01-01 00:00:05.047600 PST,+4817.8145-99.543488j
2009-01-01 00:00:05.047800 PST,+4818.4054-101.42553j
2009-01-01 00:00:05.048000 PST,+4819.0164-103.29272j
2009-01-01 00:00:05.048200 PST,+4819.6464-105.14474j
2009-01-01 00:00:05.048400 PST,+4820.2945-106.98129j
2009-01-01 00:00:05.048600 PST,+4820.9595-108.8021j
2009-01-01 00:00:05.048800 PST,+4821.6404-110.60687j
2009-01-01 00:00:05.049000 PST,+4822.3363-112.39535j
2009-01-01 00:00:05.049200 PST,+4823.0461-114.16727j
2009-01-01 00:00:05.049400 PST,+4823.7688-115.92238j
2009-01-01 00:00:05.049600 PST,+4824.5033-117.66046j
2009-01-01 00:00:05.049800 PST,+4825.2486-119.38126j
2009-01-01 00:00:05.050000 PST,+4826.0037-121.08458j
2009-01-01 00:00:05.050200 PST,+4826.7676-122.77022j
2009-01-01 00:00:05.050400 PST,+4827.5392-124.43797j
2009-01-01 00:00:05.050600 PST,+4828.3177-126.08766j
2009-01-01 00:00:05.050800 PST,+4829.102-127.71912j
2009-01-01 00:00:05.051000 PST,+4829.8911-129.3322j
2009-01-01 00:00:05.051200 PST,+4830.6841-130.92674j
2009-01-01 00:00:05.051400 PST,+4831.4799-132.50261j
2009-01-01 00:00:05.051600 PST,+4832.2778-134.05968j
2009-01-01 00:00:05.051800 PST,+4833.0768-135.59785j
2009-01-01 00:00:05.052000 PST,+4833.8758-137.11702j
2009-01-01 00:00:05.052200 PST,+4834.6742-138.6171j
2009-01-01 00:00:05.052400 PST,+4835.4709-140.09801j
2009-01-01 00:00:05.052600 PST,+4836.2652-141.55969j
2009-01-01 00:00:05.052800 PST,+4837.0562-143.00209j
2009-01-01 00:00:05.053000 PST,+4837.843-144.42516j
2009-01-01 00:00:05.053200 PST,+4838.625-145.82887j
2009-01-01 00:00:05.053400 PST,+4839.4012-147.2132j
2009-01-01 00:00:05.053600 PST,+4840.171-148.57816j
2009-01-01 00:00:05.053800 PST,+4840.9336-149.92373j
2009-01-01 00:00:05.054000 PST,+4841.6883-151.24994j
2009-01-01 00:00:05.054200 PST,+4842.4344-152.5568j
2009-01-01 00:00:05.054400 PST,+4843.1712-153.84436j
2009-01-01 00:00:05.054600 PST,+4843.8982-155.11265j
2009-01-01 00:00:05.054800 PST,+4844.6146-156.36174j
2009-01-01 00:00:05.055000 PST,+4845.3199-157.59169j
