# file...... ../data_powRecorderA.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... meter 13
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power_A
2017-03-28 00:00:00 PDT,+0+0d
2017-03-28 00:00:01 PDT,+0+0d
2017-03-28 00:00:02 PDT,+368.166+25.8419d
2017-03-28 00:00:03 PDT,+631.48+25.8419d
2017-03-28 00:00:04 PDT,+902.115+25.8419d
2017-03-28 00:00:05.000000 PDT,+902.115+25.8419d
2017-03-28 00:00:05.010000 PDT,+901.96+25.8419d
2017-03-28 00:00:05.020000 PDT,+904.626+25.8419d
2017-03-28 00:00:05.030000 PDT,+907.292+25.8419d
2017-03-28 00:00:05.040000 PDT,+909.958+25.8419d
2017-03-28 00:00:05.050000 PDT,+912.626+25.8419d
2017-03-28 00:00:05.060000 PDT,+915.294+25.8419d
2017-03-28 00:00:05.070000 PDT,+917.962+25.8419d
2017-03-28 00:00:05.080000 PDT,+920.632+25.8419d
2017-03-28 00:00:05.090000 PDT,+923.302+25.8419d
2017-03-28 00:00:05.100000 PDT,+925.973+25.8419d
2017-03-28 00:00:05.110000 PDT,+928.645+25.8419d
2017-03-28 00:00:05.120000 PDT,+931.317+25.8419d
2017-03-28 00:00:05.130000 PDT,+933.991+25.8419d
2017-03-28 00:00:05.140000 PDT,+936.665+25.8419d
2017-03-28 00:00:05.150000 PDT,+939.34+25.8419d
2017-03-28 00:00:05.160000 PDT,+942.016+25.8419d
2017-03-28 00:00:05.170000 PDT,+944.693+25.8419d
2017-03-28 00:00:05.180000 PDT,+947.371+25.8419d
2017-03-28 00:00:05.190000 PDT,+950.05+25.8419d
2017-03-28 00:00:05.200000 PDT,+952.73+25.8419d
2017-03-28 00:00:05.210000 PDT,+955.411+25.8419d
2017-03-28 00:00:05.220000 PDT,+958.093+25.8419d
2017-03-28 00:00:05.230000 PDT,+960.775+25.8419d
2017-03-28 00:00:05.240000 PDT,+963.459+25.8419d
2017-03-28 00:00:05.250000 PDT,+966.144+25.8419d
2017-03-28 00:00:05.260000 PDT,+968.83+25.8419d
2017-03-28 00:00:05.270000 PDT,+971.518+25.8419d
2017-03-28 00:00:05.280000 PDT,+974.206+25.8419d
2017-03-28 00:00:05.290000 PDT,+976.895+25.8419d
2017-03-28 00:00:05.300000 PDT,+979.586+25.8419d
2017-03-28 00:00:05.310000 PDT,+982.277+25.8419d
2017-03-28 00:00:05.320000 PDT,+984.97+25.8419d
2017-03-28 00:00:05.330000 PDT,+987.664+25.8419d
2017-03-28 00:00:05.340000 PDT,+990.359+25.8419d
2017-03-28 00:00:05.350000 PDT,+993.055+25.8419d
2017-03-28 00:00:05.360000 PDT,+995.752+25.8419d
2017-03-28 00:00:05.370000 PDT,+998.45+25.8419d
2017-03-28 00:00:05.380000 PDT,+1001.15+25.8419d
2017-03-28 00:00:05.390000 PDT,+1003.85+25.8419d
2017-03-28 00:00:05.400000 PDT,+1006.55+25.8419d
2017-03-28 00:00:05.410000 PDT,+1009.26+25.8419d
2017-03-28 00:00:05.420000 PDT,+1011.96+25.8419d
2017-03-28 00:00:05.430000 PDT,+1014.67+25.8419d
2017-03-28 00:00:05.440000 PDT,+1017.37+25.8419d
2017-03-28 00:00:05.450000 PDT,+1020.08+25.8419d
2017-03-28 00:00:05.460000 PDT,+1022.79+25.8419d
2017-03-28 00:00:05.470000 PDT,+1025.5+25.8419d
2017-03-28 00:00:05.480000 PDT,+1028.21+25.8419d
2017-03-28 00:00:05.490000 PDT,+1030.92+25.8419d
2017-03-28 00:00:05.500000 PDT,+1033.64+25.8419d
