# file...... ../data_vfd_in_rec_curr_C.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_in_C
2017-03-28 00:00:00 PDT,+0+0j
2017-03-28 00:00:01 PDT,+0+0j
2017-03-28 00:00:02 PDT,-0.00635597+0.0874279j
2017-03-28 00:00:03 PDT,-0.0109004+0.149958j
2017-03-28 00:00:04 PDT,-0.0155705+0.214228j
2017-03-28 00:00:05.000000 PDT,-0.0155689+0.21423j
2017-03-28 00:00:05.010000 PDT,-0.0155663+0.214194j
2017-03-28 00:00:05.020000 PDT,-0.0156123+0.214826j
2017-03-28 00:00:05.030000 PDT,-0.0156583+0.21546j
2017-03-28 00:00:05.040000 PDT,-0.0157043+0.216093j
2017-03-28 00:00:05.050000 PDT,-0.0157503+0.216726j
2017-03-28 00:00:05.060000 PDT,-0.0157963+0.21736j
2017-03-28 00:00:05.070000 PDT,-0.0158424+0.217994j
2017-03-28 00:00:05.080000 PDT,-0.0158884+0.218628j
2017-03-28 00:00:05.090000 PDT,-0.0159345+0.219262j
2017-03-28 00:00:05.100000 PDT,-0.0159806+0.219896j
2017-03-28 00:00:05.110000 PDT,-0.0160267+0.220531j
2017-03-28 00:00:05.120000 PDT,-0.0160728+0.221165j
2017-03-28 00:00:05.130000 PDT,-0.0161189+0.2218j
2017-03-28 00:00:05.140000 PDT,-0.016165+0.222435j
2017-03-28 00:00:05.150000 PDT,-0.0162112+0.223071j
2017-03-28 00:00:05.160000 PDT,-0.0162574+0.223706j
2017-03-28 00:00:05.170000 PDT,-0.0163035+0.224342j
2017-03-28 00:00:05.180000 PDT,-0.0163497+0.224978j
2017-03-28 00:00:05.190000 PDT,-0.016396+0.225614j
2017-03-28 00:00:05.200000 PDT,-0.0164422+0.22625j
2017-03-28 00:00:05.210000 PDT,-0.0164884+0.226887j
2017-03-28 00:00:05.220000 PDT,-0.0165347+0.227524j
2017-03-28 00:00:05.230000 PDT,-0.016581+0.228161j
2017-03-28 00:00:05.240000 PDT,-0.0166273+0.228799j
2017-03-28 00:00:05.250000 PDT,-0.0166736+0.229436j
2017-03-28 00:00:05.260000 PDT,-0.01672+0.230074j
2017-03-28 00:00:05.270000 PDT,-0.0167663+0.230712j
2017-03-28 00:00:05.280000 PDT,-0.0168127+0.231351j
2017-03-28 00:00:05.290000 PDT,-0.0168591+0.231989j
2017-03-28 00:00:05.300000 PDT,-0.0169055+0.232628j
2017-03-28 00:00:05.310000 PDT,-0.0169519+0.233267j
2017-03-28 00:00:05.320000 PDT,-0.0169984+0.233907j
2017-03-28 00:00:05.330000 PDT,-0.0170449+0.234547j
2017-03-28 00:00:05.340000 PDT,-0.0170914+0.235187j
2017-03-28 00:00:05.350000 PDT,-0.0171379+0.235827j
2017-03-28 00:00:05.360000 PDT,-0.0171844+0.236467j
2017-03-28 00:00:05.370000 PDT,-0.017231+0.237108j
2017-03-28 00:00:05.380000 PDT,-0.0172775+0.237749j
2017-03-28 00:00:05.390000 PDT,-0.0173241+0.238391j
2017-03-28 00:00:05.400000 PDT,-0.0173707+0.239032j
2017-03-28 00:00:05.410000 PDT,-0.0174174+0.239674j
2017-03-28 00:00:05.420000 PDT,-0.017464+0.240317j
2017-03-28 00:00:05.430000 PDT,-0.0175107+0.240959j
