# file...... ../data_vfd_out_rec_curr_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_A
2017-03-28 00:00:00 PDT,+0+0j
2017-03-28 00:00:01 PDT,+0.238095-25.8419d
2017-03-28 00:00:02 PDT,+0.238095-25.8419d
2017-03-28 00:00:03 PDT,+0.238095-25.8419d
2017-03-28 00:00:04 PDT,+0.238095-25.8419d
2017-03-28 00:00:05.000000 PDT,+0.238095-25.8419d
2017-03-28 00:00:05.010000 PDT,+0.238095-25.8419d
2017-03-28 00:00:05.020000 PDT,+0.238095-133.504d
2017-03-28 00:00:05.030000 PDT,+0.238095+119.171d
2017-03-28 00:00:05.040000 PDT,+0.238095+12.1834d
2017-03-28 00:00:05.050000 PDT,+0.238095-94.4665d
2017-03-28 00:00:05.060000 PDT,+0.238095+159.221d
2017-03-28 00:00:05.070000 PDT,+0.238095+53.2462d
2017-03-28 00:00:05.080000 PDT,+0.238095-52.3912d
2017-03-28 00:00:05.090000 PDT,+0.238095-157.691d
2017-03-28 00:00:05.100000 PDT,+0.238095+97.3465d
2017-03-28 00:00:05.110000 PDT,+0.238095-7.27842d
2017-03-28 00:00:05.120000 PDT,+0.238095-111.566d
2017-03-28 00:00:05.130000 PDT,+0.238095+144.484d
2017-03-28 00:00:05.140000 PDT,+0.238095+40.8694d
2017-03-28 00:00:05.150000 PDT,+0.238095-62.4055d
2017-03-28 00:00:05.160000 PDT,+0.238095-165.343d
2017-03-28 00:00:05.170000 PDT,+0.238095+92.0572d
2017-03-28 00:00:05.180000 PDT,+0.238095-10.2052d
2017-03-28 00:00:05.190000 PDT,+0.238095-112.13d
2017-03-28 00:00:05.200000 PDT,+0.238095+146.282d
2017-03-28 00:00:05.210000 PDT,+0.238095+45.0326d
2017-03-28 00:00:05.220000 PDT,+0.238095-55.8798d
2017-03-28 00:00:05.230000 PDT,+0.238095-156.455d
2017-03-28 00:00:05.240000 PDT,+0.238095+103.308d
2017-03-28 00:00:05.250000 PDT,+0.238095+3.40797d
2017-03-28 00:00:05.260000 PDT,+0.238095-96.1544d
2017-03-28 00:00:05.270000 PDT,+0.238095+164.621d
2017-03-28 00:00:05.280000 PDT,+0.238095+65.7333d
2017-03-28 00:00:05.290000 PDT,+0.238095-32.8166d
2017-03-28 00:00:05.300000 PDT,+0.238095-131.029d
2017-03-28 00:00:05.310000 PDT,+0.238095+131.096d
2017-03-28 00:00:05.320000 PDT,+0.238095+33.5586d
2017-03-28 00:00:05.330000 PDT,+0.238095-63.6413d
2017-03-28 00:00:05.340000 PDT,+0.238095-160.504d
2017-03-28 00:00:05.350000 PDT,+0.238095+102.971d
2017-03-28 00:00:05.360000 PDT,+0.238095+6.784d
2017-03-28 00:00:05.370000 PDT,+0.238095-89.0659d
2017-03-28 00:00:05.380000 PDT,+0.238095+175.422d
2017-03-28 00:00:05.390000 PDT,+0.238095+80.2445d
2017-03-28 00:00:05.400000 PDT,+0.238095-14.5929d
2017-03-28 00:00:05.410000 PDT,+0.238095-109.093d
2017-03-28 00:00:05.420000 PDT,+0.238095+156.745d
2017-03-28 00:00:05.430000 PDT,+0.238095+62.9199d
2017-03-28 00:00:05.440000 PDT,+0.238095-30.5675d
2017-03-28 00:00:05.450000 PDT,+0.238095-123.717d
2017-03-28 00:00:05.460000 PDT,+0.238095+143.47d
2017-03-28 00:00:05.470000 PDT,+0.238095+50.9952d
2017-03-28 00:00:05.480000 PDT,+0.238095-41.1422d
2017-03-28 00:00:05.490000 PDT,+0.238095-132.942d
2017-03-28 00:00:05.500000 PDT,+0.238095+135.595d
2017-03-28 00:00:05.510000 PDT,+0.238095+44.4706d
2017-03-28 00:00:05.520000 PDT,+0.238095-46.3168d
2017-03-28 00:00:05.530000 PDT,+0.238095-136.767d
2017-03-28 00:00:05.540000 PDT,+0.238095+133.121d
2017-03-28 00:00:05.550000 PDT,+0.238095+43.3459d
2017-03-28 00:00:05.560000 PDT,+0.238095-46.0915d
2017-03-28 00:00:05.570000 PDT,+0.238095-135.191d
2017-03-28 00:00:05.580000 PDT,+0.238095+136.046d
2017-03-28 00:00:05.590000 PDT,+0.238095+47.6213d
2017-03-28 00:00:05.600000 PDT,+0.238095-40.4662d
2017-03-28 00:00:05.610000 PDT,+0.238095-128.216d
2017-03-28 00:00:05.620000 PDT,+0.238095+144.372d
2017-03-28 00:00:05.630000 PDT,+0.238095+57.2966d
2017-03-28 00:00:05.640000 PDT,+0.238095-29.4429d
2017-03-28 00:00:05.650000 PDT,+0.238095-115.843d
2017-03-28 00:00:05.660000 PDT,+0.238095+158.095d
2017-03-28 00:00:05.670000 PDT,+0.238095+72.3698d
2017-03-28 00:00:05.680000 PDT,+0.238095-13.0176d
2017-03-28 00:00:05.690000 PDT,+0.238095-98.0675d
2017-03-28 00:00:05.700000 PDT,+0.238095+177.22d
2017-03-28 00:00:05.710000 PDT,+0.238095+92.8452d
2017-03-28 00:00:05.720000 PDT,+0.238095+8.80775d
2017-03-28 00:00:05.730000 PDT,+0.238095-74.8922d
2017-03-28 00:00:05.740000 PDT,+0.238095-158.255d
2017-03-28 00:00:05.750000 PDT,+0.238095+118.72d
2017-03-28 00:00:05.760000 PDT,+0.238095+36.0331d
2017-03-28 00:00:05.770000 PDT,+0.238095-46.3169d
2017-03-28 00:00:05.780000 PDT,+0.238095-128.329d
2017-03-28 00:00:05.790000 PDT,+0.238095+149.996d
2017-03-28 00:00:05.800000 PDT,+0.238095+68.6584d
2017-03-28 00:00:05.810000 PDT,+0.238095-12.3415d
2017-03-28 00:00:05.820000 PDT,+0.238095-93.004d
2017-03-28 00:00:05.830000 PDT,+0.238095-173.329d
2017-03-28 00:00:05.840000 PDT,+0.238095+106.684d
2017-03-28 00:00:05.850000 PDT,+0.238095+27.0338d
2017-03-28 00:00:05.860000 PDT,+0.238095-52.2787d
2017-03-28 00:00:05.870000 PDT,+0.238095-131.254d
2017-03-28 00:00:05.880000 PDT,+0.238095+150.109d
2017-03-28 00:00:05.890000 PDT,+0.238095+71.8072d
2017-03-28 00:00:05.900000 PDT,+0.238095-6.15523d
2017-03-28 00:00:05.910000 PDT,+0.238095-83.7802d
2017-03-28 00:00:05.920000 PDT,+0.238095-161.068d
2017-03-28 00:00:05.930000 PDT,+0.238095+121.982d
2017-03-28 00:00:05.940000 PDT,+0.238095+45.3701d
2017-03-28 00:00:05.950000 PDT,+0.238095-30.9049d
2017-03-28 00:00:05.960000 PDT,+0.238095-106.842d
2017-03-28 00:00:05.970000 PDT,+0.238095+177.558d
2017-03-28 00:00:05.980000 PDT,+0.238095+102.295d
2017-03-28 00:00:05.990000 PDT,+0.238095+27.3704d
2017-03-28 00:00:06.000000 PDT,+0.238095-47.217d
2017-03-28 00:00:06.010000 PDT,+0.238095-121.467d
2017-03-28 00:00:06.020000 PDT,+0.238095+164.621d
2017-03-28 00:00:06.030000 PDT,+0.238095+91.0457d
2017-03-28 00:00:06.040000 PDT,+0.238095+17.8083d
2017-03-28 00:00:06.050000 PDT,+0.238095-55.0917d
2017-03-28 00:00:06.060000 PDT,+0.238095-127.654d
2017-03-28 00:00:06.070000 PDT,+0.238095+160.121d
2017-03-28 00:00:06.080000 PDT,+0.238095+88.2336d
2017-03-28 00:00:06.090000 PDT,+0.238095+16.6836d
2017-03-28 00:00:06.100000 PDT,+0.238095-54.5288d
2017-03-28 00:00:06.110000 PDT,+0.238095-125.404d
2017-03-28 00:00:06.120000 PDT,+0.238095+164.059d
2017-03-28 00:00:06.130000 PDT,+0.238095+93.8589d
2017-03-28 00:00:06.140000 PDT,+0.238095+23.9948d
2017-03-28 00:00:06.150000 PDT,+0.238095-45.5301d
2017-03-28 00:00:06.160000 PDT,+0.238095-114.718d
2017-03-28 00:00:06.170000 PDT,+0.238095+176.432d
2017-03-28 00:00:06.180000 PDT,+0.238095+107.92d
2017-03-28 00:00:06.190000 PDT,+0.238095+39.7451d
2017-03-28 00:00:06.200000 PDT,+0.238095-28.0923d
2017-03-28 00:00:06.210000 PDT,+0.238095-95.5922d
2017-03-28 00:00:06.220000 PDT,+0.238095-162.755d
2017-03-28 00:00:06.230000 PDT,+0.238095+130.42d
2017-03-28 00:00:06.240000 PDT,+0.238095+63.9329d
2017-03-28 00:00:06.250000 PDT,+0.238095-2.217d
2017-03-28 00:00:06.260000 PDT,+0.238095-68.0294d
2017-03-28 00:00:06.270000 PDT,+0.238095-133.504d
2017-03-28 00:00:06.280000 PDT,+0.238095+161.358d
2017-03-28 00:00:06.290000 PDT,+0.238095+96.5583d
2017-03-28 00:00:06.300000 PDT,+0.238095+32.0958d
2017-03-28 00:00:06.310000 PDT,+0.238095-32.0291d
2017-03-28 00:00:06.320000 PDT,+0.238095-95.8166d
2017-03-28 00:00:06.330000 PDT,+0.238095-159.267d
2017-03-28 00:00:06.340000 PDT,+0.238095+137.621d
2017-03-28 00:00:06.350000 PDT,+0.238095+74.8461d
2017-03-28 00:00:06.360000 PDT,+0.238095+12.4087d
2017-03-28 00:00:06.370000 PDT,+0.238095-49.6913d
2017-03-28 00:00:06.380000 PDT,+0.238095-111.454d
2017-03-28 00:00:06.390000 PDT,+0.238095-172.88d
2017-03-28 00:00:06.400000 PDT,+0.238095+126.032d
2017-03-28 00:00:06.410000 PDT,+0.238095+65.2825d
2017-03-28 00:00:06.420000 PDT,+0.238095+4.87006d
2017-03-28 00:00:06.430000 PDT,+0.238095-55.2049d
2017-03-28 00:00:06.440000 PDT,+0.238095-114.942d
2017-03-28 00:00:06.450000 PDT,+0.238095-174.342d
2017-03-28 00:00:06.460000 PDT,+0.238095+126.595d
2017-03-28 00:00:06.470000 PDT,+0.238095+67.8703d
2017-03-28 00:00:06.480000 PDT,+0.238095+9.4829d
2017-03-28 00:00:06.490000 PDT,+0.238095-48.567d
2017-03-28 00:00:06.500000 PDT,+0.238095-106.279d
2017-03-28 00:00:06.510000 PDT,+0.238095-163.654d
2017-03-28 00:00:06.520000 PDT,+0.238095+139.308d
2017-03-28 00:00:06.530000 PDT,+0.238095+82.6082d
2017-03-28 00:00:06.540000 PDT,+0.238095+26.2457d
2017-03-28 00:00:06.550000 PDT,+0.238095-29.7792d
2017-03-28 00:00:06.560000 PDT,+0.238095-85.4667d
2017-03-28 00:00:06.570000 PDT,+0.238095-140.817d
2017-03-28 00:00:06.580000 PDT,+0.238095+164.171d
2017-03-28 00:00:06.590000 PDT,+0.238095+109.496d
2017-03-28 00:00:06.600000 PDT,+0.238095+55.1585d
2017-03-28 00:00:06.610000 PDT,+0.238095+1.1586d
2017-03-28 00:00:06.620000 PDT,+0.238095-52.5039d
2017-03-28 00:00:06.630000 PDT,+0.238095-105.829d
2017-03-28 00:00:06.640000 PDT,+0.238095-158.818d
2017-03-28 00:00:06.650000 PDT,+0.238095+148.533d
2017-03-28 00:00:06.660000 PDT,+0.238095+96.2201d
2017-03-28 00:00:06.670000 PDT,+0.238095+44.2451d
2017-03-28 00:00:06.680000 PDT,+0.238095-7.39232d
2017-03-28 00:00:06.690000 PDT,+0.238095-58.6923d
2017-03-28 00:00:06.700000 PDT,+0.238095-109.655d
2017-03-28 00:00:06.710000 PDT,+0.238095-160.28d
2017-03-28 00:00:06.720000 PDT,+0.238095+149.433d
2017-03-28 00:00:06.730000 PDT,+0.238095+99.4829d
2017-03-28 00:00:06.740000 PDT,+0.238095+49.8705d
2017-03-28 00:00:06.750000 PDT,+0.238095+0.595521d
2017-03-28 00:00:06.760000 PDT,+0.238095-48.3419d
2017-03-28 00:00:06.770000 PDT,+0.238095-96.9419d
2017-03-28 00:00:06.780000 PDT,+0.238095-145.204d
2017-03-28 00:00:06.790000 PDT,+0.238095+166.871d
2017-03-28 00:00:06.800000 PDT,+0.238095+119.283d
2017-03-28 00:00:06.810000 PDT,+0.238095+72.0333d
2017-03-28 00:00:06.820000 PDT,+0.238095+25.1208d
2017-03-28 00:00:06.830000 PDT,+0.238095-21.4541d
2017-03-28 00:00:06.840000 PDT,+0.238095-67.6916d
2017-03-28 00:00:06.850000 PDT,+0.238095-113.592d
2017-03-28 00:00:06.860000 PDT,+0.238095-159.154d
2017-03-28 00:00:06.870000 PDT,+0.238095+155.621d
2017-03-28 00:00:06.880000 PDT,+0.238095+110.734d
2017-03-28 00:00:06.890000 PDT,+0.238095+66.1826d
2017-03-28 00:00:06.900000 PDT,+0.238095+21.9701d
2017-03-28 00:00:06.910000 PDT,+0.238095-21.9048d
2017-03-28 00:00:06.920000 PDT,+0.238095-65.4423d
2017-03-28 00:00:06.930000 PDT,+0.238095-108.642d
2017-03-28 00:00:06.940000 PDT,+0.238095-151.505d
2017-03-28 00:00:06.950000 PDT,+0.238095+165.97d
2017-03-28 00:00:06.960000 PDT,+0.238095+123.783d
2017-03-28 00:00:06.970000 PDT,+0.238095+81.9329d
2017-03-28 00:00:06.980000 PDT,+0.238095+40.4205d
2017-03-28 00:00:06.990000 PDT,+0.238095-0.75451d
2017-03-28 00:00:07.000000 PDT,+0.238095-41.592d
2017-03-28 00:00:07.010000 PDT,+0.238095-82.0919d
2017-03-28 00:00:07.020000 PDT,+0.238095-122.254d
2017-03-28 00:00:07.030000 PDT,+0.238095-162.079d
2017-03-28 00:00:07.040000 PDT,+0.238095+158.433d
2017-03-28 00:00:07.050000 PDT,+0.238095+119.283d
2017-03-28 00:00:07.060000 PDT,+0.238095+80.4708d
2017-03-28 00:00:07.070000 PDT,+0.238095+41.9958d
2017-03-28 00:00:07.080000 PDT,+0.238095+3.85833d
2017-03-28 00:00:07.090000 PDT,+0.238095-33.9416d
2017-03-28 00:00:07.100000 PDT,+0.238095-71.4041d
2017-03-28 00:00:07.110000 PDT,+0.238095-108.529d
2017-03-28 00:00:07.120000 PDT,+0.238095-145.317d
2017-03-28 00:00:07.130000 PDT,+0.238095+178.234d
2017-03-28 00:00:07.140000 PDT,+0.238095+142.12d
2017-03-28 00:00:07.150000 PDT,+0.238095+106.345d
2017-03-28 00:00:07.160000 PDT,+0.238095+70.9077d
2017-03-28 00:00:07.170000 PDT,+0.238095+35.8078d
2017-03-28 00:00:07.180000 PDT,+0.238095+1.04531d
2017-03-28 00:00:07.190000 PDT,+0.238095-33.3797d
2017-03-28 00:00:07.200000 PDT,+0.238095-67.4671d
2017-03-28 00:00:07.210000 PDT,+0.238095-101.217d
2017-03-28 00:00:07.220000 PDT,+0.238095-134.63d
2017-03-28 00:00:07.230000 PDT,+0.238095-167.705d
2017-03-28 00:00:07.240000 PDT,+0.238095+159.558d
2017-03-28 00:00:07.250000 PDT,+0.238095+127.158d
2017-03-28 00:00:07.260000 PDT,+0.238095+95.0956d
2017-03-28 00:00:07.270000 PDT,+0.238095+63.3706d
2017-03-28 00:00:07.280000 PDT,+0.238095+31.9831d
2017-03-28 00:00:07.290000 PDT,+0.238095+0.933157d
2017-03-28 00:00:07.300000 PDT,+0.238095-29.7793d
2017-03-28 00:00:07.310000 PDT,+0.238095-60.1543d
2017-03-28 00:00:07.320000 PDT,+0.238095-90.1918d
2017-03-28 00:00:07.330000 PDT,+0.238095-119.892d
2017-03-28 00:00:07.340000 PDT,+0.238095-149.254d
2017-03-28 00:00:07.350000 PDT,+0.238095-178.279d
2017-03-28 00:00:07.360000 PDT,+0.238095+153.033d
2017-03-28 00:00:07.370000 PDT,+0.238095+124.683d
2017-03-28 00:00:07.380000 PDT,+0.238095+96.6709d
2017-03-28 00:00:07.390000 PDT,+0.238095+68.9953d
2017-03-28 00:00:07.400000 PDT,+0.238095+41.6578d
2017-03-28 00:00:07.410000 PDT,+0.238095+14.6578d
2017-03-28 00:00:07.420000 PDT,+0.238095-12.0046d
2017-03-28 00:00:07.430000 PDT,+0.238095-38.3296d
2017-03-28 00:00:07.440000 PDT,+0.238095-64.3171d
