# file...... ../data_vfd_out_rec_curr_C.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_C
2017-03-28 00:00:00 PDT,+0+0j
2017-03-28 00:00:01 PDT,+0.238095-25.8419d
2017-03-28 00:00:02 PDT,+0.238095+94.1581d
2017-03-28 00:00:03 PDT,+0.238095+94.1581d
2017-03-28 00:00:04 PDT,+0.238095+94.1581d
2017-03-28 00:00:05.000000 PDT,+0.238095+94.1581d
2017-03-28 00:00:05.010000 PDT,+0.238095+94.1581d
2017-03-28 00:00:05.020000 PDT,+0.238095-13.5043d
2017-03-28 00:00:05.030000 PDT,+0.238095-120.829d
2017-03-28 00:00:05.040000 PDT,+0.238095+132.183d
2017-03-28 00:00:05.050000 PDT,+0.238095+25.5335d
2017-03-28 00:00:05.060000 PDT,+0.238095-80.7789d
2017-03-28 00:00:05.070000 PDT,+0.238095+173.246d
2017-03-28 00:00:05.080000 PDT,+0.238095+67.6088d
2017-03-28 00:00:05.090000 PDT,+0.238095-37.6911d
2017-03-28 00:00:05.100000 PDT,+0.238095-142.654d
2017-03-28 00:00:05.110000 PDT,+0.238095+112.722d
2017-03-28 00:00:05.120000 PDT,+0.238095+8.43418d
2017-03-28 00:00:05.130000 PDT,+0.238095-95.5157d
2017-03-28 00:00:05.140000 PDT,+0.238095+160.869d
2017-03-28 00:00:05.150000 PDT,+0.238095+57.5945d
2017-03-28 00:00:05.160000 PDT,+0.238095-45.3429d
2017-03-28 00:00:05.170000 PDT,+0.238095-147.943d
2017-03-28 00:00:05.180000 PDT,+0.238095+109.795d
2017-03-28 00:00:05.190000 PDT,+0.238095+7.8699d
2017-03-28 00:00:05.200000 PDT,+0.238095-93.7175d
2017-03-28 00:00:05.210000 PDT,+0.238095+165.033d
2017-03-28 00:00:05.220000 PDT,+0.238095+64.1202d
2017-03-28 00:00:05.230000 PDT,+0.238095-36.4547d
2017-03-28 00:00:05.240000 PDT,+0.238095-136.692d
2017-03-28 00:00:05.250000 PDT,+0.238095+123.408d
2017-03-28 00:00:05.260000 PDT,+0.238095+23.8456d
2017-03-28 00:00:05.270000 PDT,+0.238095-75.3793d
2017-03-28 00:00:05.280000 PDT,+0.238095-174.267d
2017-03-28 00:00:05.290000 PDT,+0.238095+87.1834d
2017-03-28 00:00:05.300000 PDT,+0.238095-11.0291d
2017-03-28 00:00:05.310000 PDT,+0.238095-108.904d
2017-03-28 00:00:05.320000 PDT,+0.238095+153.559d
2017-03-28 00:00:05.330000 PDT,+0.238095+56.3587d
2017-03-28 00:00:05.340000 PDT,+0.238095-40.5037d
2017-03-28 00:00:05.350000 PDT,+0.238095-137.029d
2017-03-28 00:00:05.360000 PDT,+0.238095+126.784d
2017-03-28 00:00:05.370000 PDT,+0.238095+30.9341d
2017-03-28 00:00:05.380000 PDT,+0.238095-64.5783d
2017-03-28 00:00:05.390000 PDT,+0.238095-159.755d
2017-03-28 00:00:05.400000 PDT,+0.238095+105.407d
2017-03-28 00:00:05.410000 PDT,+0.238095+10.9072d
2017-03-28 00:00:05.420000 PDT,+0.238095-83.2552d
2017-03-28 00:00:05.430000 PDT,+0.238095-177.08d
2017-03-28 00:00:05.440000 PDT,+0.238095+89.4325d
2017-03-28 00:00:05.450000 PDT,+0.238095-3.71746d
2017-03-28 00:00:05.460000 PDT,+0.238095-96.5299d
2017-03-28 00:00:05.470000 PDT,+0.238095+170.995d
2017-03-28 00:00:05.480000 PDT,+0.238095+78.8578d
2017-03-28 00:00:05.490000 PDT,+0.238095-12.9421d
2017-03-28 00:00:05.500000 PDT,+0.238095-104.405d
2017-03-28 00:00:05.510000 PDT,+0.238095+164.471d
2017-03-28 00:00:05.520000 PDT,+0.238095+73.6832d
2017-03-28 00:00:05.530000 PDT,+0.238095-16.7668d
2017-03-28 00:00:05.540000 PDT,+0.238095-106.879d
2017-03-28 00:00:05.550000 PDT,+0.238095+163.346d
2017-03-28 00:00:05.560000 PDT,+0.238095+73.9085d
2017-03-28 00:00:05.570000 PDT,+0.238095-15.1914d
2017-03-28 00:00:05.580000 PDT,+0.238095-103.954d
2017-03-28 00:00:05.590000 PDT,+0.238095+167.621d
2017-03-28 00:00:05.600000 PDT,+0.238095+79.5338d
2017-03-28 00:00:05.610000 PDT,+0.238095-8.21608d
2017-03-28 00:00:05.620000 PDT,+0.238095-95.6285d
2017-03-28 00:00:05.630000 PDT,+0.238095+177.297d
2017-03-28 00:00:05.640000 PDT,+0.238095+90.5571d
2017-03-28 00:00:05.650000 PDT,+0.238095+4.15718d
2017-03-28 00:00:05.660000 PDT,+0.238095-81.9052d
2017-03-28 00:00:05.670000 PDT,+0.238095-167.63d
2017-03-28 00:00:05.680000 PDT,+0.238095+106.982d
2017-03-28 00:00:05.690000 PDT,+0.238095+21.9325d
2017-03-28 00:00:05.700000 PDT,+0.238095-62.7799d
2017-03-28 00:00:05.710000 PDT,+0.238095-147.155d
2017-03-28 00:00:05.720000 PDT,+0.238095+128.808d
2017-03-28 00:00:05.730000 PDT,+0.238095+45.1078d
2017-03-28 00:00:05.740000 PDT,+0.238095-38.2546d
2017-03-28 00:00:05.750000 PDT,+0.238095-121.28d
2017-03-28 00:00:05.760000 PDT,+0.238095+156.033d
2017-03-28 00:00:05.770000 PDT,+0.238095+73.6831d
2017-03-28 00:00:05.780000 PDT,+0.238095-8.32928d
2017-03-28 00:00:05.790000 PDT,+0.238095-90.0042d
2017-03-28 00:00:05.800000 PDT,+0.238095-171.342d
2017-03-28 00:00:05.810000 PDT,+0.238095+107.658d
2017-03-28 00:00:05.820000 PDT,+0.238095+26.996d
2017-03-28 00:00:05.830000 PDT,+0.238095-53.3289d
2017-03-28 00:00:05.840000 PDT,+0.238095-133.316d
2017-03-28 00:00:05.850000 PDT,+0.238095+147.034d
2017-03-28 00:00:05.860000 PDT,+0.238095+67.7213d
2017-03-28 00:00:05.870000 PDT,+0.238095-11.2536d
2017-03-28 00:00:05.880000 PDT,+0.238095-89.891d
2017-03-28 00:00:05.890000 PDT,+0.238095-168.193d
2017-03-28 00:00:05.900000 PDT,+0.238095+113.845d
2017-03-28 00:00:05.910000 PDT,+0.238095+36.2198d
2017-03-28 00:00:05.920000 PDT,+0.238095-41.0676d
2017-03-28 00:00:05.930000 PDT,+0.238095-118.018d
2017-03-28 00:00:05.940000 PDT,+0.238095+165.37d
2017-03-28 00:00:05.950000 PDT,+0.238095+89.0951d
2017-03-28 00:00:05.960000 PDT,+0.238095+13.1577d
2017-03-28 00:00:05.970000 PDT,+0.238095-62.4422d
2017-03-28 00:00:05.980000 PDT,+0.238095-137.705d
2017-03-28 00:00:05.990000 PDT,+0.238095+147.37d
2017-03-28 00:00:06.000000 PDT,+0.238095+72.783d
2017-03-28 00:00:06.010000 PDT,+0.238095-1.46693d
2017-03-28 00:00:06.020000 PDT,+0.238095-75.3794d
2017-03-28 00:00:06.030000 PDT,+0.238095-148.954d
2017-03-28 00:00:06.040000 PDT,+0.238095+137.808d
2017-03-28 00:00:06.050000 PDT,+0.238095+64.9083d
2017-03-28 00:00:06.060000 PDT,+0.238095-7.65408d
2017-03-28 00:00:06.070000 PDT,+0.238095-79.879d
2017-03-28 00:00:06.080000 PDT,+0.238095-151.766d
2017-03-28 00:00:06.090000 PDT,+0.238095+136.684d
2017-03-28 00:00:06.100000 PDT,+0.238095+65.4712d
2017-03-28 00:00:06.110000 PDT,+0.238095-5.40374d
2017-03-28 00:00:06.120000 PDT,+0.238095-75.9412d
2017-03-28 00:00:06.130000 PDT,+0.238095-146.141d
2017-03-28 00:00:06.140000 PDT,+0.238095+143.995d
2017-03-28 00:00:06.150000 PDT,+0.238095+74.4699d
2017-03-28 00:00:06.160000 PDT,+0.238095+5.28243d
2017-03-28 00:00:06.170000 PDT,+0.238095-63.5675d
2017-03-28 00:00:06.180000 PDT,+0.238095-132.08d
2017-03-28 00:00:06.190000 PDT,+0.238095+159.745d
2017-03-28 00:00:06.200000 PDT,+0.238095+91.9077d
2017-03-28 00:00:06.210000 PDT,+0.238095+24.4078d
2017-03-28 00:00:06.220000 PDT,+0.238095-42.7547d
2017-03-28 00:00:06.230000 PDT,+0.238095-109.58d
2017-03-28 00:00:06.240000 PDT,+0.238095-176.067d
2017-03-28 00:00:06.250000 PDT,+0.238095+117.783d
2017-03-28 00:00:06.260000 PDT,+0.238095+51.9706d
2017-03-28 00:00:06.270000 PDT,+0.238095-13.5044d
2017-03-28 00:00:06.280000 PDT,+0.238095-78.6418d
2017-03-28 00:00:06.290000 PDT,+0.238095-143.442d
2017-03-28 00:00:06.300000 PDT,+0.238095+152.096d
2017-03-28 00:00:06.310000 PDT,+0.238095+87.9709d
2017-03-28 00:00:06.320000 PDT,+0.238095+24.1834d
2017-03-28 00:00:06.330000 PDT,+0.238095-39.2665d
2017-03-28 00:00:06.340000 PDT,+0.238095-102.379d
2017-03-28 00:00:06.350000 PDT,+0.238095-165.154d
2017-03-28 00:00:06.360000 PDT,+0.238095+132.409d
2017-03-28 00:00:06.370000 PDT,+0.238095+70.3087d
2017-03-28 00:00:06.380000 PDT,+0.238095+8.5463d
2017-03-28 00:00:06.390000 PDT,+0.238095-52.8801d
2017-03-28 00:00:06.400000 PDT,+0.238095-113.968d
2017-03-28 00:00:06.410000 PDT,+0.238095-174.717d
2017-03-28 00:00:06.420000 PDT,+0.238095+124.87d
2017-03-28 00:00:06.430000 PDT,+0.238095+64.7951d
2017-03-28 00:00:06.440000 PDT,+0.238095+5.05768d
2017-03-28 00:00:06.450000 PDT,+0.238095-54.3423d
2017-03-28 00:00:06.460000 PDT,+0.238095-113.405d
2017-03-28 00:00:06.470000 PDT,+0.238095-172.13d
2017-03-28 00:00:06.480000 PDT,+0.238095+129.483d
2017-03-28 00:00:06.490000 PDT,+0.238095+71.433d
2017-03-28 00:00:06.500000 PDT,+0.238095+13.7205d
2017-03-28 00:00:06.510000 PDT,+0.238095-43.6544d
2017-03-28 00:00:06.520000 PDT,+0.238095-100.692d
2017-03-28 00:00:06.530000 PDT,+0.238095-157.392d
2017-03-28 00:00:06.540000 PDT,+0.238095+146.246d
2017-03-28 00:00:06.550000 PDT,+0.238095+90.2208d
2017-03-28 00:00:06.560000 PDT,+0.238095+34.5333d
2017-03-28 00:00:06.570000 PDT,+0.238095-20.8166d
2017-03-28 00:00:06.580000 PDT,+0.238095-75.8291d
2017-03-28 00:00:06.590000 PDT,+0.238095-130.504d
2017-03-28 00:00:06.600000 PDT,+0.238095+175.159d
2017-03-28 00:00:06.610000 PDT,+0.238095+121.159d
2017-03-28 00:00:06.620000 PDT,+0.238095+67.4961d
2017-03-28 00:00:06.630000 PDT,+0.238095+14.1712d
2017-03-28 00:00:06.640000 PDT,+0.238095-38.8175d
2017-03-28 00:00:06.650000 PDT,+0.238095-91.4675d
2017-03-28 00:00:06.660000 PDT,+0.238095-143.78d
2017-03-28 00:00:06.670000 PDT,+0.238095+164.245d
2017-03-28 00:00:06.680000 PDT,+0.238095+112.608d
2017-03-28 00:00:06.690000 PDT,+0.238095+61.3077d
2017-03-28 00:00:06.700000 PDT,+0.238095+10.3453d
2017-03-28 00:00:06.710000 PDT,+0.238095-40.2797d
2017-03-28 00:00:06.720000 PDT,+0.238095-90.5671d
2017-03-28 00:00:06.730000 PDT,+0.238095-140.517d
2017-03-28 00:00:06.740000 PDT,+0.238095+169.87d
2017-03-28 00:00:06.750000 PDT,+0.238095+120.596d
2017-03-28 00:00:06.760000 PDT,+0.238095+71.6581d
2017-03-28 00:00:06.770000 PDT,+0.238095+23.0581d
2017-03-28 00:00:06.780000 PDT,+0.238095-25.2043d
2017-03-28 00:00:06.790000 PDT,+0.238095-73.1293d
2017-03-28 00:00:06.800000 PDT,+0.238095-120.717d
2017-03-28 00:00:06.810000 PDT,+0.238095-167.967d
2017-03-28 00:00:06.820000 PDT,+0.238095+145.121d
2017-03-28 00:00:06.830000 PDT,+0.238095+98.5459d
2017-03-28 00:00:06.840000 PDT,+0.238095+52.3084d
2017-03-28 00:00:06.850000 PDT,+0.238095+6.40847d
2017-03-28 00:00:06.860000 PDT,+0.238095-39.154d
2017-03-28 00:00:06.870000 PDT,+0.238095-84.3789d
2017-03-28 00:00:06.880000 PDT,+0.238095-129.266d
2017-03-28 00:00:06.890000 PDT,+0.238095-173.817d
2017-03-28 00:00:06.900000 PDT,+0.238095+141.97d
2017-03-28 00:00:06.910000 PDT,+0.238095+98.0952d
2017-03-28 00:00:06.920000 PDT,+0.238095+54.5577d
2017-03-28 00:00:06.930000 PDT,+0.238095+11.3577d
2017-03-28 00:00:06.940000 PDT,+0.238095-31.5047d
2017-03-28 00:00:06.950000 PDT,+0.238095-74.0297d
2017-03-28 00:00:06.960000 PDT,+0.238095-116.217d
2017-03-28 00:00:06.970000 PDT,+0.238095-158.067d
2017-03-28 00:00:06.980000 PDT,+0.238095+160.42d
2017-03-28 00:00:06.990000 PDT,+0.238095+119.245d
2017-03-28 00:00:07.000000 PDT,+0.238095+78.408d
2017-03-28 00:00:07.010000 PDT,+0.238095+37.9081d
2017-03-28 00:00:07.020000 PDT,+0.238095-2.25439d
2017-03-28 00:00:07.030000 PDT,+0.238095-42.0794d
2017-03-28 00:00:07.040000 PDT,+0.238095-81.5668d
2017-03-28 00:00:07.050000 PDT,+0.238095-120.717d
2017-03-28 00:00:07.060000 PDT,+0.238095-159.529d
2017-03-28 00:00:07.070000 PDT,+0.238095+161.996d
2017-03-28 00:00:07.080000 PDT,+0.238095+123.858d
2017-03-28 00:00:07.090000 PDT,+0.238095+86.0584d
2017-03-28 00:00:07.100000 PDT,+0.238095+48.5959d
2017-03-28 00:00:07.110000 PDT,+0.238095+11.4709d
2017-03-28 00:00:07.120000 PDT,+0.238095-25.3165d
2017-03-28 00:00:07.130000 PDT,+0.238095-61.7665d
2017-03-28 00:00:07.140000 PDT,+0.238095-97.8798d
2017-03-28 00:00:07.150000 PDT,+0.238095-133.655d
2017-03-28 00:00:07.160000 PDT,+0.238095-169.092d
2017-03-28 00:00:07.170000 PDT,+0.238095+155.808d
2017-03-28 00:00:07.180000 PDT,+0.238095+121.045d
2017-03-28 00:00:07.190000 PDT,+0.238095+86.6203d
2017-03-28 00:00:07.200000 PDT,+0.238095+52.5329d
2017-03-28 00:00:07.210000 PDT,+0.238095+18.7829d
2017-03-28 00:00:07.220000 PDT,+0.238095-14.6296d
2017-03-28 00:00:07.230000 PDT,+0.238095-47.7045d
2017-03-28 00:00:07.240000 PDT,+0.238095-80.442d
2017-03-28 00:00:07.250000 PDT,+0.238095-112.842d
2017-03-28 00:00:07.260000 PDT,+0.238095-144.904d
2017-03-28 00:00:07.270000 PDT,+0.238095-176.629d
2017-03-28 00:00:07.280000 PDT,+0.238095+151.983d
2017-03-28 00:00:07.290000 PDT,+0.238095+120.933d
2017-03-28 00:00:07.300000 PDT,+0.238095+90.2207d
2017-03-28 00:00:07.310000 PDT,+0.238095+59.8457d
2017-03-28 00:00:07.320000 PDT,+0.238095+29.8082d
2017-03-28 00:00:07.330000 PDT,+0.238095+0.108272d
2017-03-28 00:00:07.340000 PDT,+0.238095-29.2542d
2017-03-28 00:00:07.350000 PDT,+0.238095-58.2792d
2017-03-28 00:00:07.360000 PDT,+0.238095-86.9666d
2017-03-28 00:00:07.370000 PDT,+0.238095-115.317d
2017-03-28 00:00:07.380000 PDT,+0.238095-143.329d
2017-03-28 00:00:07.390000 PDT,+0.238095-171.005d
2017-03-28 00:00:07.400000 PDT,+0.238095+161.658d
2017-03-28 00:00:07.410000 PDT,+0.238095+134.658d
2017-03-28 00:00:07.420000 PDT,+0.238095+107.995d
2017-03-28 00:00:07.430000 PDT,+0.238095+81.6704d
2017-03-28 00:00:07.440000 PDT,+0.238095+55.6829d
