# file...... ../data_vfd_out_rec_pow_B.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_out_B
2017-03-28 00:00:00 PDT,+0+0j
2017-03-28 00:00:01 PDT,+0+0j
2017-03-28 00:00:02 PDT,+311.769+150.997j
2017-03-28 00:00:03 PDT,+545.596+264.244j
2017-03-28 00:00:04 PDT,+779.423+377.492j
2017-03-28 00:00:05.000000 PDT,+779.423+377.492j
2017-03-28 00:00:05.010000 PDT,+779.423+377.492j
2017-03-28 00:00:05.020000 PDT,+781.859+378.671j
2017-03-28 00:00:05.030000 PDT,+784.294+379.851j
2017-03-28 00:00:05.040000 PDT,+786.73+381.031j
2017-03-28 00:00:05.050000 PDT,+789.166+382.21j
2017-03-28 00:00:05.060000 PDT,+791.601+383.39j
2017-03-28 00:00:05.070000 PDT,+794.037+384.57j
2017-03-28 00:00:05.080000 PDT,+796.473+385.749j
2017-03-28 00:00:05.090000 PDT,+798.908+386.929j
2017-03-28 00:00:05.100000 PDT,+801.344+388.109j
2017-03-28 00:00:05.110000 PDT,+803.78+389.288j
2017-03-28 00:00:05.120000 PDT,+806.216+390.468j
2017-03-28 00:00:05.130000 PDT,+808.651+391.648j
2017-03-28 00:00:05.140000 PDT,+811.087+392.827j
2017-03-28 00:00:05.150000 PDT,+813.523+394.007j
2017-03-28 00:00:05.160000 PDT,+815.958+395.187j
2017-03-28 00:00:05.170000 PDT,+818.394+396.366j
2017-03-28 00:00:05.180000 PDT,+820.83+397.546j
2017-03-28 00:00:05.190000 PDT,+823.265+398.726j
2017-03-28 00:00:05.200000 PDT,+825.701+399.905j
2017-03-28 00:00:05.210000 PDT,+828.137+401.085j
2017-03-28 00:00:05.220000 PDT,+830.572+402.265j
2017-03-28 00:00:05.230000 PDT,+833.008+403.444j
2017-03-28 00:00:05.240000 PDT,+835.444+404.624j
2017-03-28 00:00:05.250000 PDT,+837.88+405.804j
2017-03-28 00:00:05.260000 PDT,+840.315+406.983j
2017-03-28 00:00:05.270000 PDT,+842.751+408.163j
2017-03-28 00:00:05.280000 PDT,+845.187+409.343j
2017-03-28 00:00:05.290000 PDT,+847.622+410.522j
2017-03-28 00:00:05.300000 PDT,+850.058+411.702j
2017-03-28 00:00:05.310000 PDT,+852.494+412.882j
2017-03-28 00:00:05.320000 PDT,+854.929+414.061j
2017-03-28 00:00:05.330000 PDT,+857.365+415.241j
2017-03-28 00:00:05.340000 PDT,+859.801+416.421j
2017-03-28 00:00:05.350000 PDT,+862.237+417.6j
2017-03-28 00:00:05.360000 PDT,+864.672+418.78j
2017-03-28 00:00:05.370000 PDT,+867.108+419.96j
2017-03-28 00:00:05.380000 PDT,+869.544+421.139j
2017-03-28 00:00:05.390000 PDT,+871.979+422.319j
2017-03-28 00:00:05.400000 PDT,+874.415+423.499j
2017-03-28 00:00:05.410000 PDT,+876.851+424.678j
2017-03-28 00:00:05.420000 PDT,+879.286+425.858j
2017-03-28 00:00:05.430000 PDT,+881.722+427.038j
2017-03-28 00:00:05.440000 PDT,+884.158+428.217j
2017-03-28 00:00:05.450000 PDT,+886.594+429.397j
2017-03-28 00:00:05.460000 PDT,+889.029+430.576j
2017-03-28 00:00:05.470000 PDT,+891.465+431.756j
