# file...... PDEWH_Case_2ai_Averge_PDE_Water_Heater_Energy_Power_COP.csv
# date...... Fri Mar 21 06:17:47 2014
# user...... afisher
# host...... (null)
# group..... class=waterheater AND groupid=fwh
# trigger... (none)
# interval.. 3600
# limit..... 10000000
# property.. timestamp,avg(energy.real),avg(waterheater_power),avg(COP)
2013-07-14 00:00:00 CDT,+0,+0,+0
2013-07-14 01:00:00 CDT,+0,+0,+0
2013-07-14 02:00:00 CDT,+0,+0,+0
2013-07-14 03:00:00 CDT,+0,+0,+0
2013-07-14 04:00:00 CDT,+0.0147941427803,+0.0816326530612,+0
2013-07-14 05:00:00 CDT,+0.0717695470085,+0,+0
2013-07-14 06:00:00 CDT,+0.242722921391,+0.612244897959,+0
2013-07-14 07:00:00 CDT,+1.33036435353,+1.22448979592,+0
2013-07-14 08:00:00 CDT,+2.23774150955,+0.530612244898,+0
2013-07-14 09:00:00 CDT,+2.74670981051,+0.612244897959,+0
2013-07-14 10:00:00 CDT,+3.3876354147,+0.489795918367,+0
2013-07-14 11:00:00 CDT,+3.66228252768,+0.204081632653,+0
2013-07-14 12:00:00 CDT,+3.76750887043,+0.0408163265306,+0
2013-07-14 13:00:00 CDT,+3.76924465264,+0,+0
2013-07-14 14:00:00 CDT,+3.82232459886,+0.0816326530612,+0
2013-07-14 15:00:00 CDT,+3.82232459886,+0,+0
2013-07-14 16:00:00 CDT,+3.82232459886,+0,+0
2013-07-14 17:00:00 CDT,+3.82232459886,+0,+0
2013-07-14 18:00:00 CDT,+3.82232459886,+0,+0
2013-07-14 19:00:00 CDT,+3.82232459886,+0,+0
2013-07-14 20:00:00 CDT,+4.79714275381,+1.34693877551,+0
2013-07-14 21:00:00 CDT,+6.3447059459,+1.22448979592,+0
2013-07-14 22:00:00 CDT,+7.43359724389,+0.938775510204,+0
2013-07-14 23:00:00 CDT,+8.20766393083,+0.612244897959,+0
2013-07-15 00:00:00 CDT,+8.56814949487,+0.244897959184,+0
2013-07-15 01:00:00 CDT,+8.69246858644,+0.0816326530612,+0
2013-07-15 02:00:00 CDT,+8.69885971258,+0,+0
2013-07-15 03:00:00 CDT,+8.79572003849,+0.285714285714,+0
2013-07-15 04:00:00 CDT,+9.34321068492,+0.775510204082,+0
2013-07-15 05:00:00 CDT,+9.90530320353,+0.571428571429,+0
2013-07-15 06:00:00 CDT,+10.5418523524,+0.897959183673,+0
2013-07-15 07:00:00 CDT,+11.7365989896,+1.30612244898,+0
2013-07-15 08:00:00 CDT,+12.6914547937,+0.489795918367,+0
2013-07-15 09:00:00 CDT,+13.1662778461,+0.69387755102,+0
2013-07-15 10:00:00 CDT,+13.7555883109,+0.530612244898,+0
2013-07-15 11:00:00 CDT,+14.0075829955,+0.244897959184,+0
2013-07-15 12:00:00 CDT,+14.113584623,+0.0408163265306,+0
2013-07-15 13:00:00 CDT,+14.1425011377,+0.0408163265306,+0
2013-07-15 14:00:00 CDT,+14.2098317789,+0.122448979592,+0
2013-07-15 15:00:00 CDT,+14.2098317789,+0,+0
2013-07-15 16:00:00 CDT,+14.2098317789,+0,+0
2013-07-15 17:00:00 CDT,+14.2098317789,+0,+0
2013-07-15 18:00:00 CDT,+14.2098317789,+0,+0
2013-07-15 19:00:00 CDT,+14.2098317789,+0,+0
2013-07-15 20:00:00 CDT,+15.1839576314,+1.34693877551,+0
2013-07-15 21:00:00 CDT,+16.7592550558,+1.30612244898,+0
2013-07-15 22:00:00 CDT,+17.8649487512,+0.938775510204,+0
2013-07-15 23:00:00 CDT,+18.6388028498,+0.612244897959,+0
2013-07-16 00:00:00 CDT,+18.996612238,+0.204081632653,+0
2013-07-16 01:00:00 CDT,+19.0818644669,+0,+0
2013-07-16 02:00:00 CDT,+19.1077953336,+0.0816326530612,+0
2013-07-16 03:00:00 CDT,+19.2260120257,+0.285714285714,+0
2013-07-16 04:00:00 CDT,+19.7715803939,+0.775510204082,+0
2013-07-16 05:00:00 CDT,+20.3318195009,+0.571428571429,+0
2013-07-16 06:00:00 CDT,+20.9670313104,+0.897959183673,+0
2013-07-16 07:00:00 CDT,+22.1607599186,+1.30612244898,+0
2013-07-16 08:00:00 CDT,+23.1139665585,+0.489795918367,+0
2013-07-16 09:00:00 CDT,+23.5859089738,+0.69387755102,+0
2013-07-16 10:00:00 CDT,+24.1745705521,+0.530612244898,+0
2013-07-16 11:00:00 CDT,+24.4255848491,+0.244897959184,+0
2013-07-16 12:00:00 CDT,+24.5314585813,+0.0408163265306,+0
2013-07-16 13:00:00 CDT,+24.5595931814,+0.0408163265306,+0
2013-07-16 14:00:00 CDT,+24.6273673923,+0.122448979592,+0
2013-07-16 15:00:00 CDT,+24.6273673923,+0,+0
2013-07-16 16:00:00 CDT,+24.6273673923,+0,+0
2013-07-16 17:00:00 CDT,+24.6273673923,+0,+0
2013-07-16 18:00:00 CDT,+24.6273673923,+0,+0
2013-07-16 19:00:00 CDT,+24.6273673923,+0,+0
2013-07-16 20:00:00 CDT,+25.6015122794,+1.34693877551,+0
2013-07-16 21:00:00 CDT,+27.174755039,+1.26530612245,+0
2013-07-16 22:00:00 CDT,+28.2782193365,+0.938775510204,+0
2013-07-16 23:00:00 CDT,+29.0517109226,+0.612244897959,+0
2013-07-17 00:00:00 CDT,+29.4081399833,+0.204081632653,+0
