# file...... PDEWH_Case_2aii_Averge_PDE_Water_Heater_Energy_Power_COP.csv
# date...... Fri Mar 21 06:17:47 2014
# user...... afisher
# host...... (null)
# group..... class=waterheater AND groupid=fwh
# trigger... (none)
# interval.. 3600
# limit..... 10000000
# property.. timestamp,avg(energy.real),avg(waterheater_power),avg(COP)
2013-07-14 00:00:00 CDT,+0,+0,+0
2013-07-14 01:00:00 CDT,+0.0424422276199,+0.0408163265306,+0
2013-07-14 02:00:00 CDT,+0.0832489360536,+0.0408163265306,+0
2013-07-14 03:00:00 CDT,+0.117475712462,+0.0408163265306,+0
2013-07-14 04:00:00 CDT,+0.162567125282,+0.0408163265306,+0
2013-07-14 05:00:00 CDT,+0.294648051605,+0.0984570655632,+0.228867782538
2013-07-14 06:00:00 CDT,+0.77730457049,+0.384508642713,+1.40106267665
2013-07-14 07:00:00 CDT,+2.14132207904,+0.528010696672,+1.98564899145
2013-07-14 08:00:00 CDT,+2.9469574211,+0.11888311345,+2.05571233741
2013-07-14 09:00:00 CDT,+3.38024430668,+0.233548184726,+2.48673807526
2013-07-14 10:00:00 CDT,+3.99595942915,+0.158741787335,+2.46580119816
2013-07-14 11:00:00 CDT,+4.21737318678,+0.0804503762437,+2.45301747121
2013-07-14 12:00:00 CDT,+4.2816847295,+0.0408163265306,+2.44925141208
2013-07-14 13:00:00 CDT,+4.32643506654,+0.0603371743549,+2.45586094773
2013-07-14 14:00:00 CDT,+4.4972347124,+0.0994245295596,+2.4784678083
2013-07-14 15:00:00 CDT,+4.4972347124,+0,+2.4784678083
2013-07-14 16:00:00 CDT,+4.4972347124,+0,+2.4784678083
2013-07-14 17:00:00 CDT,+4.4972347124,+0,+2.4784678083
2013-07-14 18:00:00 CDT,+4.4972347124,+0,+2.4784678083
2013-07-14 19:00:00 CDT,+4.4972347124,+0,+2.4784678083
2013-07-14 20:00:00 CDT,+5.87482789107,+0.551382771909,+2.97052509214
2013-07-14 21:00:00 CDT,+7.9784107018,+0.536421803358,+2.928974317
2013-07-14 22:00:00 CDT,+9.25449851359,+0.295822079,+2.77495079313
2013-07-14 23:00:00 CDT,+9.62379973006,+0.0408163265306,+2.72755000209
2013-07-15 00:00:00 CDT,+9.67902527439,+0.0603540619807,+2.73101766306
2013-07-15 01:00:00 CDT,+9.74115837302,+0.0408163265306,+2.72794823395
2013-07-15 02:00:00 CDT,+9.78196508145,+0.0408163265306,+2.72794823395
2013-07-15 03:00:00 CDT,+9.8568979111,+0.0606620039019,+2.73084958457
2013-07-15 04:00:00 CDT,+9.96639097271,+0.118694574035,+2.74005784658
2013-07-15 05:00:00 CDT,+10.3545263734,+0.215296198239,+2.75417922203
2013-07-15 06:00:00 CDT,+11.3103061145,+0.504125500686,+2.82500882214
2013-07-15 07:00:00 CDT,+13.0403200913,+0.648326807656,+2.8097649775
2013-07-15 08:00:00 CDT,+14.0669437444,+0.159579660836,+2.73318717294
2013-07-15 09:00:00 CDT,+14.4387622642,+0.216366754872,+2.77643030927
2013-07-15 10:00:00 CDT,+14.8782068913,+0.0800672508579,+2.74302286081
2013-07-15 11:00:00 CDT,+15.0887520748,+0.0611700195661,+2.73842279957
2013-07-15 12:00:00 CDT,+15.2818948756,+0.101254721373,+2.75278278785
2013-07-15 13:00:00 CDT,+15.3792270737,+0.0408163265306,+2.74631825405
2013-07-15 14:00:00 CDT,+15.4523647181,+0.09950922545,+2.76931370419
2013-07-15 15:00:00 CDT,+15.4523647181,+0,+2.76931370419
2013-07-15 16:00:00 CDT,+15.4523647181,+0,+2.76931370419
2013-07-15 17:00:00 CDT,+15.4523647181,+0,+2.76931370419
2013-07-15 18:00:00 CDT,+15.4523647181,+0,+2.76931370419
2013-07-15 19:00:00 CDT,+15.4523647181,+0,+2.76931370419
2013-07-15 20:00:00 CDT,+16.8529769801,+0.574600760417,+2.98046305986
2013-07-15 21:00:00 CDT,+18.9273123074,+0.518959409631,+2.90214325037
2013-07-15 22:00:00 CDT,+20.0625537199,+0.255491312292,+2.76651852974
2013-07-15 23:00:00 CDT,+20.4165271274,+0.0408163265306,+2.72283063811
2013-07-16 00:00:00 CDT,+20.4651280865,+0.0604024779176,+2.72681651498
2013-07-16 01:00:00 CDT,+20.5342332575,+0.0408163265306,+2.72369503879
2013-07-16 02:00:00 CDT,+20.575039966,+0.0408163265306,+2.72369503879
2013-07-16 03:00:00 CDT,+20.6283127337,+0.0607296086788,+2.72494807142
2013-07-16 04:00:00 CDT,+20.7768785124,+0.119195284852,+2.73458290685
2013-07-16 05:00:00 CDT,+21.2149909094,+0.21697501675,+2.75286195222
2013-07-16 06:00:00 CDT,+22.0969243803,+0.507819134176,+2.84154606343
2013-07-16 07:00:00 CDT,+23.8180659404,+0.631047236184,+2.83334306048
2013-07-16 08:00:00 CDT,+24.7971063041,+0.160200610641,+2.75609082831
2013-07-16 09:00:00 CDT,+25.1824032366,+0.237342161653,+2.79887209005
2013-07-16 10:00:00 CDT,+25.6507168816,+0.0802317889498,+2.75829234874
2013-07-16 11:00:00 CDT,+25.8593016846,+0.0612220429592,+2.75349098474
2013-07-16 12:00:00 CDT,+26.0324765588,+0.122198101248,+2.76571567409
2013-07-16 13:00:00 CDT,+26.1456318051,+0.0408163265306,+2.76218881463
2013-07-16 14:00:00 CDT,+26.2180311992,+0.0584259275387,+2.7828086854
2013-07-16 15:00:00 CDT,+26.2180311992,+0,+2.7828086854
2013-07-16 16:00:00 CDT,+26.2180311992,+0,+2.7828086854
2013-07-16 17:00:00 CDT,+26.2180311992,+0,+2.7828086854
2013-07-16 18:00:00 CDT,+26.2180311992,+0,+2.7828086854
2013-07-16 19:00:00 CDT,+26.2180311992,+0,+2.7828086854
2013-07-16 20:00:00 CDT,+27.6205542265,+0.576473137231,+2.98198085185
2013-07-16 21:00:00 CDT,+29.6910116529,+0.499564758083,+2.90574926945
2013-07-16 22:00:00 CDT,+30.802509418,+0.256003259515,+2.77783294239
2013-07-16 23:00:00 CDT,+31.1493547898,+0.0408163265306,+2.73588188116
2013-07-17 00:00:00 CDT,+31.1901614982,+0.0408163265306,+2.73588188116
2013-07-17 01:00:00 CDT,+31.2618071327,+0.0607787531441,+2.73621379296
2013-07-17 02:00:00 CDT,+31.3074790211,+0.0408163265306,+2.73533208559
2013-07-17 03:00:00 CDT,+31.3598133409,+0.0606723857623,+2.73638622991
2013-07-17 04:00:00 CDT,+31.4996758137,+0.119163645736,+2.74518364616
2013-07-17 05:00:00 CDT,+31.9460765026,+0.217136235647,+2.76084505888
2013-07-17 06:00:00 CDT,+32.8332339382,+0.527907394393,+2.84679778484
2013-07-17 07:00:00 CDT,+34.5469098936,+0.61120905195,+2.83424533333
2013-07-17 08:00:00 CDT,+35.5522421716,+0.160236100058,+2.75569711192
2013-07-17 09:00:00 CDT,+35.9121821853,+0.217412316544,+2.79409696562
2013-07-17 10:00:00 CDT,+36.3591543652,+0.0803292794314,+2.75923666312
2013-07-17 11:00:00 CDT,+36.5655900307,+0.0611929430555,+2.75347689397
2013-07-17 12:00:00 CDT,+36.703570737,+0.101415848562,+2.76302073927
2013-07-17 13:00:00 CDT,+36.8412235331,+0.0612553505791,+2.76255059348
2013-07-17 14:00:00 CDT,+36.9247128387,+0.0993907638034,+2.78252756907
2013-07-17 15:00:00 CDT,+36.9247128387,+0,+2.78252756907
2013-07-17 16:00:00 CDT,+36.9247128387,+0,+2.78252756907
2013-07-17 17:00:00 CDT,+36.9247128387,+0,+2.78252756907
2013-07-17 18:00:00 CDT,+36.9247128387,+0,+2.78252756907
2013-07-17 19:00:00 CDT,+36.9247128387,+0,+2.78252756907
2013-07-17 20:00:00 CDT,+38.3303260733,+0.576144836003,+2.99216020645
2013-07-17 21:00:00 CDT,+40.3990218515,+0.519851688617,+2.91226950006
2013-07-17 22:00:00 CDT,+41.534548003,+0.255912500824,+2.77554592712
2013-07-17 23:00:00 CDT,+41.8767609606,+0.0408163265306,+2.73476387754
2013-07-18 00:00:00 CDT,+41.9175676691,+0.0408163265306,+2.73476387754
2013-07-18 01:00:00 CDT,+41.9812592361,+0.0606780784104,+2.73641463024
2013-07-18 02:00:00 CDT,+42.0348474026,+0.0408163265306,+2.73471647032
2013-07-18 03:00:00 CDT,+42.0861597108,+0.060696959306,+2.73583868127
2013-07-18 04:00:00 CDT,+42.2254885822,+0.119400804959,+2.74590106784
2013-07-18 05:00:00 CDT,+42.6674087136,+0.217270886398,+2.76320256389
2013-07-18 06:00:00 CDT,+43.5499755482,+0.528336631994,+2.84872340776
2013-07-18 07:00:00 CDT,+45.2854831622,+0.611796775307,+2.83730519239
2013-07-18 08:00:00 CDT,+46.2563135122,+0.160390825908,+2.76090297696
2013-07-18 09:00:00 CDT,+46.6360004946,+0.23743901561,+2.80208418628
2013-07-18 10:00:00 CDT,+47.1096896165,+0.121145514316,+2.76312453796
