# file...... PDEWH_Case_2aiv_Averge_PDE_Water_Heater_Energy_Power_COP.csv
# date...... Fri Mar 21 06:17:47 2014
# user...... afisher
# host...... (null)
# group..... class=waterheater AND groupid=fwh
# trigger... (none)
# interval.. 3600
# limit..... 10000000
# property.. timestamp,avg(energy.real),avg(waterheater_power),avg(COP)
2013-07-14 00:00:00 CDT,+0,+0,+0
2013-07-14 01:00:00 CDT,+0,+0,+0
2013-07-14 02:00:00 CDT,+0,+0,+0
2013-07-14 03:00:00 CDT,+0,+0,+0
2013-07-14 04:00:00 CDT,+0,+0,+0
2013-07-14 05:00:00 CDT,+0.0853623436571,+0.0576407401548,+0.228867800871
2013-07-14 06:00:00 CDT,+0.527211113463,+0.343691841757,+1.40105916734
2013-07-14 07:00:00 CDT,+1.92306961279,+0.52622302934,+2.10044170345
2013-07-14 08:00:00 CDT,+2.73524267725,+0.0780666902169,+2.16602803972
2013-07-14 09:00:00 CDT,+3.12511178497,+0.192731060064,+2.5970467282
2013-07-14 10:00:00 CDT,+3.70205953542,+0.117925183782,+2.57612682085
2013-07-14 11:00:00 CDT,+3.8756456079,+0.0396329556673,+2.56334150626
2013-07-14 12:00:00 CDT,+3.8991504865,+0,+2.55958657473
2013-07-14 13:00:00 CDT,+3.90309480739,+0.0195105830296,+2.56613151345
2013-07-14 14:00:00 CDT,+4.03309481811,+0.058610215297,+2.58884743626
2013-07-14 15:00:00 CDT,+4.03309481811,+0,+2.58884743626
2013-07-14 16:00:00 CDT,+4.03309481811,+0,+2.58884743626
2013-07-14 17:00:00 CDT,+4.03309481811,+0,+2.58884743626
2013-07-14 18:00:00 CDT,+4.03309481811,+0,+2.58884743626
2013-07-14 19:00:00 CDT,+4.03309481811,+0,+2.58884743626
2013-07-14 20:00:00 CDT,+5.39097961141,+0.623880821551,+2.98219016259
2013-07-14 21:00:00 CDT,+7.43516944427,+0.483631294685,+2.94396681834
2013-07-14 22:00:00 CDT,+8.55319623194,+0.198267518125,+2.82752496094
2013-07-14 23:00:00 CDT,+8.70737608421,+0,+2.80657922235
2013-07-15 00:00:00 CDT,+8.73947288372,+0.0396350032088,+2.81611178904
2013-07-15 01:00:00 CDT,+8.78197311004,+0,+2.81062526873
2013-07-15 02:00:00 CDT,+8.78197311004,+0,+2.81062526873
2013-07-15 03:00:00 CDT,+8.82631433462,+0.0198457018156,+2.81352421531
2013-07-15 04:00:00 CDT,+8.98345827279,+0.15450046265,+2.82937648961
2013-07-15 05:00:00 CDT,+9.55458120895,+0.271576089215,+2.82771612213
2013-07-15 06:00:00 CDT,+10.6207166065,+0.549552901789,+2.88725567975
2013-07-15 07:00:00 CDT,+12.3876290731,+0.645784595709,+2.87573339513
2013-07-15 08:00:00 CDT,+13.4292131877,+0.118548846603,+2.78582985212
2013-07-15 09:00:00 CDT,+13.7980927947,+0.195618107917,+2.83045931325
2013-07-15 10:00:00 CDT,+14.2194319089,+0.0392508994782,+2.79380995836
2013-07-15 11:00:00 CDT,+14.3799760071,+0.0203536888966,+2.78921188621
2013-07-15 12:00:00 CDT,+14.5322884042,+0.0604389270881,+2.8035808871
2013-07-15 13:00:00 CDT,+14.5888372827,+0,+2.79710832705
2013-07-15 14:00:00 CDT,+14.6211679174,+0.0586916837214,+2.82008302279
2013-07-15 15:00:00 CDT,+14.6211679174,+0,+2.82008302279
2013-07-15 16:00:00 CDT,+14.6211679174,+0,+2.82008302279
2013-07-15 17:00:00 CDT,+14.6211679174,+0,+2.82008302279
2013-07-15 18:00:00 CDT,+14.6211679174,+0,+2.82008302279
2013-07-15 19:00:00 CDT,+14.6211679174,+0,+2.82008302279
2013-07-15 20:00:00 CDT,+15.9828802993,+0.560550536606,+2.98920141055
2013-07-15 21:00:00 CDT,+18.0584652326,+0.502922090449,+2.92242236001
2013-07-15 22:00:00 CDT,+19.124088709,+0.176210743835,+2.80964281006
2013-07-15 23:00:00 CDT,+19.3691316052,+0.0199341988103,+2.7826564838
2013-07-16 00:00:00 CDT,+19.4024721018,+0.0195868745591,+2.78405266853
2013-07-16 01:00:00 CDT,+19.4307749804,+0,+2.78092946212
2013-07-16 02:00:00 CDT,+19.4307749804,+0,+2.78092946212
2013-07-16 03:00:00 CDT,+19.4492239183,+0.019913172826,+2.78218300661
2013-07-16 04:00:00 CDT,+19.5787783883,+0.116928892289,+2.80396024944
2013-07-16 05:00:00 CDT,+20.0697951193,+0.214637729173,+2.82119328778
2013-07-16 06:00:00 CDT,+20.9430604964,+0.533353715911,+2.9067129023
2013-07-16 07:00:00 CDT,+22.6960354213,+0.628566923542,+2.90119099559
2013-07-16 08:00:00 CDT,+23.7602445878,+0.119014314786,+2.80758754895
2013-07-16 09:00:00 CDT,+24.0921442764,+0.176599376068,+2.84264364886
2013-07-16 10:00:00 CDT,+24.4878389995,+0.0394178616142,+2.80756251782
2013-07-16 11:00:00 CDT,+24.6475320147,+0.0204055195411,+2.80272469917
2013-07-16 12:00:00 CDT,+24.7798947689,+0.0813796557394,+2.81493499215
2013-07-16 13:00:00 CDT,+24.8522487894,+0,+2.81142071972
2013-07-16 14:00:00 CDT,+24.8845206977,+0.058426691051,+2.83207809238
2013-07-16 15:00:00 CDT,+24.8845206977,+0,+2.83207809238
