# file...... PDEWH_Case_2bi_Feeder_Energy_Power.csv
# date...... Sun Mar 23 13:16:13 2014
# user...... afisher
# host...... (null)
# target.... meter 11
# trigger... (none)
# interval.. 3600
# limit..... 10000000
# timestamp,measured_real_energy,measured_power.real
2013-12-08 00:00:00 CST,+0,+129081.977222
2013-12-08 01:00:00 CST,+128329.757689,+123723.345566
2013-12-08 02:00:00 CST,+245381.085231,+112088.156238
2013-12-08 03:00:00 CST,+381360.077563,+143137.190861
2013-12-08 04:00:00 CST,+524733.839071,+139135.619456
2013-12-08 05:00:00 CST,+649873.937714,+131445.621594
2013-12-08 06:00:00 CST,+804585.404018,+226784.106215
2013-12-08 07:00:00 CST,+1046106.28592,+220806.322053
2013-12-08 08:00:00 CST,+1258164.46577,+178189.940767
2013-12-08 09:00:00 CST,+1457551.54597,+223231.538129
2013-12-08 10:00:00 CST,+1692327.28111,+218219.625161
2013-12-08 11:00:00 CST,+1891122.10302,+197324.619541
2013-12-08 12:00:00 CST,+2079469.68573,+182219.535192
2013-12-08 13:00:00 CST,+2262151.21047,+183117.049387
2013-12-08 14:00:00 CST,+2466528.73463,+224149.352017
2013-12-08 15:00:00 CST,+2698802.74811,+209425.973494
2013-12-08 16:00:00 CST,+2898358.9873,+205187.970472
2013-12-08 17:00:00 CST,+3125712.36679,+254222.36517
2013-12-08 18:00:00 CST,+3385476.95915,+260765.868734
2013-12-08 19:00:00 CST,+3651063.5799,+279350.51781
2013-12-08 20:00:00 CST,+3972016.62267,+355780.077059
2013-12-08 21:00:00 CST,+4298337.80382,+284916.549169
2013-12-08 22:00:00 CST,+4568533.2596,+253978.540238
2013-12-08 23:00:00 CST,+4795496.17335,+207247.612661
2013-12-09 00:00:00 CST,+4969348.71747,+144971.657221
2013-12-09 01:00:00 CST,+5093829.89448,+118726.377902
2013-12-09 02:00:00 CST,+5203680.72887,+104515.102448
2013-12-09 03:00:00 CST,+5342066.67278,+156522.756713
2013-12-09 04:00:00 CST,+5507756.21391,+172049.374095
2013-12-09 05:00:00 CST,+5658992.95797,+167779.847417
2013-12-09 06:00:00 CST,+5842086.12326,+256834.542596
2013-12-09 07:00:00 CST,+6117819.00053,+264658.072219
2013-12-09 08:00:00 CST,+6364818.67372,+202346.428768
2013-12-09 09:00:00 CST,+6569722.01127,+216782.091978
2013-12-09 10:00:00 CST,+6785697.67194,+198925.087584
2013-12-09 11:00:00 CST,+6956994.43019,+171222.237961
2013-12-09 12:00:00 CST,+7113643.49559,+152620.652834
2013-12-09 13:00:00 CST,+7264166.09471,+147061.714441
2013-12-09 14:00:00 CST,+7432972.92943,+190745.658722
2013-12-09 15:00:00 CST,+7630345.03583,+178785.908087
2013-12-09 16:00:00 CST,+7801516.08299,+183298.545183
2013-12-09 17:00:00 CST,+8010403.29133,+241152.498493
2013-12-09 18:00:00 CST,+8265063.45209,+258026.472927
2013-12-09 19:00:00 CST,+8534142.5594,+290425.547831
2013-12-09 20:00:00 CST,+8858922.53259,+362596.975304
2013-12-09 21:00:00 CST,+9192393.74531,+297568.7405
2013-12-09 22:00:00 CST,+9467649.92811,+255621.755055
2013-12-09 23:00:00 CST,+9695428.47851,+202006.841141
2013-12-10 00:00:00 CST,+9865682.44974,+150347.945551
2013-12-10 01:00:00 CST,+9993302.42412,+114450.115677
2013-12-10 02:00:00 CST,+10105582.5679,+116578.308162
2013-12-10 03:00:00 CST,+10244279.8031,+158556.815707
2013-12-10 04:00:00 CST,+10409237.7236,+181756.647654
2013-12-10 05:00:00 CST,+10558714.4973,+167535.011199
2013-12-10 06:00:00 CST,+10739948.9055,+253450.895881
2013-12-10 07:00:00 CST,+11014101.6849,+265206.233451
2013-12-10 08:00:00 CST,+11259835.1554,+202236.824782
2013-12-10 09:00:00 CST,+11463163.8433,+215576.697311
2013-12-10 10:00:00 CST,+11677222.078,+193877.931782
2013-12-10 11:00:00 CST,+11846361.1853,+163589.251776
2013-12-10 12:00:00 CST,+12000803.3051,+150749.313805
2013-12-10 13:00:00 CST,+12149427.5184,+146401.240698
2013-12-10 14:00:00 CST,+12316519.0383,+186571.102825
2013-12-10 15:00:00 CST,+12511377.3584,+175379.465821
2013-12-10 16:00:00 CST,+12680278.8495,+181869.543686
2013-12-10 17:00:00 CST,+12886783.9765,+240932.722551
2013-12-10 18:00:00 CST,+13138688.0609,+254626.157453
2013-12-10 19:00:00 CST,+13404095.3164,+286480.304018
2013-12-10 20:00:00 CST,+13725121.4487,+357241.171007
2013-12-10 21:00:00 CST,+14054767.7022,+291565.623588
2013-12-10 22:00:00 CST,+14326330.3919,+251670.508066
2013-12-10 23:00:00 CST,+14550604.8871,+198489.908598
2013-12-11 00:00:00 CST,+14718587.8207,+146496.429795
2013-12-11 01:00:00 CST,+14846233.8435,+121258.723649
2013-12-11 02:00:00 CST,+14959600.6636,+112553.696546
2013-12-11 03:00:00 CST,+15101676.8835,+158894.290592
2013-12-11 04:00:00 CST,+15271169.7626,+175124.61837
2013-12-11 05:00:00 CST,+15425540.555,+171547.023187
2013-12-11 06:00:00 CST,+15611311.6725,+260480.024944
2013-12-11 07:00:00 CST,+15889468.1916,+266083.386637
2013-12-11 08:00:00 CST,+16138357.1367,+204214.491136
2013-12-11 09:00:00 CST,+16344417.7088,+217112.809074
2013-12-11 10:00:00 CST,+16560966.9162,+195184.346881
2013-12-11 11:00:00 CST,+16732221.3173,+165459.451469
2013-12-11 12:00:00 CST,+16888735.4518,+152181.26638
2013-12-11 13:00:00 CST,+17038957.1871,+142438.904287
2013-12-11 14:00:00 CST,+17207617.0212,+189976.287943
2013-12-11 15:00:00 CST,+17404915.0663,+176368.304902
2013-12-11 16:00:00 CST,+17576140.9558,+182858.063931
2013-12-11 17:00:00 CST,+17785694.7476,+241262.17658
