# file...... PDEWH_Case_2bi_PDE_Outlet_Temperature.csv
# date...... Sun Mar 23 13:16:13 2014
# user...... afisher
# host...... (null)
# group..... class=waterheater AND groupid=fwh
# property.. temperature
# limit..... 10000000
# interval.. 3600
# timestamp,waterheater:55,waterheater:66,waterheater:89,waterheater:101,waterheater:113,waterheater:125,waterheater:154,waterheater:172,waterheater:208,waterheater:232,waterheater:244,waterheater:256,waterheater:262,waterheater:274,waterheater:286,waterheater:321,waterheater:333,waterheater:393,waterheater:411,waterheater:428,waterheater:440,waterheater:452,waterheater:505,waterheater:517,waterheater:588,waterheater:599,waterheater:622,waterheater:634,waterheater:646,waterheater:658,waterheater:676,waterheater:682,waterheater:694,waterheater:705,waterheater:735,waterheater:759,waterheater:783,waterheater:837,waterheater:872,waterheater:878,waterheater:908,waterheater:914,waterheater:926,waterheater:944,waterheater:968,waterheater:1015,waterheater:1039,waterheater:1051,waterheater:1081
2013-12-08 00:00:00 CST,+129.698806763,+127.447625732,+124.029449463,+130.070336914,+122.895083618,+128.072528076,+123.108905029,+123.166500854,+128.433676147,+128.526867676,+126.491732788,+125.032803345,+127.747717285,+126.559216309,+127.756863403,+129.259545898,+123.089624023,+129.778155518,+130.0480896,+128.339743042,+125.186557007,+126.585913086,+126.419799805,+129.453097534,+124.483047485,+125.578109741,+122.200473022,+129.579660034,+124.454620361,+123.342996216,+127.480255127,+128.086865234,+127.877987671,+128.232461548,+126.656610107,+129.88321228,+129.587075806,+122.146337891,+126.095236206,+123.802279663,+127.800863647,+125.367501831,+125.898223877,+124.34140625,+122.957623291,+122.137191772,+128.424777222,+123.956774902,+126.386181641
2013-12-08 01:00:00 CST,+129.335977857,+127.086412621,+123.688137152,+129.673431502,+122.561294561,+127.682280793,+122.737996928,+122.847597379,+128.043229663,+128.173589526,+126.147722008,+124.656279619,+127.364504386,+126.192581276,+127.396409534,+128.902448999,+122.742961655,+129.374768385,+129.647779037,+127.969523117,+124.864914629,+126.209783032,+126.039880866,+129.057538808,+124.147501182,+125.2179167,+121.87131127,+129.221677759,+124.118969936,+123.007954339,+127.135048176,+127.707070297,+127.52776876,+127.858812542,+126.280956354,+129.480284319,+129.207898132,+121.808870888,+125.710981242,+123.454560026,+127.418154937,+125.030085142,+125.510230516,+123.961965671,+122.625153175,+121.803666279,+128.039031528,+123.620686595,+126.03376248
2013-12-08 02:00:00 CST,+128.976359896,+126.72683915,+123.348850142,+129.276436274,+122.229639557,+127.289634247,+122.349945134,+122.53077133,+127.651967286,+127.827561029,+125.806096718,+124.279169114,+126.982344957,+125.828047928,+127.029388727,+128.54680024,+122.397859324,+128.953972217,+129.245448418,+127.601687085,+124.545279167,+125.828651404,+125.661837724,+128.660635073,+123.81417284,+124.842901474,+121.544145019,+128.865824992,+123.78563956,+122.674706285,+126.794014531,+127.328776754,+127.187651484,+127.4869406,+125.901429846,+129.074469699,+128.830853403,+121.473535665,+125.309856026,+123.108881223,+127.035560272,+124.704687649,+125.118716765,+123.574124243,+122.294991018,+121.47218756,+127.648741105,+123.287452481,+125.683108513
2013-12-08 03:00:00 CST,+128.617802513,+126.369967965,+123.011742463,+128.882229146,+121.900461805,+126.899810242,+121.965109964,+122.216027934,+127.263486914,+127.487773012,+125.466653277,+123.904035977,+126.602693753,+125.465872957,+126.664727618,+128.193240755,+122.055166414,+128.532721929,+128.846259632,+127.236170368,+124.227416147,+125.450375685,+125.286261705,+128.266929744,+123.482749114,+124.469987803,+121.218878078,+128.511222095,+123.454558572,+122.343093763,+126.457278939,+126.953221715,+126.848207997,+127.11709538,+125.524635501,+128.671631884,+128.456569382,+121.140206345,+124.912282712,+122.765055527,+126.655836651,+124.389081791,+124.728762632,+123.189109768,+121.966538004,+121.142573775,+127.260307236,+122.955747154,+125.334062704
2013-12-08 04:00:00 CST,+128.262435373,+126.014750821,+122.676888657,+128.490584317,+121.573374258,+126.512591867,+121.582571483,+121.903197722,+126.877186959,+127.148802624,+125.129299444,+123.531469564,+126.225140205,+125.105946639,+126.302564138,+127.842239413,+121.714564661,+128.114026838,+128.44936387,+126.873388446,+123.911565023,+125.07481628,+124.913149359,+127.875488021,+123.153998035,+124.09927336,+122.964246881,+128.159384365,+123.12569112,+122.013547049,+126.124431017,+126.579613955,+126.510868352,+126.749336605,+125.150036667,+128.271469456,+128.084908627,+126.324100049,+124.517347544,+122.423665916,+126.278570573,+124.0741766,+124.341401954,+122.806414621,+121.640295352,+126.172415161,+126.874330436,+122.627044635,+124.987111358
2013-12-08 05:00:00 CST,+127.908901469,+125.662274114,+122.343718251,+128.109412277,+121.248122072,+126.127780499,+121.202640714,+121.591983645,+126.493770117,+126.811500732,+124.793800611,+123.161228761,+125.850090497,+124.74827064,+125.942596235,+127.492913868,+121.376319599,+127.697690208,+128.05540874,+126.512840747,+123.597689346,+124.701449823,+124.542517513,+127.486877167,+122.826684768,+123.730836463,+128.420501235,+127.809201585,+122.799142816,+121.686390461,+125.794976661,+126.208677895,+126.175300647,+126.384170568,+124.77787622,+127.874118587,+127.715437668,+128.318993419,+124.125099863,+122.084509578,+125.903323771,+123.761182438,+123.956395127,+122.426405351,+121.315959348,+128.326383422,+126.490402777,+122.299771721,+124.642348435
2013-12-08 06:00:00 CST,+127.556450112,+125.311583863,+122.012684477,+127.739355775,+121.780964851,+125.757884823,+120.82470423,+121.282779619,+126.112189327,+126.475896274,+124.460408457,+122.793021236,+125.477245266,+124.392657525,+125.599485212,+127.14604549,+122.969918482,+127.296164084,+127.663381704,+126.154529431,+123.284883905,+124.339310854,+124.173948802,+127.100690801,+122.501823245,+123.372848745,+128.054709171,+127.460507256,+122.473920059,+121.360523555,+125.469910462,+125.839808568,+125.84186908,+126.021054425,+124.407728092,+127.478703323,+127.34800796,+127.956763112,+123.748342145,+121.746988142,+125.530501077,+123.449034491,+123.573914915,+122.048540563,+120.993632855,+127.955345499,+126.134229731,+121.974457803,+124.29989378
2013-12-08 07:00:00 CST,+127.20603207,+124.962986319,+128.560360968,+127.380041634,+128.45218726,+125.405018521,+128.557785122,+124.856526329,+125.733072301,+128.567741544,+124.129150952,+122.427209038,+125.10662745,+124.039148809,+126.047154514,+126.800726855,+124.308579454,+126.921675846,+127.271891761,+125.797874779,+122.974128072,+125.342582215,+123.80750098,+126.71677782,+122.17849726,+123.038369809,+127.689749674,+127.114196451,+122.150347798,+121.036345295,+125.146738294,+125.472821111,+128.183371684,+125.660174213,+128.287215042,+127.085805561,+126.982354311,+127.606148236,+123.387276974,+122.035462601,+125.160037303,+123.13911941,+123.193543789,+121.672820066,+128.572420714,+127.586279645,+128.557472751,+121.650007247,+123.959124903
2013-12-08 08:00:00 CST,+126.856516599,+124.616672569,+128.205201195,+127.032508113,+128.086040012,+128.45450024,+128.187675746,+128.386907364,+125.356295116,+128.236582318,+123.799483124,+122.063925683,+124.738356124,+128.496333255,+128.425125553,+128.483021483,+128.429289247,+128.536698809,+126.882645696,+128.498332198,+122.664771851,+128.370055177,+128.408633123,+128.530916021,+121.856707243,+128.569558972,+127.327016266,+126.770012815,+125.295882981,+128.562936082,+124.82428525,+125.108339175,+128.29992336,+125.301735139,+128.25047383,+126.695308899,+126.618871456,+128.479501903,+123.03781982,+128.453683783,+126.198892735,+128.534530104,+127.888930194,+127.248750955,+128.226625271,+127.219359193,+128.212359744,+121.327731038,+128.543201846
2013-12-08 09:00:00 CST,+128.555825763,+124.272758704,+127.838213147,+128.389384581,+127.720444311,+128.095805387,+127.767558798,+128.037292518,+128.477579449,+127.891677202,+123.471564665,+121.702777347,+124.372565516,+128.121184126,+128.091258415,+128.132601901,+128.051098861,+128.16149899,+128.409356152,+128.130373272,+123.865987534,+128.014432303,+128.017587754,+128.144698495,+128.479096376,+128.248640041,+128.530308285,+126.427396509,+128.367667839,+128.214696814,+124.502687175,+124.746349241,+127.953300719,+128.513187524,+127.859519746,+128.369887783,+126.257316493,+128.301849553,+122.68927769,+128.079574364,+128.319467164,+128.199242767,+128.245092901,+128.261699535,+127.862416478,+126.854704735,+127.857903485,+127.734362063,+128.183651723
2013-12-08 10:00:00 CST,+128.210244552,+123.931178176,+127.473185502,+128.037061365,+127.356563898,+127.737430748,+127.349394769,+127.689033535,+128.086724954,+127.548556022,+128.464365584,+121.34444222,+128.44827853,+127.744561078,+127.758197949,+127.781886808,+127.673529749,+127.781554648,+128.015598465,+127.761128207,+128.421525015,+127.659952648,+127.867612483,+127.753859742,+128.121368087,+127.891565262,+128.168299076,+126.086728835,+128.008237185,+127.848203692,+124.182716819,+128.109072436,+127.608203552,+128.142194448,+127.470601903,+128.553971192,+125.897509054,+127.964571294,+125.85507361,+127.705600296,+128.073640797,+127.860438285,+127.838022379,+128.29702389,+128.570224619,+128.550813326,+128.37407403,+128.524669795,+127.81913948
2013-12-08 11:00:00 CST,+127.854345373,+128.477379438,+127.110029324,+127.685903128,+126.994846338,+127.380783919,+126.933760546,+127.342809003,+128.295669658,+127.207449226,+128.10969031,+121.99218147,+128.06218068,+128.539971793,+127.427152295,+127.43320635,+127.298114903,+127.404083745,+128.314452361,+127.393857239,+128.079095736,+127.30719402,+128.265323943,+127.365309469,+128.369419545,+127.536335574,+127.802390465,+125.748620674,+127.650091611,+127.483714385,+128.420524659,+128.265924393,+127.264997183,+127.768535367,+127.083928479,+128.163633898,+128.469529012,+127.628649376,+128.335384085,+127.333993507,+128.26615892,+127.523568467,+127.433181152,+127.883228036,+128.22210814,+128.188513967,+128.019782885,+128.164159711,+128.492775975
2013-12-08 12:00:00 CST,+128.38396645,+128.113202448,+126.74902407,+127.336681452,+128.400834292,+128.557229582,+126.520650739,+126.998606898,+127.902951376,+126.868464008,+127.755412316,+128.433848785,+127.676416679,+128.247922237,+128.386049186,+127.086555587,+126.925021854,+127.028987894,+127.921099255,+127.028604131,+127.737613078,+128.369537491,+127.87378265,+128.29051547,+128.010255592,+127.182968664,+127.438356008,+125.412598918,+128.465563412,+127.121350467,+128.077805792,+127.885547973,+126.924085089,+127.397160477,+126.699621846,+127.766142858,+128.09852593,+128.549280938,+127.954793524,+126.964648577,+127.878619961,+127.188938524,+127.030761359,+127.471407994,+127.857444413,+127.818330866,+127.667239718,+127.80081086,+128.129231442
2013-12-08 13:00:00 CST,+128.027854183,+127.748713539,+126.390233246,+126.989483262,+128.033881178,+128.206013324,+126.110029391,+126.656489151,+127.512369145,+126.53130937,+127.403009027,+128.037609538,+127.292832966,+127.870582481,+128.051768439,+126.741820269,+126.553828915,+126.656978157,+127.529606139,+126.665611842,+127.398153557,+128.013195027,+127.483889194,+127.898768129,+127.652482013,+126.831916075,+127.076412287,+125.078559749,+128.106710763,+126.761276172,+127.7358913,+127.507162799,+126.584984826,+127.027834282,+126.317418088,+127.370715134,+127.727540073,+128.217226351,+127.575889514,+126.597560604,+127.493256047,+126.856605417,+126.631828822,+127.061714711,+127.494811204,+127.449985956,+127.316718238,+127.43963754,+127.764965031
2013-12-08 14:00:00 CST,+127.673193928,+127.386351138,+126.033630151,+126.644335761,+127.667818493,+127.846565921,+125.701880376,+126.316530161,+127.123942236,+126.19616095,+127.052568859,+127.642850568,+126.911521003,+127.495154874,+127.718779149,+126.399423039,+126.1852277,+126.28872839,+60.3718601464,+126.304913717,+127.060699581,+127.658127154,+127.096570182,+127.509217516,+127.296686848,+126.482909652,+126.71690964,+124.746830355,+127.748045047,+126.403041506,+127.396100179,+127.131272687,+126.247870267,+126.660796516,+125.937620971,+126.977765069,+127.358661712,+127.879992848,+127.198943673,+126.232499148,+127.110048806,+126.526238695,+126.236991149,+126.654837968,+127.134415717,+127.083934192,+126.968725678,+127.080464628,+127.402543822
